Importers	2016-M05-Exported quantity, Kilograms	2016-M06-Exported quantity, Kilograms	2016-M07-Exported quantity, Kilograms	2016-M08-Exported quantity, Kilograms	2016-M09-Exported quantity, Kilograms	2016-M10-Exported quantity, Kilograms	2016-M11-Exported quantity, Kilograms	2016-M12-Exported quantity, Kilograms	2017-M01-Exported quantity, Kilograms	2017-M02-Exported quantity, Kilograms	2017-M03-Exported quantity, Kilograms	2017-M04-Exported quantity, Kilograms	2017-M05-Exported quantity, Kilograms	2017-M06-Exported quantity, Kilograms	2017-M07-Exported quantity, Kilograms	2017-M08-Exported quantity, Kilograms	2017-M09-Exported quantity, Kilograms	2017-M10-Exported quantity, Kilograms	2017-M11-Exported quantity, Kilograms	2017-M12-Exported quantity, Kilograms	
"World"	22435184	19399183	29195949	16023245	16206401	30114035	28894511	29779938	26092384	24695066	20750511	21255465	21861195	19967852	26436565	8229476	14343954	22348445	28012529	35153374	
"China"	4415142	4888224	5404374	3560706	1479416	4211177	4835092	9138604	3291167	3551765	4575321	5014703	4055503	5758231	11118097	387107	2003723	2447087	6205543	11747313	
"United Arab Emirates"	519449	221190	541755	307811	320324	1578346	1233876	886113	1922452	848780	441502	1441561	1940115	449976	421018	406435	1107827	649289	2727206	3494561	
"Australia"	1692544	2070885	1981802	1723357	1859604	1872106	2183485	2464021	2112707	1985231	2491599	2456958	1787177	1659508	1464979	1175897	1403794	2168215	2308491	2734341	
"Egypt"	2827953	1485467	1360615	1554526	498990	1968260	686132	2187233	1685818	1705580	266294	701624	778359	927037	932716	725575	0	517223	1380495	2196736	
"Indonesia"	687528	605298	1382859	788766	946978	1506305	1880687	649272	1203220	1105811	724354	910505	536796	678364	740193	639586	1381333	2819657	1298783	1747942	
"Singapore"	372599	471872	404405	193693	526113	421836	633629	478050	469483	375049	361627	288848	551930	459462	679959	324916	612050	722502	917376	1495148	
"Saudi Arabia"	1193284	1145195	636144	1537011	385178	748943	1383362	847420	1480550	1709827	1317245	455951	1209818	979218	704522	152658	494982	1146877	1263697	1331233	
"Türkiye"	1035988	100855	1463091	513825	255086	1060926	772899	269471	1412080	1441212	25941	25941	911457	0	0	25941	244869	514468	1502950	1205556	
"Taipei, Chinese"	979571	849182	982925	545302	723594	862890	1219668	946800	863212	1147463	900086	725285	839839	1128979	1194279	908492	897152	787236	1507490	1135900	
"Morocco"	863525	454953	1616657	699426	1128097	843646	1057085	1344732	1410048	1026984	648463	428531	518046	308570	829361	0	565705	1031536	721446	1120307	
"South Africa"	276523	0	486211	207193	155517	345507	155620	172862	379978	466807	0	0	0	0	413613	217328	120645	0	51882	660156	
"Azerbaijan"	579701	223250	662593	621650	1304252	418882	1037159	801822	987174	1001348	869979	627996	773483	456506	394593	337034	436953	542672	448890	564367	
"Denmark"	77823	0	751951	77823	103764	431550	795264	681415	872684	259383	0	0	0	0	751616	25889	129267	434639	414977	563739	
"Canada"	254159	125741	337620	118382	101294	1706388	1079959	441570	424732	538555	480858	359515	73988	144423	361727	0	647075	533453	479052	548428	
"Iran, Islamic Republic of"	1258549	1594243	5870705	0	0	98074	746466	1295873	1429880	1103308	96000	196149	2660046	2518917	100881	0	0	1697585	1695215	509119	
"Viet Nam"	158854	251927	247222	190892	239252	225313	350520	271928	300024	169438	258988	343816	435031	307309	355375	167348	261669	657831	454012	364307	
"Hong Kong, China"	326601	360525	333273	575651	369345	530933	968339	575391	543953	475111	564369	644507	362541	509349	623532	282877	634201	488290	716759	338442	
"Philippines"	239348	229700	333304	224988	296091	430118	524200	282567	301892	266388	346411	317520	356288	134095	137551	343711	391777	333769	320456	298724	
"Algeria"	311232	420178	211191	77823	221373	593194	406382	259202	285273	467366	267259	240879	273067	175976	172734	149676	110701	243823	229839	257081	
"Armenia"	155620	259409	129874	75730	333046	582130	181884	468211	336691	128907	77823	260982	155990	207296	261259	184568	26849	77953	208270	234455	
"Korea, Republic of"	333334	189897	299187	119395	206153	214819	232241	254111	287030	90146	195859	155381	153533	171704	353862	11476	47201	102612	403072	221526	
"Thailand"	65482	43083	90967	93163	103694	121815	84439	90568	188120	133046	99860	43596	48174	46159	68962	51210	78235	99565	65117	217221	
"Uzbekistan"	0	0	104113	0	62982	20533	82881	76481	41832	236075	0	0	18666	0	62930	18666	0	95004	0	210228	
"Russian Federation"	103223	465778	798852	0	1309601	2962716	2715055	2336341	740782	1462880	2145938	1768170	1154865	157987	417061	0	118149	1362616	355733	197644	
"Fiji"	169974	159305	218481	103764	174250	271183	137011	103613	112303	196227	69930	113627	111758	146320	145695	149012	124408	182677	151542	159478	
"United Kingdom"	207424	0	0	0	51264	0	388470	77411	207450	0	19616	0	103738	0	0	0	0	95527	123563	155028	
"United States of America"	462578	347652	295267	281472	206941	242461	437024	308649	464730	359059	98514	58149	66396	170715	87945	50425	86927	146709	114198	148522	
"Malaysia"	310431	306899	330973	344382	308921	485815	370468	418737	526763	549637	541973	542615	417617	423152	499850	332851	379905	668883	606544	147465	
"Jamaica"	48865	19614	16358	32090	16979	85213	83970	134509	27607	13987	48017	44897	34588	26964	44800	41650	61465	68157	115314	100507	
"Chile"	315334	751848	155105	89214	18604	76560	278075	315580	315381	666699	937614	1031802	218661	971322	900538	452293	215574	96448	126069	89027	
"France"	76800	0	0	0	0	0	0	115920	0	0	39230	156089	0	0	0	0	0	0	0	78459	
"Mexico"	36979	93268	148747	18666	37311	73245	55521	0	55438	55936	111229	111768	298159	37332	111934	0	55894	186226	18562	74539	
"Bahrain"	114755	183852	295635	560296	320108	576786	181215	182858	295860	25941	174734	117350	321547	86037	45802	0	11004	0	0	71824	
"Myanmar"	86664	0	84270	25499	84668	49743	46434	46736	54857	42341	19614	82569	61672	94746	51133	36469	90051	92382	89854	68467	
"French Polynesia"	102661	87774	70681	53055	107985	81017	98069	102041	102140	23359	87677	65364	24081	96232	106759	65185	105268	85754	98993	63383	
"Sri Lanka"	34240	48146	95100	64268	32675	101914	114210	102909	77016	12262	41731	25418	13503	58034	78882	30041	10921	36811	13454	62987	
"Japan"	1000201	305556	164035	0	764780	2456491	121058	0	108832	352922	749171	782786	39156	251653	488261	7032	827972	490970	379509	57760	
"Tonga"	61045	32526	7600	36855	40993	19088	19937	21829	0	19729	21459	27372	38971	35976	44106	114	43095	20361	18516	49699	
"Kuwait"	151645	91111	93432	39229	190690	110699	171864	110875	168346	136666	34996	40352	0	35687	68407	60477	19615	59774	111485	39414	
"Qatar"	32072	44187	33638	52858	35270	35568	33949	49111	34282	16501	76009	38213	26778	41628	63212	53881	37028	21990	47633	32685	
"Oman"	48359	28047	42731	22441	15178	51173	0	15554	15900	33568	35780	16915	47899	18950	16194	34065	22504	30299	18558	32522	
"Papua New Guinea"	44602	14839	35315	55248	56111	29837	21093	23502	64432	17846	31208	23330	22183	54546	37639	25621	9448	52192	35207	32363	
"Mauritius"	14942	15197	39542	16027	12552	31929	15972	39828	31626	15902	28654	31320	14910	15972	39155	0	17949	55090	16614	32082	
"New Caledonia"	54494	56414	9841	17954	107720	60620	51314	14023	24422	45053	32257	30105	40371	21967	34482	42582	46817	54347	41975	30361	
"Samoa"	27596	14274	31271	49622	21924	11509	24836	11886	60838	25045	13849	58407	8692	34128	21498	24143	63732	17089	36795	30301	
"Bermuda"	0	30649	0	16471	0	14991	12686	13863	0	15979	16044	0	0	0	15621	15798	13387	16462	0	30230	
"Belize"	0	0	0	12980	12925	0	12988	0	0	12905	0	0	13245	0	13173	0	11192	0	0	26443	
"Jordan"	0	51882	0	0	0	0	0	0	0	51856	51882	0	51599	0	25864	0	0	25941	0	25941	
"Tunisia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39477	19584	
"Maldives"	8393	0	28941	20142	0	23862	0	8784	10027	12262	21026	15164	30291	12892	15204	10924	23373	24921	12765	18323	
"Brunei Darussalam"	29283	0	27212	0	16865	47575	16308	15738	15444	27082	70432	64942	11450	0	0	17713	0	17713	0	17713	
"Guatemala"	46286	29958	0	31538	29365	63649	30490	46251	14677	48217	44933	89717	30315	0	29149	17644	46048	49707	29438	16910	
"United States Minor Outlying Islands"	14031	32161	30723	31614	12607	31346	23694	43471	17724	276	0	47055	14358	0	48231	16512	21820	42770	0	13745	
"Cambodia"	13848	0	0	9600	0	31563	19853	4948	21823	3732	0	14780	8861	9530	41389	0	10720	17204	10724	12565	
"Cook Islands"	8484	9221	12388	2879	7296	8238	3403	2100	4075	12021	990	3886	411	5393	9113	9596	9307	12430	1925	8754	
"Solomon Islands"	7418	6782	4978	0	10958	14024	0	5647	4791	7369	8162	0	4342	3433	7034	7531	0	8219	6095	7695	
"Vanuatu"	6103	1980	2529	5400	3675	0	9592	682	4870	309	3228	4321	1449	6750	3660	9524	13205	4229	13667	1980	
"Wallis and Futuna Islands"	663	0	2316	1954	544	1492	460	1330	1330	0	1404	0	2641	0	2168	1906	640	1209	1883	893	
"Niue"	1080	240	513	506	0	549	701	259	0	391	1093	0	800	896	969	1060	0	964	1105	671	
"Micronesia, Federated States of"	0	0	0	210	0	0	0	0	0	0	0	541	0	0	260	0	296	0	477	496	
"Palau"	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	457	0	0	84	
"Panama"	13084	0	905	13792	0	13229	13759	0	12574	0	12960	0	11385	13195	0	25717	0	28681	0	0	
"Peru"	0	0	0	34696	0	31417	0	0	0	16149	18526	0	16736	0	16590	0	53523	0	0	0	
"Saint Lucia"	0	16002	0	0	0	14499	0	0	0	14612	0	0	0	15703	0	0	12403	0	0	0	
"Timor-Leste"	5215	0	5331	0	7439	8051	0	0	1338	0	0	0	2452	0	221	0	0	4508	0	0	
"Marshall Islands"	0	223	0	0	0	832	0	0	0	0	218	211	0	0	0	107	129	0	0	0	
"Norfolk Island"	1208	887	566	1822	0	1140	2417	0	2823	1068	0	1445	1634	0	3588	618	0	1042	1174	0	
"Northern Mariana Islands"	6582	0	9391	0	7994	0	5696	0	0	8063	8956	0	9125	0	6670	7871	9338	11484	0	0	
"Nigeria"	0	0	0	0	0	0	0	0	0	0	0	17268	17294	0	0	0	14798	0	0	0	
"Guyana"	0	1522	1529	1514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	757	0	
"Lebanon"	0	52265	0	0	17294	329389	34588	0	0	0	20176	0	52203	0	0	0	0	92617	0	0	
"Nepal"	17294	17294	34588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Netherlands"	0	0	0	0	0	0	0	0	0	0	16591	0	0	0	180	0	0	0	0	0	
"Netherlands Antilles"	0	16755	16319	0	16755	30913	0	15367	0	0	0	0	0	0	0	0	0	0	0	0	
"Curaçao"	0	0	0	0	0	0	0	0	16156	0	15703	0	18091	30603	0	0	0	15844	0	0	
"Aruba"	16743	0	0	0	0	16811	15187	0	13788	0	0	0	0	0	17333	0	0	0	17627	0	
"Brazil"	0	0	51882	0	103712	51856	0	309	0	0	0	0	0	0	24706	0	0	0	0	0	
"Bangladesh"	17294	0	0	43235	43235	0	25941	17140	0	17294	0	0	0	0	15217	0	0	17268	0	0	
"Barbados"	0	23692	0	0	12701	12242	13058	11189	11947	13135	0	25226	14670	0	12879	0	15105	14839	0	0	
"Belgium"	0	0	310262	0	0	259332	259280	74940	25941	0	0	0	0	0	639694	0	0	0	0	0	
"Antigua and Barbuda"	0	0	0	0	0	14883	0	0	0	0	15054	0	0	0	0	0	14612	0	0	0	
"Bahamas"	12139	0	0	10184	0	15552	0	14417	0	17274	0	0	0	0	0	0	17460	0	0	0	
"Dominican Republic"	0	0	0	0	0	0	22623	18225	0	0	0	0	0	0	0	0	0	0	0	0	
"El Salvador"	0	0	0	9949	0	0	13156	0	0	17158	0	0	0	0	0	13156	0	0	0	0	
"Congo, Democratic Republic of the"	0	0	0	0	0	0	0	0	0	0	35878	0	0	0	0	0	0	0	0	0	
"Kazakhstan"	0	0	0	0	77823	181560	48176	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Georgia"	36897	0	0	26383	96931	77797	0	26507	18666	52448	0	44979	0	26341	0	102450	0	0	0	0	
"Gambia"	0	0	16745	0	0	0	0	16745	0	0	0	0	0	0	0	0	16546	0	0	0	
"Kiribati"	0	0	0	0	0	0	0	0	0	0	423	0	0	0	0	0	0	4799	0	0	
"Grenada"	0	0	0	0	0	15709	0	0	0	0	0	16310	0	0	0	725	14388	0	754	0	
"Uruguay"	43235	0	0	77823	155414	0	389115	0	77797	0	0	77823	0	0	0	0	0	0	0	0	
"Turkmenistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	42689	0	0	0	0	0	0	
"Tuvalu"	176	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	
"Trinidad and Tobago"	0	50291	25217	0	0	24943	24514	26390	25385	25729	17771	24931	28508	0	24989	28393	66982	0	19773	0	
"Syrian Arab Republic"	0	0	0	0	0	155620	0	0	51882	0	0	0	0	0	0	0	0	0	0	0	
"Tajikistan"	0	0	0	0	0	0	0	0	20176	0	0	0	0	0	0	0	0	0	0	0	
"Seychelles"	0	0	13870	0	12210	13713	0	0	0	14597	0	0	13943	0	15551	0	14491	0	13752	0	
"India"	0	0	0	0	25941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
