Exporters	2021-M02-Imported quantity, Kilograms	2021-M03-Imported quantity, Kilograms	2021-M04-Imported quantity, Kilograms	2021-M05-Imported quantity, Kilograms	2021-M06-Imported quantity, Kilograms	2021-M07-Imported quantity, Kilograms	2021-M08-Imported quantity, Kilograms	2021-M09-Imported quantity, Kilograms	2021-M10-Imported quantity, Kilograms	2021-M11-Imported quantity, Kilograms	2021-M12-Imported quantity, Kilograms	2022-M01-Imported quantity, Kilograms	2022-M02-Imported quantity, Kilograms	2022-M03-Imported quantity, Kilograms	2022-M04-Imported quantity, Kilograms	2022-M05-Imported quantity, Kilograms	2022-M06-Imported quantity, Kilograms	2022-M07-Imported quantity, Kilograms	2022-M08-Imported quantity, Kilograms	2022-M09-Imported quantity, Kilograms	
"World"	5754	65043	65829	63853	122126	51849	64862	58983	24909	42892	57002	17606	65923	20854	50317	168057	87585	32992	184357	111241	
"New Zealand"	0	25941	17294	19151	51882	0	0	48007	0	0	0	0	0	0	0	129704	0	0	49283	98542	
"Australia"	3076	25135	20770	26890	63186	27306	52062	0	962	23403	3356	3987	4015	3976	3076	904	4901	0	924	6375	
"Denmark"	2678	13942	3668	12037	7058	3293	12800	10951	14580	0	13362	13619	3948	12491	16125	11201	7768	6990	0	5572	
"India"	0	0	0	3750	0	20950	0	0	8467	19489	15750	0	57960	4387	161	26150	26250	26000	56320	750	
"United States of America"	0	0	0	2025	0	0	0	5	900	0	0	0	0	0	0	0	0	0	0	0	
"China"	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Fiji"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	0	
"France"	0	0	24097	0	0	0	0	0	0	0	24516	0	0	0	0	0	0	0	0	0	
"Ireland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30953	0	48666	0	77445	0	
"Lithuania"	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	
