Importers	Exported value in 2017-M12	Exported value in 2018-M01	Exported value in 2018-M02	Exported value in 2018-M03	Exported value in 2018-M04	Exported value in 2018-M05	Exported value in 2018-M06	Exported value in 2018-M07	Exported value in 2018-M08	Exported value in 2018-M09	Exported value in 2018-M10	Exported value in 2018-M11	Exported value in 2018-M12	Exported value in 2019-M01	Exported value in 2019-M02	Exported value in 2019-M03	Exported value in 2019-M04	Exported value in 2019-M05	Exported value in 2019-M06	Exported value in 2019-M07	
"World"	172646	104810	104143	128999	105910	115792	101410	159783	49522	61356	95471	82051	103928	107571	132145	102979	83897	95876	71923	80070	
"China"	58610	12009	29322	30238	32369	50441	39457	61904	6571	8149	11134	15046	31638	12031	11993	22296	18971	22252	12861	17380	
"Australia"	13103	15643	11454	12469	13714	7598	7652	8858	7263	13341	12375	12089	13972	11561	9539	10155	11187	8543	6238	10889	
"Indonesia"	8754	4051	1747	6395	1650	2260	2425	7637	5969	5303	3216	6110	93	542	4356	5222	5209	2711	273	5346	
"Taipei, Chinese"	5636	2165	3629	3510	4558	4197	3748	5656	2478	3495	3492	3952	6212	2037	3510	3880	2490	5240	3740	4908	
"Saudi Arabia"	5734	7007	4517	3833	5077	4048	4780	9310	1863	479	2416	1170	4812	6054	5123	3507	3374	3995	6834	4575	
"Hong Kong, China"	2402	1868	2252	2773	2006	3597	1902	2661	1685	1034	3261	2747	2081	1935	1835	2612	2031	4304	1201	3709	
"Morocco"	5449	2267	2303	2403	467	2275	1510	2698	1252	1933	3361	2062	1032	5624	4466	1730	2179	1106	413	2781	
"Korea, Republic of"	1169	1019	558	1221	976	1045	1459	2029	206	1120	1833	1750	1402	1368	1567	1378	2166	1770	1328	2592	
"Türkiye"	6147	1617	0	993	66	114	119	3425	0	0	202	0	187	1889	2635	8811	745	105	2570	2482	
"Singapore"	6167	4166	1825	1455	1984	1337	3242	2906	2266	1814	3307	3834	3393	1888	2927	1893	2617	2269	2352	2432	
"Malaysia"	740	3153	2065	2591	2418	2186	1893	2492	1819	2045	2585	2532	2256	1514	2652	2202	2132	2031	2055	2017	
"Philippines"	1816	504	1927	1260	1757	1071	1418	7784	263	237	1189	525	1518	2818	1500	4279	1227	633	521	2015	
"United States of America"	829	1081	903	735	374	1507	895	1357	81	615	607	622	775	4407	1446	1260	1766	1433	848	1847	
"Georgia"	0	0	108	0	110	90	113	917	298	3101	2840	1614	1941	2251	2397	1544	1502	2132	1312	1685	
"Canada"	2626	1015	1993	625	164	1682	75	931	2054	1300	1080	4687	1842	5003	3200	4133	2419	2394	1244	1620	
"Russian Federation"	824	2659	253	609	335	851	952	1559	381	289	1048	334	2988	13293	5680	0	743	727	534	1605	
"Viet Nam"	2229	1384	1056	1004	909	1142	1522	1779	612	920	1857	1803	1060	837	1373	1143	1456	1230	1358	1575	
"Azerbaijan"	2842	2260	1463	3052	805	1427	1331	1034	183	763	1424	636	877	803	868	1473	678	179	1094	1257	
"Japan"	297	1620	3921	5284	2998	6959	6426	2050	1014	3178	6679	4632	3345	6457	2613	3103	1374	10989	9629	1206	
"Fiji"	766	461	422	657	405	401	716	916	708	414	831	407	684	437	450	392	493	635	462	1074	
"Egypt"	9959	6819	6276	8464	6965	2905	2999	1899	1098	1561	785	0	4057	0	2216	5193	4369	1840	1886	908	
"Bahrain"	329	0	327	1021	494	258	1027	648	931	1076	1018	1404	724	663	1176	653	418	826	419	788	
"United Arab Emirates"	16987	6578	5730	5590	7995	1760	1163	3817	539	862	5196	5744	7839	12031	7082	4057	2724	5266	4668	529	
"Thailand"	1106	510	371	540	608	367	466	250	276	75	648	510	844	488	359	345	533	534	529	522	
"Algeria"	1224	266	402	773	568	515	824	373	0	715	505	294	515	1130	1444	650	1650	120	441	393	
"Denmark"	2814	498	386	348	453	224	0	253	0	711	808	385	825	606	2012	358	0	748	364	364	
"Myanmar"	428	60	373	578	146	273	46	390	521	424	247	180	93	87	387	174	383	491	245	352	
"Jamaica"	548	623	52	78	543	152	512	190	389	319	346	263	475	479	522	300	137	236	234	294	
"Mexico"	400	398	277	499	524	455	1002	186	858	377	692	370	535	269	0	158	559	819	960	290	
"Mauritius"	194	36	174	138	85	106	77	219	101	4	98	243	83	0	67	138	124	84	121	213	
"Belgium"	0	0	911	0	0	0	1383	3588	2107	123	3642	322	827	174	1436	1439	1044	591	388	205	
"French Polynesia"	357	455	267	440	317	586	415	543	628	531	303	586	176	339	483	163	409	781	495	204	
"Curaçao"	0	279	104	0	100	114	110	70	0	102	72	0	0	101	0	0	193	0	0	185	
"New Caledonia"	185	192	94	33	225	177	222	352	91	549	222	275	162	8	380	168	219	336	306	163	
"Samoa"	174	120	122	63	251	101	112	145	100	76	185	158	151	155	106	308	135	124	154	152	
"Sri Lanka"	319	410	277	114	57	284	65	190	43	0	177	99	0	0	170	68	90	111	100	139	
"Guatemala"	97	303	139	70	542	223	87	196	254	0	157	80	158	309	145	136	135	141	65	137	
"United States Minor Outlying Islands"	85	145	183	0	196	82	93	76	64	150	129	101	134	0	150	69	130	103	187	128	
"Trinidad and Tobago"	0	473	122	0	111	239	262	117	381	0	0	0	113	0	74	0	173	0	125	125	
"Kuwait"	175	0	344	629	510	1066	488	959	83	0	336	605	889	852	554	1140	393	1109	0	120	
"Bermuda"	173	81	0	0	70	82	0	50	0	88	0	88	0	77	61	0	77	0	0	90	
"Antigua and Barbuda"	0	83	0	0	0	82	0	0	79	0	0	0	0	0	0	45	0	0	0	90	
"Barbados"	0	152	67	62	56	68	71	0	71	0	66	0	0	148	62	131	0	219	74	85	
"Papua New Guinea"	186	191	204	195	83	106	152	216	161	186	141	122	71	354	188	84	181	112	189	85	
"Cambodia"	74	0	109	90	14	131	107	130	0	11	95	103	105	0	232	60	164	151	46	83	
"Tonga"	274	1	103	100	92	50	177	172	160	108	320	220	51	126	57	141	137	253	202	82	
"Oman"	156	0	64	76	285	80	53	259	208	0	84	80	0	47	54	51	0	161	156	73	
"Brunei Darussalam"	88	215	75	207	256	198	131	0	84	0	202	0	74	0	382	283	315	84	47	61	
"Cook Islands"	48	0	38	36	8	32	66	53	66	39	40	16	22	33	7	32	24	66	46	59	
"Maldives"	109	114	0	52	176	0	116	232	77	0	128	72	196	60	130	125	72	59	139	57	
"India"	0	0	0	0	0	33	0	0	0	0	56	89	0	0	0	0	136	0	0	40	
"Vanuatu"	6	54	0	8	41	36	27	12	26	6	63	5	56	27	14	25	0	11	51	19	
"Wallis and Futuna Islands"	5	4	7	1	2	7	0	6	13	6	0	9	0	10	9	0	1	1	2	8	
"Norfolk Island"	0	8	5	5	0	19	4	2	0	8	6	4	6	0	7	0	8	11	3	5	
"Marshall Islands"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	
"Palau"	0	0	0	2	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	
"Pakistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	
"Panama"	0	69	0	55	0	60	0	69	119	0	129	45	86	88	78	0	0	0	65	0	
"Niue"	1	4	1	3	1	1	0	4	0	6	1	7	0	0	1	0	0	1	0	0	
"Aruba"	0	0	0	87	0	0	107	0	104	0	0	0	90	0	0	0	89	104	0	0	
"Northern Mariana Islands"	0	0	54	0	45	61	0	66	54	0	60	0	0	60	46	0	58	0	54	0	
"Micronesia, Federated States of"	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	
"Peru"	0	0	0	0	112	0	0	0	0	38	0	246	0	30	0	70	0	60	0	0	
"Saint Lucia"	0	0	79	0	75	0	0	89	0	0	0	0	0	0	0	0	81	0	0	0	
"Timor-Leste"	0	57	0	1	0	0	0	0	0	75	0	0	0	0	0	0	0	59	0	0	
"Qatar"	187	97	253	23	132	531	441	425	0	0	191	501	196	156	394	26	293	875	83	0	
"Nauru"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
"Netherlands"	0	0	0	0	0	0	0	0	0	656	6323	0	0	431	1241	0	0	0	0	0	
"Lebanon"	0	0	0	0	163	1178	0	247	0	0	0	0	89	0	174	0	173	241	0	0	
"Libya, State of"	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	120	0	0	0	0	
"Jordan"	130	0	435	0	0	0	0	0	0	0	0	94	0	93	279	139	94	81	66	0	
"Kenya"	0	28	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	
"Iran, Islamic Republic of"	2679	14869	10727	21810	4195	1176	3831	10651	0	0	0	0	0	0	34562	0	0	0	0	0	
"Congo, Democratic Republic of the"	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	
"Dominican Republic"	0	0	0	61	0	0	92	0	0	0	78	0	0	88	0	0	0	0	98	0	
"El Salvador"	0	0	0	0	72	0	0	0	0	81	0	0	0	0	0	0	0	0	54	0	
"France"	374	0	0	0	0	0	0	0	0	0	0	0	0	696	0	0	0	0	0	0	
"Guyana"	0	0	0	0	0	4	9	0	0	0	4	4	0	0	4	0	0	4	0	0	
"Gambia"	0	77	0	0	0	0	0	0	71	0	0	0	0	0	64	0	0	0	0	0	
"Ghana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	
"Kiribati"	0	20	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Grenada"	0	0	73	0	0	0	76	0	0	0	0	91	0	0	88	0	0	0	0	0	
"Chile"	410	1911	1838	3199	3286	4021	1510	3371	2605	1878	4104	1372	263	3293	3186	3781	2439	3296	1629	0	
"Belize"	178	0	0	0	0	82	0	83	0	0	0	90	0	0	87	0	116	0	0	0	
"Solomon Islands"	42	43	0	46	36	27	29	16	54	0	88	29	44	33	39	36	25	24	29	0	
"Bangladesh"	0	89	0	0	84	0	0	0	0	0	94	186	257	0	174	0	171	0	75	0	
"Armenia"	1152	126	871	747	0	430	0	0	0	0	0	0	0	0	0	0	196	0	0	0	
"Bahamas"	0	0	0	0	0	0	0	0	0	0	0	0	0	97	93	0	0	0	109	0	
"United Kingdom"	674	618	0	0	0	332	355	242	116	115	1182	213	818	307	263	277	0	869	0	0	
"Uruguay"	0	0	0	279	182	96	0	0	0	0	0	0	0	0	159	0	0	0	0	0	
"Uzbekistan"	965	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Zambia"	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Tunisia"	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	155	0	0	
"Tuvalu"	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	
"Ukraine"	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	64	0	0	0	0	
"South Africa"	3090	1670	405	1104	2568	2363	1039	790	0	845	1575	0	588	775	957	544	82	0	0	0	
"Spain"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	87	0	0	0	0	
"Syrian Arab Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	200	0	0	0	
"Senegal"	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	
"Seychelles"	0	82	55	0	0	76	0	75	0	0	99	85	0	0	0	0	0	0	0	0	
"Sierra Leone"	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	
