Importers	Exported value in 2019-M07	Exported value in 2019-M08	Exported value in 2019-M09	Exported value in 2019-M10	Exported value in 2019-M11	Exported value in 2019-M12	Exported value in 2020-M01	Exported value in 2020-M02	Exported value in 2020-M03	Exported value in 2020-M04	Exported value in 2020-M05	Exported value in 2020-M06	Exported value in 2020-M07	Exported value in 2020-M08	Exported value in 2020-M09	Exported value in 2020-M10	Exported value in 2020-M11	Exported value in 2020-M12	Exported value in 2021-M01	Exported value in 2021-M02	
"El Salvador"	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	
"Congo, Democratic Republic of the"	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Sri Lanka"	139	81	277	282	193	129	115	78	168	235	48	86	69	67	83	50	76	120	40	0	
"Belize"	0	85	88	0	85	0	0	87	0	0	0	76	72	0	0	0	0	0	72	0	
"Belgium"	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Antigua and Barbuda"	90	0	92	0	0	0	88	0	0	0	0	0	0	78	0	0	0	0	82	0	
"Bahamas"	0	0	0	96	0	0	63	0	0	0	0	65	0	0	0	0	140	0	0	0	
"Bahrain"	788	0	434	2018	0	48	0	104	36	0	460	56	0	86	41	0	41	70	41	0	
"United Kingdom"	0	0	0	0	0	0	0	0	0	0	0	0	311	261	330	0	0	0	0	0	
"Tuvalu"	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
"Ukraine"	0	0	80	72	0	0	0	0	0	0	0	0	1484	57	0	121	0	68	48	0	
"India"	40	66	0	177	0	0	70	142	521	415	69	0	967	880	0	0	0	0	0	0	
"Togo"	0	0	0	0	15	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	
"Tajikistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	
"Wallis and Futuna Islands"	8	0	17	3	6	3	0	7	4	4	0	14	6	8	11	4	13	25	0	0	
