Importers	Exported value in 2019-M07	Exported value in 2019-M08	Exported value in 2019-M09	Exported value in 2019-M10	Exported value in 2019-M11	Exported value in 2019-M12	Exported value in 2020-M01	Exported value in 2020-M02	Exported value in 2020-M03	Exported value in 2020-M04	Exported value in 2020-M05	Exported value in 2020-M06	Exported value in 2020-M07	Exported value in 2020-M08	Exported value in 2020-M09	Exported value in 2020-M10	Exported value in 2020-M11	Exported value in 2020-M12	Exported value in 2021-M01	Exported value in 2021-M02	
"World"	80070	33739	55795	106180	125321	138673	109128	94426	79774	70274	65700	58909	57086	32796	46770	79382	90232	100002	87499	68821	
"China"	17380	2269	8989	20125	40368	66886	25318	22304	15671	19639	11668	15375	13742	4985	10587	22966	26303	38021	21838	21429	
"Australia"	10889	8058	7124	11953	15663	11970	10071	12212	9658	5910	10540	7401	6952	4817	9218	13658	9411	10828	9023	8101	
"Saudi Arabia"	4575	207	1794	5366	7815	4646	7281	4352	3914	7515	8065	8667	1371	360	1082	3833	9264	6705	9133	4334	
"Chile"	0	0	0	0	137	1600	1962	2621	102	3445	0	1855	0	0	0	71	1055	782	1714	3982	
"Russian Federation"	1605	0	4267	15782	12344	11528	10993	10575	4968	207	3006	2030	4997	3595	5575	3114	7479	8479	7331	3867	
"United States of America"	1847	821	217	658	740	952	3235	1464	1410	2458	837	942	352	644	533	1243	2332	1160	3454	2666	
"Malaysia"	2017	1919	1574	2285	2767	2519	2351	2563	2784	1501	1155	745	1684	1169	1597	2158	2836	2478	1591	2496	
"Taipei, Chinese"	4908	2679	2991	3463	3304	4848	3291	3292	4312	3183	4079	2605	2344	2168	2069	2485	2391	2948	3342	2028	
"Singapore"	2432	966	2139	3549	3624	2450	2951	2370	2009	2266	1232	1656	928	1398	960	1842	1472	2258	1192	1981	
"Indonesia"	5346	1673	3895	7455	5300	3317	2276	5384	4013	2131	1518	0	1003	1552	2470	3418	6024	686	2756	1871	
"Philippines"	2015	946	2150	1840	1061	1586	2482	1322	1296	2062	663	430	1094	164	457	1188	1194	1235	1500	1461	
"Egypt"	908	228	388	3207	9180	3497	3778	6342	4683	0	3777	1863	2849	1896	1266	2515	798	1153	4232	1398	
"Canada"	1620	1904	57	1513	3578	1774	5051	1405	1725	1920	735	566	374	58	1176	2293	2406	2459	1546	1245	
"Japan"	1206	1158	4050	7101	4415	3239	8309	3820	4061	1629	5773	1569	2064	1175	1707	3878	4844	4051	5511	1093	
"United Arab Emirates"	529	168	356	1596	633	1042	1711	1021	1195	554	624	187	150	170	157	100	254	489	391	1050	
"Morocco"	2781	656	1107	1297	851	1473	1633	804	2204	2142	1123	553	482	351	145	570	1247	1607	745	811	
"Korea, Republic of"	2592	901	1916	2104	2248	2018	1794	1913	2230	1897	2180	1614	672	1007	1043	341	1175	988	2626	736	
"Azerbaijan"	1257	572	489	1138	1005	1573	2022	1284	957	1578	1711	720	889	1132	720	374	544	1651	256	711	
"Viet Nam"	1575	580	1129	1491	1739	1430	857	903	1282	875	618	792	1330	273	340	461	1009	993	727	658	
"Hong Kong, China"	3709	1183	2387	1306	1091	1229	1290	1555	1766	715	873	868	1873	1123	1191	808	2069	1304	1307	611	
"Netherlands"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	403	596	
"Thailand"	522	270	323	472	338	952	415	494	358	632	331	201	528	121	227	324	368	438	336	459	
"Mexico"	290	607	644	728	114	500	761	258	313	943	0	62	88	75	44	299	159	551	218	454	
"Myanmar"	352	32	72	282	328	218	267	89	390	244	249	43	0	110	51	174	118	84	65	453	
"Fiji"	1074	571	375	730	538	428	443	365	492	533	204	367	130	489	411	296	438	296	286	385	
"Denmark"	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	932	403	334	
"French Polynesia"	204	464	387	494	558	209	435	569	359	381	622	407	344	555	311	847	363	475	503	307	
"Brunei Darussalam"	61	75	0	138	0	65	148	240	59	133	128	0	0	75	0	73	73	64	0	300	
"Georgia"	1685	1039	1697	3238	1873	1159	2340	1396	2784	2847	1614	1917	552	267	1344	4604	1200	2511	2421	282	
"Bangladesh"	0	0	0	277	0	98	92	365	437	193	0	0	283	130	0	0	0	76	0	280	
"Trinidad and Tobago"	125	0	155	151	273	0	137	0	125	101	57	284	150	0	191	73	127	0	0	259	
"Algeria"	393	336	0	393	303	0	93	248	66	0	0	0	0	0	196	194	151	423	90	227	
"Lithuania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	49	166	176	
"South Africa"	0	0	97	182	96	1511	845	0	167	162	0	967	1268	0	0	2062	235	1119	243	165	
"Samoa"	152	191	235	101	142	251	145	164	34	204	176	92	200	266	123	129	200	137	87	161	
"Oman"	73	256	116	136	172	181	210	0	40	0	0	0	74	0	0	0	163	0	0	155	
"Papua New Guinea"	85	81	133	152	194	72	87	146	123	164	62	282	97	106	129	155	125	126	73	139	
"Guatemala"	137	116	179	227	77	0	156	237	59	212	61	0	157	51	155	187	235	244	71	114	
"United States Minor Outlying Islands"	128	116	184	84	68	0	222	67	179	77	0	69	97	38	0	98	118	80	105	111	
"Qatar"	0	127	239	264	294	243	258	350	298	89	0	0	0	0	77	56	191	83	308	106	
"Cambodia"	83	0	0	15	67	64	35	23	66	43	49	34	56	34	69	45	26	55	0	95	
"Kuwait"	120	0	189	164	193	431	244	252	695	317	227	0	0	0	0	424	0	181	161	85	
"Curaçao"	185	99	0	113	102	0	98	0	186	107	0	0	81	0	145	158	0	103	0	78	
"Türkiye"	2482	661	1859	292	189	672	590	372	266	108	99	2262	3644	170	0	571	167	82	401	75	
"Barbados"	85	62	0	0	0	57	79	0	47	0	0	0	165	0	0	0	0	43	0	71	
"Bermuda"	90	82	0	0	81	0	0	98	93	0	0	0	81	0	0	84	0	75	0	60	
"Mauritius"	213	71	136	88	74	77	225	47	66	0	60	0	69	97	0	62	104	55	0	57	
"New Caledonia"	163	177	24	168	120	17	332	134	15	18	34	214	241	216	25	81	129	338	82	56	
"Northern Mariana Islands"	0	55	0	51	53	0	56	0	0	0	85	0	55	0	59	0	51	0	0	46	
"Sierra Leone"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	
"Solomon Islands"	0	38	24	53	55	0	39	38	42	0	43	50	33	0	28	39	38	29	0	42	
"Tonga"	82	70	189	37	123	139	66	98	180	166	165	225	225	110	113	16	298	78	110	41	
"Cook Islands"	59	36	36	34	39	47	40	15	33	23	7	54	9	18	94	2	30	71	1	23	
"Kiribati"	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	12	0	0	14	
"Guyana"	0	4	0	4	4	0	0	4	0	0	0	0	4	0	0	4	4	2	0	8	
"Vanuatu"	19	89	1	48	20	43	18	34	28	0	19	2	13	35	27	35	17	0	30	3	
"Niue"	0	6	0	1	3	4	0	1	0	5	0	0	1	5	5	3	5	0	0	1	
"Norfolk Island"	5	6	0	5	8	16	0	0	12	0	8	7	0	8	0	3	0	12	0	0	
"Lebanon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	
"Libya, State of"	0	0	0	0	0	0	0	0	0	0	0	136	155	0	0	0	0	0	0	0	
"Jordan"	0	0	196	249	0	604	0	0	0	0	0	178	105	0	81	181	101	0	82	0	
"Maldives"	57	61	49	116	155	103	181	69	160	0	0	0	0	0	0	79	32	38	46	0	
"Micronesia, Federated States of"	0	3	0	3	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	
"Marshall Islands"	2	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
"Palau"	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	
"Panama"	0	0	0	0	0	67	91	0	0	81	0	78	0	49	0	0	95	0	0	0	
"Aruba"	0	0	0	0	113	0	114	0	94	0	0	0	0	92	0	0	0	0	0	0	
"Peru"	0	0	0	120	54	0	64	65	0	0	0	0	0	0	0	54	0	119	0	0	
"Timor-Leste"	0	0	56	0	0	3	59	0	0	0	0	0	0	35	0	0	0	0	14	0	
"Saint Lucia"	0	0	74	0	0	91	0	0	0	0	72	0	0	0	0	0	0	0	0	0	
"Seychelles"	0	0	0	57	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	
"Grenada"	0	71	0	0	0	77	0	0	0	0	0	54	0	0	0	67	0	64	0	0	
"Jamaica"	294	708	94	337	253	332	719	78	323	184	553	163	93	75	85	138	88	225	268	0	
"Gambia"	0	0	0	80	0	0	0	0	69	0	0	0	0	60	0	0	0	0	0	0	
"Ghana"	0	0	0	188	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	
"Dominican Republic"	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	
