Importers	Exported value in 2014-M10	Exported value in 2014-M11	Exported value in 2014-M12	Exported value in 2015-M01	Exported value in 2015-M02	Exported value in 2015-M03	Exported value in 2015-M04	Exported value in 2015-M05	Exported value in 2015-M06	Exported value in 2015-M07	Exported value in 2015-M08	Exported value in 2015-M09	Exported value in 2015-M10	Exported value in 2015-M11	Exported value in 2015-M12	Exported value in 2016-M01	Exported value in 2016-M02	Exported value in 2016-M03	Exported value in 2016-M04	Exported value in 2016-M05	
"World"	86683	62025	72779	93555	47092	101005	71403	58237	54689	56835	46804	39896	68045	76636	88727	95389	70172	66302	50121	58379	
"China"	7782	6995	13366	9676	6337	9819	10023	9723	11782	10269	10479	7624	15456	21489	28029	14668	10812	9835	7245	12927	
"Egypt"	3501	784	7647	9569	2322	7572	18783	5076	6021	6177	145	1251	1906	7121	5379	8708	5530	7451	3182	6048	
"Australia"	6932	6378	3825	4139	5712	4773	2135	2282	3880	1827	3143	2568	4891	3065	3679	4357	4534	5868	4727	4453	
"Iran, Islamic Republic of"	874	4448	1337	215	0	16609	0	0	1508	5979	1365	0	996	4774	6381	21935	9651	9314	3797	3268	
"Saudi Arabia"	6024	6504	4821	1211	602	6073	5995	3775	3077	2261	1510	606	1042	2348	2488	8161	6092	3269	1766	3049	
"Taipei, Chinese"	1840	2547	1777	2531	2425	3274	2826	3770	1493	2346	2776	1763	2285	2207	2629	1279	2917	2647	2805	2494	
"Japan"	11747	589	2099	3285	29	1330	1685	1883	54	4505	6209	5070	4045	127	205	476	84	1061	3774	2375	
"Türkiye"	7233	4126	8198	8155	3186	457	2955	1282	1744	3000	969	1673	4767	2132	8858	3895	1252	363	2145	2155	
"Morocco"	3557	1230	1963	3233	2165	4943	1158	2170	1591	271	1932	567	1660	2128	2511	4227	1793	2947	234	2113	
"Indonesia"	4237	2356	1247	2110	1853	2772	2048	2617	625	2341	2960	1922	6180	3009	1863	2548	2546	3618	2616	1817	
"Azerbaijan"	4724	3405	5790	4969	4450	4454	5544	4685	4030	438	62	2276	2946	2004	3737	2023	3075	1594	2040	1529	
"United States of America"	789	2892	1279	1880	1226	1422	379	120	306	488	412	471	1243	1642	868	2301	1853	638	491	1383	
"United Arab Emirates"	2038	2928	1471	18596	1928	22154	1740	1069	739	448	879	684	1024	2679	753	786	1044	586	420	1320	
