Importers	2011-M08-Exported quantity, Kilograms	2011-M09-Exported quantity, Kilograms	2011-M10-Exported quantity, Kilograms	2011-M11-Exported quantity, Kilograms	2011-M12-Exported quantity, Kilograms	2012-M01-Exported quantity, Kilograms	2012-M02-Exported quantity, Kilograms	2012-M03-Exported quantity, Kilograms	2012-M04-Exported quantity, Kilograms	2012-M05-Exported quantity, Kilograms	2012-M06-Exported quantity, Kilograms	2012-M07-Exported quantity, Kilograms	2012-M08-Exported quantity, Kilograms	2012-M09-Exported quantity, Kilograms	2012-M10-Exported quantity, Kilograms	2012-M11-Exported quantity, Kilograms	2012-M12-Exported quantity, Kilograms	2013-M01-Exported quantity, Kilograms	2013-M02-Exported quantity, Kilograms	2013-M03-Exported quantity, Kilograms	
"World"	15625980	16249965	26505340	27638600	31364276	33690168	23506608	21554676	19154052	22091456	37080884	21112884	15181498	19829278	29007388	20033478	30295990	23802360	25575228	27406794	
"Egypt"	622297	923683	1904514	3783716	1258806	4925667	2116055	648521	1441719	2701923	11458107	2695587	1215312	518663	1296218	1664353	2795635	2249978	3276120	7015296	
"China"	1116178	1237637	647941	2049937	2029701	1926675	2909155	2636289	937450	1551022	1591343	665046	1964376	1542186	1192066	1826363	4031509	1715574	2157854	4077053	
"Russian Federation"	1892919	1880149	3502248	440041	2241070	1683652	975875	1645445	401804	1486922	4297436	1305540	2666572	2710290	1094381	1031359	2554727	1427196	2925133	2015454	
"Chile"	18412	0	20527	0	18661	0	0	0	0	121343	122321	48015	55984	0	0	27971	55984	0	517504	1169271	
"Belgium"	129704	1082217	1213601	2050124	8571003	8012422	4104824	1108192	28229	0	563332	338725	0	0	1671872	518328	2374873	5332592	4220603	1125125	
"Australia"	890245	1631111	1577372	2243324	1557482	1624643	2921748	2119791	1701021	1455340	1907340	1218597	935341	989719	1393033	1406406	670056	1674904	1184285	994859	
"Saudi Arabia"	499067	637106	551879	886332	1521946	1060215	609709	1075164	281538	1087291	267970	929596	1269344	628774	1740964	301095	478200	963263	390495	928729	
"Morocco"	1096360	1543918	199482	620852	420950	1110017	0	1005193	916140	1370057	1843629	986325	543184	569869	232153	684226	802276	548146	907240	852935	
"Indonesia"	235826	430175	895385	528992	445899	552047	381804	863970	536049	717302	651538	272448	444564	372242	223439	537721	326691	462919	395757	852560	
"Taipei, Chinese"	802684	589819	310436	565941	505365	431617	610684	541684	719072	611299	810907	1163126	772142	580143	798770	612892	722523	502192	919137	814831	
"Azerbaijan"	286430	316748	590061	1050763	690678	892477	2025692	1007420	913608	1707989	2736258	1694983	1523728	1889179	998900	1100921	742824	571773	278227	709794	
"Georgia"	103761	0	240280	403828	50093	51881	27487	129225	181584	178788	154770	123519	0	121216	363801	535804	504064	103804	607775	644143	
"Iran, Islamic Republic of"	0	0	3142053	3043026	3769109	5826909	1712989	1551145	4071649	4312195	3360208	2472838	0	1066138	7850365	2719847	6881161	1788220	1993966	617253	
"Algeria"	0	0	0	155643	367067	567867	100548	146384	34587	301163	292083	100117	129652	0	146251	196730	341894	382223	293890	577596	
"Malaysia"	105462	259160	486127	340876	199891	237515	290840	310160	569552	224320	523440	282875	240289	118004	351781	327636	323746	276810	204357	539571	
"Hong Kong, China"	356455	255935	287610	222070	283157	256037	208369	460921	318514	327334	304059	309921	267520	436403	316545	372712	417339	288526	253906	519131	
"Türkiye"	390759	524582	766696	844338	0	258585	932892	259305	903734	74320	0	396431	121005	1068257	932736	518097	920129	1240967	532488	461796	
"United Arab Emirates"	127326	224855	151866	337279	346681	549844	291483	161619	459189	279072	1161115	522558	65234	205867	415509	296856	250826	676861	204522	403699	
"Bahrain"	293176	369609	412348	219647	347502	171381	431762	561493	494773	54610	133166	0	249344	457750	596739	272140	393521	412278	400468	360420	
"United States of America"	140836	15274	577557	575458	545843	70488	88733	129081	49747	66265	161843	226079	214978	833843	953230	1623694	802483	89642	232392	334287	
"Singapore"	311518	251907	312173	443369	436862	280112	233826	209072	267114	244153	346665	461304	334090	728877	345180	251054	379990	414720	308214	296650	
"Philippines"	161829	188887	200451	281664	163749	154522	124631	215922	134651	125922	224931	192231	96099	174386	141689	216801	164877	81970	218437	294044	
"Viet Nam"	87606	99913	106366	160674	147039	108576	178031	174438	101724	193981	62775	171664	53891	150247	172470	256038	222279	218186	122987	247691	
"Denmark"	2266879	1441838	4139952	3112326	1885223	503992	115292	178626	0	172939	180209	242088	0	0	206883	0	103583	204978	466161	241315	
"French Polynesia"	98387	58670	91495	106154	69256	89050	60766	128582	45641	106585	87796	111845	79397	89409	46582	109109	56173	108108	76001	225332	
"Fiji"	78887	58430	82504	123832	202116	134546	0	27590	3714	93693	125669	142198	71934	285266	198956	160546	84600	254984	226517	136375	
"Papua New Guinea"	43795	123886	49079	40208	36836	31596	71081	55615	51934	51617	177568	48207	34356	49794	30129	59973	64815	49355	38372	107211	
"Ukraine"	402112	111951	518816	21991	972473	0	0	0	0	0	0	828871	129241	1011229	310775	0	311058	0	21874	100116	
"Kuwait"	42949	74633	33584	80246	98995	0	34458	20023	74632	20023	20023	16387	34587	16294	61495	207368	106492	51880	60071	90883	
"Korea, Republic of"	374924	233626	348347	654409	96972	238759	119249	376304	373546	540445	307705	109384	90426	361266	147871	200675	335965	81765	176529	65607	
