Importers	Exported value in 2011-M08	Exported value in 2011-M09	Exported value in 2011-M10	Exported value in 2011-M11	Exported value in 2011-M12	Exported value in 2012-M01	Exported value in 2012-M02	Exported value in 2012-M03	Exported value in 2012-M04	Exported value in 2012-M05	Exported value in 2012-M06	Exported value in 2012-M07	Exported value in 2012-M08	Exported value in 2012-M09	Exported value in 2012-M10	Exported value in 2012-M11	Exported value in 2012-M12	Exported value in 2013-M01	Exported value in 2013-M02	Exported value in 2013-M03	
"World"	48012	51096	81243	80201	89145	95929	64616	60903	55537	60737	96989	52435	35911	44483	66964	48856	75183	56600	61556	72729	
"Egypt"	2426	3678	7831	11314	4004	13843	5509	1601	3826	6946	30403	6420	2816	1096	2713	3639	6151	5244	7838	17965	
"China"	3372	3877	2092	5722	6010	5654	8181	7740	2918	4424	4551	1917	5532	4241	3332	5172	11142	4856	6116	11841	
"Russian Federation"	5575	5765	10298	1102	6003	4502	2657	4538	1039	3730	10694	2747	5581	5722	2475	2283	5775	3139	6442	4917	
"Chile"	56	0	70	0	57	0	0	0	0	314	319	116	156	0	0	90	177	0	1201	2782	
"Australia"	2696	5077	4819	6436	4591	4597	7135	5475	4434	3665	5397	3490	2643	2454	3726	3785	1991	4020	3011	2680	
"Belgium"	368	2948	3727	5157	21240	19079	9805	2559	63	0	998	627	0	0	3637	1432	5142	11278	9033	2616	
"Indonesia"	736	1402	2699	1896	1670	1967	1362	2690	2059	2149	1841	752	1118	795	556	1156	709	1100	983	2460	
"Saudi Arabia"	1533	1997	1768	2683	4174	2925	1675	3043	787	2955	777	2384	3021	1313	3661	726	1216	2349	954	2451	
"Morocco"	3432	5102	664	1779	1207	3090	0	2662	2440	3375	4246	2304	1361	1236	488	1559	2017	1393	2292	2150	
"Taipei, Chinese"	2541	1830	1009	1623	1438	1276	1710	1527	2017	1571	2175	3117	1726	1194	1721	1410	1730	1121	2188	2058	
"Azerbaijan"	972	957	1778	2911	2091	2654	5732	2816	2507	4467	7310	4265	2359	4044	2189	2625	1746	1451	679	1794	
"Georgia"	344	0	756	1144	143	148	74	368	526	462	418	350	0	261	900	1358	1256	256	1551	1706	
"Algeria"	0	0	0	431	1084	1633	278	398	95	779	677	223	308	0	323	459	856	954	710	1524	
"Iran, Islamic Republic of"	0	0	9288	8902	11999	18930	5490	4692	12455	12824	7671	5777	0	2337	18693	6108	18043	4029	4478	1484	
"Malaysia"	227	568	1176	1052	652	818	912	1007	1783	637	1053	744	548	261	787	751	828	655	528	1437	
"Hong Kong, China"	1041	732	817	699	1021	932	715	1673	1125	1035	816	870	686	962	666	953	987	676	662	1358	
"Türkiye"	1226	1582	2386	2492	0	717	2456	615	2467	195	0	947	244	2311	2014	1233	2338	2746	1190	1101	
"United Arab Emirates"	377	788	435	919	1022	1634	881	436	1260	780	3282	1315	151	457	867	738	645	1656	539	1087	
"French Polynesia"	476	286	429	504	338	443	315	680	241	502	393	535	382	416	215	509	259	500	354	1064	
"United States of America"	439	53	1540	1515	1361	220	263	384	165	277	457	562	458	1743	2147	3728	1779	242	569	990	
"Bahrain"	914	1192	1298	673	922	464	1138	1474	1304	144	293	0	543	948	1303	657	928	1017	963	890	
"Philippines"	496	580	640	917	602	566	545	859	481	323	602	514	219	393	319	526	404	189	555	751	
"Singapore"	985	832	860	1152	1213	797	716	567	732	650	1048	1202	775	1615	751	585	898	1050	736	751	
"Denmark"	6370	4324	12404	9511	5641	1417	335	489	0	484	367	570	0	0	494	0	253	509	1177	659	
"Viet Nam"	243	301	315	443	419	306	481	474	288	541	160	492	117	329	397	577	526	512	311	611	
"Papua New Guinea"	207	549	218	182	175	151	355	242	233	242	862	245	183	247	140	296	316	246	123	556	
"Fiji"	314	217	294	417	704	486	0	94	13	247	321	397	191	713	488	416	214	649	603	372	
