Importers	Exported value in 2011-M08	Exported value in 2011-M09	Exported value in 2011-M10	Exported value in 2011-M11	Exported value in 2011-M12	Exported value in 2012-M01	Exported value in 2012-M02	Exported value in 2012-M03	Exported value in 2012-M04	Exported value in 2012-M05	Exported value in 2012-M06	Exported value in 2012-M07	Exported value in 2012-M08	Exported value in 2012-M09	Exported value in 2012-M10	Exported value in 2012-M11	Exported value in 2012-M12	Exported value in 2013-M01	Exported value in 2013-M02	Exported value in 2013-M03	
"Ukraine"	1134	343	1364	72	2546	0	0	0	0	0	0	1784	258	1978	619	0	683	0	62	261	
"Kuwait"	132	239	117	242	305	0	88	59	192	45	42	40	72	31	127	479	265	128	156	231	
"Korea, Republic of"	1186	758	1088	1946	296	786	361	1147	1166	1578	914	297	243	939	364	488	861	225	463	196	
"Samoa"	20	107	121	38	281	81	180	69	87	158	41	139	153	154	255	157	106	205	73	164	
"Jamaica"	158	333	176	359	58	676	52	161	63	57	177	169	129	166	228	313	375	271	108	157	
"Armenia"	1944	0	781	790	1317	718	982	2000	45	682	3396	116	507	1211	1286	1413	77	438	1155	131	
"Thailand"	216	36	423	101	239	186	95	152	330	142	177	217	68	216	96	101	158	131	114	128	
"Bermuda"	57	0	60	61	62	0	0	65	0	65	0	0	59	53	0	46	107	0	0	117	
"Mauritius"	0	35	36	167	43	41	83	38	39	37	81	119	0	31	27	31	65	34	34	114	
"New Caledonia"	110	191	104	242	171	258	77	186	136	119	176	181	159	151	59	67	126	196	66	110	
"Sri Lanka"	93	178	205	284	50	214	138	99	194	78	129	186	116	0	53	103	182	75	104	108	
"Guatemala"	50	107	0	108	57	165	120	205	116	0	160	59	205	91	63	101	47	97	96	100	
"Trinidad and Tobago"	87	88	90	0	0	96	0	93	184	0	99	98	90	88	94	99	0	79	87	92	
"Netherlands Antilles"	56	68	64	60	70	0	75	0	215	73	79	79	0	139	53	56	73	0	0	74	
"Aruba"	0	0	0	64	0	0	0	0	0	75	0	0	75	0	61	0	0	0	0	69	
"Brunei Darussalam"	0	0	31	0	0	0	68	51	50	38	261	365	0	0	33	0	0	0	29	68	
"Japan"	600	1693	1516	0	0	60	55	1988	3352	580	931	2455	51	241	2760	43	0	45	0	59	
"Grenada"	0	41	0	0	0	0	62	0	0	0	64	0	0	0	0	0	0	0	0	59	
"Saint Lucia"	49	53	0	52	0	55	0	0	0	56	0	0	0	0	51	0	0	50	0	55	
"Peru"	0	0	71	0	0	65	68	0	0	0	0	132	0	0	0	55	0	61	0	53	
"Bahamas"	53	0	110	59	62	62	68	0	66	77	55	63	58	59	60	0	111	58	0	53	
"United States Minor Outlying Islands"	59	38	66	3	139	138	96	227	3	128	0	73	146	111	8	77	63	72	90	52	
"Turkmenistan"	0	0	0	264	51	50	52	114	0	0	0	45	0	39	0	81	0	0	0	43	
"Tajikistan"	0	0	606	166	0	0	49	0	0	0	0	0	0	0	36	81	0	0	0	43	
"Oman"	5	66	0	5	59	70	44	50	44	0	202	42	34	32	59	38	99	34	85	40	
"Qatar"	121	45	51	41	115	272	112	87	72	0	127	33	89	101	95	86	32	39	55	38	
"Solomon Islands"	41	37	8	10	0	34	33	15	9	42	15	10	27	16	40	1	0	13	17	20	
"Vanuatu"	14	1	22	0	28	19	0	27	0	3	7	32	4	15	40	60	6	5	0	6	
"Norfolk Island"	0	5	10	0	6	0	0	0	0	8	0	0	8	7	0	9	0	1	0	3	
"Northern Mariana Islands"	34	0	37	0	77	0	52	0	38	37	30	0	62	0	0	25	0	0	47	0	
"Marshall Islands"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Panama"	0	100	0	0	0	0	52	46	0	45	0	0	50	45	37	38	43	0	47	0	
"Nigeria"	0	77	0	0	41	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	
"Niue"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Netherlands"	303	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Iraq"	0	0	59	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Kazakhstan"	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	
"Jordan"	0	0	0	0	0	0	0	0	37	0	0	0	0	0	30	0	0	36	0	0	
"Kenya"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	
"Mexico"	167	0	104	133	329	0	0	33	652	199	673	34	260	241	328	0	0	517	458	0	
"Mongolia"	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Lebanon"	0	50	94	43	0	0	229	45	49	0	0	0	0	0	67	76	0	221	0	0	
"Madagascar"	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Maldives"	45	0	0	36	0	42	34	0	31	0	204	53	0	60	0	54	37	0	0	0	
"Barbados"	49	0	110	52	0	0	0	54	0	0	58	0	61	0	161	0	49	51	53	0	
"Myanmar"	50	65	0	159	106	85	46	38	119	45	33	193	36	56	151	63	63	76	62	0	
"Cambodia"	0	0	48	0	52	0	0	0	0	44	0	0	7	29	0	0	34	0	2	0	
"Canada"	1311	472	1243	822	746	901	267	38	0	0	538	1084	1031	1043	2111	452	1815	515	179	0	
"Antigua and Barbuda"	0	56	0	52	0	0	0	0	0	55	0	0	0	0	0	56	0	0	0	0	
"Brazil"	0	0	0	0	78	0	0	0	0	0	0	119	156	0	37	0	0	0	0	0	
"Belize"	0	58	60	60	59	0	0	0	0	59	63	0	0	0	103	0	54	0	0	0	
"Honduras"	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	
"Gambia"	0	52	0	0	48	0	0	0	0	41	0	0	0	0	35	0	0	0	0	0	
"Kiribati"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
"France"	1134	0	493	882	0	0	918	482	0	0	0	0	0	0	0	0	0	144	1265	0	
"Djibouti"	0	0	47	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	
"Dominican Republic"	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	
"El Salvador"	52	0	0	51	0	56	0	0	51	0	0	0	34	0	52	0	56	0	0	0	
"Congo, Democratic Republic of the"	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Cook Islands"	39	19	24	3	18	3	23	25	8	5	87	65	29	27	60	7	16	6	11	0	
"Cuba"	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	
"Tokelau"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Tonga"	0	158	30	149	0	86	106	189	27	84	236	65	180	77	126	36	133	130	57	0	
"Somalia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	
"South Africa"	747	370	1173	435	376	177	337	3436	1386	1647	244	736	251	1166	68	781	826	0	481	0	
"Sudan (before 2012)"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
"Syrian Arab Republic"	239	140	629	325	998	441	179	352	290	411	403	0	0	0	0	0	0	0	0	0	
"Seychelles"	0	28	0	0	0	0	32	0	0	0	0	35	0	0	28	34	0	0	31	0	
"Sierra Leone"	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	37	0	0	0	
"India"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	
"Tuvalu"	4	0	0	5	4	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	
"Yemen"	0	0	0	0	0	147	142	0	0	139	0	0	0	0	114	123	118	0	0	0	
"Uruguay"	0	0	0	0	0	247	0	115	120	114	127	0	0	0	131	0	0	138	0	0	
"Uzbekistan"	0	0	318	240	439	234	280	71	584	0	0	336	0	714	1667	120	40	607	253	0	
"Venezuela, Bolivarian Republic of"	170	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	
"Wallis and Futuna Islands"	14	7	7	5	9	0	6	5	8	4	0	7	8	6	15	6	0	5	0	0	
