Importers	2013-M03-Exported quantity, Kilograms	2013-M04-Exported quantity, Kilograms	2013-M05-Exported quantity, Kilograms	2013-M06-Exported quantity, Kilograms	2013-M07-Exported quantity, Kilograms	2013-M08-Exported quantity, Kilograms	2013-M09-Exported quantity, Kilograms	2013-M10-Exported quantity, Kilograms	2013-M11-Exported quantity, Kilograms	2013-M12-Exported quantity, Kilograms	2014-M01-Exported quantity, Kilograms	2014-M02-Exported quantity, Kilograms	2014-M03-Exported quantity, Kilograms	2014-M04-Exported quantity, Kilograms	2014-M05-Exported quantity, Kilograms	2014-M06-Exported quantity, Kilograms	2014-M07-Exported quantity, Kilograms	2014-M08-Exported quantity, Kilograms	2014-M09-Exported quantity, Kilograms	2014-M10-Exported quantity, Kilograms	
"Iran, Islamic Republic of"	617253	300351	321601	6363811	0	0	0	6467968	7633497	5628843	6648188	5639216	0	0	11758919	0	310801	0	318239	311007	
"United States of America"	334287	156660	270338	182169	85314	102741	93339	280524	265927	403594	375834	100624	44312	33697	35079	275232	293967	244937	246011	291409	
"Armenia"	53541	463715	434370	79369	207527	515582	184326	403206	234903	408612	853063	23160	877046	22490	0	0	207450	532481	459039	270912	
"Algeria"	577596	361643	336922	436134	287169	172937	215153	368094	233744	291385	371505	277727	450344	378882	515894	119699	241554	380030	78459	215125	
"Bahrain"	360420	9324	380446	20024	200234	54764	0	27217	109476	44813	54764	123463	103762	69364	16718	117403	172409	63331	669495	208772	
"United Kingdom"	0	0	0	361444	140164	100117	0	0	20024	183166	262877	51549	100117	0	0	60070	246076	110866	362529	207528	
"Korea, Republic of"	65607	122652	75108	246439	84629	112552	214601	249597	167698	154747	141098	165512	111959	105564	246233	135134	189060	83202	219539	203796	
"Philippines"	294044	204259	173748	372260	132058	206426	119224	244273	217165	148326	168084	205696	256588	162231	229772	308424	207868	397754	418401	202540	
"Viet Nam"	247691	125398	49338	233668	280649	156619	100112	126751	569857	133083	201350	69615	164822	202235	116686	172855	130992	168923	254674	181210	
"Belgium"	1125125	0	520429	276700	3763279	26969	152656	100881	5253908	12229108	6071109	1908678	1581076	0	60503	80705	132278	89300	239233	178652	
"Uzbekistan"	0	152644	65018	69120	0	0	0	22901	68527	45919	0	45910	74910	0	194577	0	69355	0	173977	149658	
"South Africa"	0	421625	34381	588139	570311	0	465700	0	0	0	363095	0	0	0	0	138120	237174	0	103352	138326	
"French Polynesia"	225332	36539	92065	113755	94191	66028	118652	16126	159773	113587	28550	81259	158556	88604	71628	88731	77916	69521	68018	134390	
"Mexico"	0	106566	157528	110853	166240	0	0	83530	0	0	102111	73814	120	36875	128665	184794	102087	92407	92407	128339	
"Sri Lanka"	41807	25592	51317	36132	41462	26504	38349	13728	78549	30343	43781	34010	38475	59636	40325	55169	42915	44140	71645	78463	
"Yemen"	0	0	0	0	0	0	0	0	0	0	0	34381	0	0	0	0	0	0	0	77823	
"Papua New Guinea"	107211	20734	34717	52800	60173	22508	28225	14871	69380	35613	56151	51473	73789	10736	60841	39325	26809	15972	39186	73477	
"Georgia"	644143	119491	579811	539575	140164	110086	525928	608395	445113	486752	376265	224509	328307	132403	182665	160188	0	42111	40979	67773	
"Jamaica"	47788	0	16101	84705	32072	15594	63137	83480	80680	47042	103685	152691	32926	33637	32564	16497	14836	50660	62790	59833	
"Kuwait"	90883	51596	31287	69174	57341	0	51881	17293	30864	17293	51881	17481	17293	13571	34061	40048	67735	31972	155517	52342	
"Uruguay"	0	0	60070	40047	0	0	0	0	25940	25940	85234	84796	0	0	0	0	0	51882	0	51856	
"Trinidad and Tobago"	24964	24129	0	24779	25367	0	47218	0	49167	0	22778	24340	24379	27464	50742	0	24964	23270	0	48309	
"Samoa"	35576	162	19179	38722	26274	27655	20688	0	58228	23984	6824	57328	17082	29929	28692	12402	53727	20514	13846	47526	
"Guatemala"	30692	29226	14377	28322	30854	15120	0	91406	30418	57256	47929	17293	75059	0	32503	29935	15926	77378	0	47508	
"Thailand"	49232	49611	36025	90128	38604	31186	77115	67063	81765	86018	55883	73097	86863	74107	35728	26451	44441	59853	28095	40000	
"United States Minor Outlying Islands"	11280	15687	29224	177	31925	18245	11049	13435	0	28263	5738	30175	18318	20621	10435	225	20566	0	25845	38757	
"Mauritius"	44920	15945	14965	14951	29806	16397	15406	15610	0	13229	29618	13567	26708	14598	15387	15164	13002	13702	17470	30968	
"Netherlands Antilles"	15972	0	0	0	0	0	0	0	0	0	12636	15566	33555	0	47645	0	0	14832	0	30832	
"Syrian Arab Republic"	0	0	0	0	60071	0	0	0	0	0	103737	51881	0	0	0	34562	51882	0	0	25941	
"Belize"	0	13308	0	30891	0	0	16707	0	0	16783	0	0	13240	0	13453	0	0	0	13453	25921	
"Tonga"	0	61378	20006	35361	36792	38923	19936	29469	25650	1952	40368	11416	25650	37487	12110	21103	9684	16386	21125	23473	
"Senegal"	0	0	0	0	60072	0	0	0	0	0	0	17293	17293	17293	0	0	0	0	0	17294	
"Nigeria"	0	0	0	0	0	0	0	0	17293	0	0	0	0	0	0	17294	0	0	0	17294	
"Peru"	18347	0	0	16810	18356	16802	0	0	0	0	13620	16783	17426	0	0	0	17202	0	0	16786	
"Cook Islands"	0	4086	7347	5443	6790	8062	1567	617	7782	4421	4486	7033	5922	3658	4542	1141	3566	9828	568	16018	
"Qatar"	15517	73008	23274	52118	36716	39560	40141	34735	35569	34586	55110	56172	32003	65005	20765	49579	35558	20670	90692	14678	
"New Caledonia"	23909	25076	22791	19860	52995	35961	36555	22328	40230	41238	43466	15263	50232	10918	52674	59913	40879	25904	41823	14522	
"Barbados"	0	0	14191	11439	9170	0	0	29094	14826	14068	0	12874	14698	14604	14268	0	14533	14211	14604	14396	
"Panama"	0	14437	0	15104	14928	0	14997	43875	0	14012	0	14894	0	14689	0	13276	14555	0	13932	14386	
"Seychelles"	0	0	0	0	11223	0	14415	0	0	0	0	0	15779	0	15098	0	11213	985	14790	14243	
"Bahamas"	13513	14864	0	0	14082	12993	14978	0	26994	0	28600	14471	0	14911	13490	14926	26570	17455	31483	13803	
"Maldives"	0	23896	26784	15538	13386	0	15387	0	20064	13218	14411	10786	0	22784	11286	0	6654	15172	9983	12790	
"Vanuatu"	1649	787	1392	1386	4395	4471	8840	4109	983	2969	0	3480	5870	6039	5489	5733	4194	3757	629	10326	
"Fiji"	136375	22529	79835	4787	180698	123385	118847	37260	111810	85287	21636	143941	55266	124592	135863	52917	85490	97093	140826	6315	
"Solomon Islands"	4287	7038	5516	0	9553	5164	0	5867	5465	0	9452	0	7926	0	7709	7754	11835	0	9697	3210	
"Norfolk Island"	523	1279	1480	0	401	1128	237	1380	1781	723	192	731	940	628	247	873	1219	0	1317	1287	
"Niue"	0	0	626	410	0	0	157	100	155	0	2814	0	134	190	489	436	332	936	606	945	
"Nauru"	0	82	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	262	
"Aruba"	16947	0	0	12570	0	14608	0	13454	0	0	13620	0	0	0	16165	0	0	0	16097	0	
"Northern Mariana Islands"	0	8824	0	6939	0	0	0	0	7772	0	11437	0	6489	0	7224	0	0	8625	9850	0	
"Timor-Leste"	0	0	0	0	0	0	0	0	7562	8802	12560	0	0	9096	0	0	0	0	0	0	
"Oman"	17635	2729	33547	16757	19888	34680	33535	16582	37141	17423	16517	34387	16409	34489	0	53061	31308	34957	35439	0	
"Lebanon"	0	0	17293	34330	0	0	0	17242	17293	34587	33886	0	86312	56822	34587	0	51753	51882	207	0	
"Lithuania"	0	0	0	0	0	0	0	0	0	0	0	0	60070	0	0	0	0	0	0	0	
"Madagascar"	0	14996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Kazakhstan"	0	8320	99826	0	0	0	0	0	0	0	0	0	0	0	0	0	39229	40103	0	0	
"Jordan"	0	0	0	0	0	0	27587	0	0	0	28385	0	0	0	0	0	0	0	24706	0	
"Kenya"	0	0	0	0	0	0	0	0	0	0	0	0	0	17152	0	0	0	0	0	0	
"Brunei Darussalam"	16389	66046	91423	74460	27400	0	11528	16194	16194	0	0	15389	43787	64966	34521	0	20503	0	0	0	
"Myanmar"	0	69492	31572	15441	68602	0	38457	56015	37237	45081	58364	14411	23475	90544	17293	0	0	0	33642	0	
"Cambodia"	0	15614	0	0	27008	0	0	12385	0	29994	14852	0	840	32171	13240	0	13357	0	13678	0	
"Chile"	1169271	622503	0	339261	27992	18640	340260	27971	933612	570362	414074	653042	767391	618822	507905	777969	181771	55881	96485	0	
"Bermuda"	30587	0	0	10502	0	10128	0	29625	15282	0	15918	0	13988	0	0	15446	16141	0	12587	0	
"Antigua and Barbuda"	0	14358	0	0	14928	0	0	14789	0	0	0	0	0	0	0	13645	0	0	0	0	
"Bangladesh"	0	0	0	0	0	0	0	0	0	0	0	17293	0	0	0	0	0	0	14617	0	
"France"	0	0	0	0	0	200235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"El Salvador"	0	0	15491	0	13678	13573	0	14557	0	0	0	16793	0	16780	17294	0	0	0	0	0	
"Congo, Democratic Republic of the"	0	0	60802	0	0	0	0	0	0	0	0	0	0	0	0	49727	0	0	0	0	
"Djibouti"	0	0	0	0	0	0	0	0	0	0	0	0	0	17293	0	0	0	0	0	0	
"Gambia"	0	0	15537	0	0	0	0	0	16257	0	0	17024	0	16219	0	0	0	16295	0	0	
"Kiribati"	0	0	0	406	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	
"Grenada"	15579	0	0	0	12117	0	0	0	0	0	15374	0	0	0	0	0	16039	0	0	0	
"India"	0	0	0	0	0	0	0	0	0	0	0	0	13614	0	0	0	0	0	0	0	
"Somalia"	0	14655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Saint Lucia"	14087	0	0	14011	0	14466	0	0	14750	15395	0	0	14191	0	0	14012	0	0	15542	0	
"Tajikistan"	16542	0	32392	0	0	0	54029	26401	26243	26159	0	0	0	16542	0	0	0	0	0	0	
"Turkmenistan"	16517	0	16450	0	0	0	0	16517	0	0	16542	0	0	15653	0	0	0	0	0	0	
"Tuvalu"	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Ukraine"	100116	51881	54764	89351	393949	464257	0	0	1035985	2037216	0	0	0	0	0	0	0	0	0	0	
"Venezuela, Bolivarian Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	55901	0	0	0	0	0	0	0	
"Wallis and Futuna Islands"	0	0	0	0	381	0	818	280	0	455	0	0	0	0	0	0	0	0	0	0	
