Importers	2013-M03-Exported quantity, Kilograms	2013-M04-Exported quantity, Kilograms	2013-M05-Exported quantity, Kilograms	2013-M06-Exported quantity, Kilograms	2013-M07-Exported quantity, Kilograms	2013-M08-Exported quantity, Kilograms	2013-M09-Exported quantity, Kilograms	2013-M10-Exported quantity, Kilograms	2013-M11-Exported quantity, Kilograms	2013-M12-Exported quantity, Kilograms	2014-M01-Exported quantity, Kilograms	2014-M02-Exported quantity, Kilograms	2014-M03-Exported quantity, Kilograms	2014-M04-Exported quantity, Kilograms	2014-M05-Exported quantity, Kilograms	2014-M06-Exported quantity, Kilograms	2014-M07-Exported quantity, Kilograms	2014-M08-Exported quantity, Kilograms	2014-M09-Exported quantity, Kilograms	2014-M10-Exported quantity, Kilograms	
"World"	27406794	17538272	16414789	21060456	19538720	10953112	18178728	24737608	34096456	42147624	37989052	34273656	26761548	20561136	30758132	20431238	18217620	14265991	16317508	31910240	
"Japan"	9868	0	14831	0	6340	0	7352	1691647	1354890	0	0	24645	7410	356767	477935	171933	1096039	129647	8192	3971828	
"China"	4077053	1573978	1604498	1731496	1744777	1892556	3674136	3504120	4008273	7508970	5945398	7646433	4236820	3653114	2581837	3649126	2044472	2435288	1953833	2809463	
"Türkiye"	461796	100117	39358	0	200234	0	259408	1610523	958523	1069157	1145053	1639521	940869	536923	582760	1174370	975124	1109435	596384	2760689	
"Australia"	994859	1434999	1383200	763798	1247525	581846	3181072	1759549	1712609	1957579	2008806	895243	1122352	1152405	981266	1137277	1017748	823687	1961225	2571712	
"Saudi Arabia"	928729	269624	560553	190487	863947	643706	652769	129854	577507	356286	1502258	1207856	1105779	322375	344425	831523	761287	519350	947892	2097650	
"Canada"	99	18661	91	0	94	82	34681	311180	64	276581	103644	0	121	0	912044	1208699	405610	215325	363148	1971731	
"Azerbaijan"	709794	537132	330051	1303634	1011298	826469	312903	915678	727658	1739850	1764107	1308851	1470532	1814483	2618288	1063743	817859	707224	589916	1870658	
"Netherlands"	0	0	0	160186	0	0	0	0	257967	0	311290	0	0	0	0	19764	0	0	437707	1853441	
"Indonesia"	852560	778502	759816	998330	379013	373529	607628	806816	1060368	425508	801630	487989	987050	1167334	1233491	555636	786857	1383579	826679	1505299	
"Egypt"	7015296	3320325	2392733	1129325	1297010	1037402	3411632	258997	1093252	1329626	2585439	2714472	2851689	2434703	2335210	2777488	2263829	1522945	0	1491506	
"Morocco"	852935	859840	1380416	619723	1439008	103556	362913	643122	675063	769667	911904	615868	850725	1381369	723308	793307	734600	233211	747691	1342437	
"United Arab Emirates"	403699	235565	365654	223403	351158	386260	402973	1072238	467570	530532	452615	782628	1211378	578855	454676	1116416	862199	372989	652671	750507	
"Russian Federation"	2015454	2282645	1227878	604008	1428930	312525	0	881031	560655	558434	1043770	3051000	2748601	1267012	400466	142057	448375	41266	70370	702163	
"Taipei, Chinese"	814831	808622	876573	922631	557195	581505	792824	428558	1015342	839869	485752	764074	844831	1180198	1188878	843569	895601	882621	910927	653799	
"Hong Kong, China"	519131	401313	227950	386344	318689	352206	634444	435879	482959	462875	381655	445224	407130	370233	340587	262737	451332	367001	433822	472380	
"Singapore"	296650	261526	182377	300150	310545	391275	192588	204038	374686	368557	538963	231322	402267	486115	302956	451837	511347	224345	259117	463758	
"Denmark"	241315	276650	154615	103428	484201	345697	0	0	0	0	103763	1359523	1138232	621860	0	517299	0	0	348710	414257	
"Malaysia"	539571	413996	442966	326940	237298	269129	299643	297069	410537	302375	373533	356706	374549	381298	378032	434519	495965	188900	372100	375941	
