Importers	2010-M01-Exported quantity, Kilograms	2010-M02-Exported quantity, Kilograms	2010-M03-Exported quantity, Kilograms	2010-M04-Exported quantity, Kilograms	2010-M05-Exported quantity, Kilograms	2010-M06-Exported quantity, Kilograms	2010-M07-Exported quantity, Kilograms	2010-M08-Exported quantity, Kilograms	2010-M09-Exported quantity, Kilograms	2010-M10-Exported quantity, Kilograms	2010-M11-Exported quantity, Kilograms	2010-M12-Exported quantity, Kilograms	2011-M01-Exported quantity, Kilograms	2011-M02-Exported quantity, Kilograms	2011-M03-Exported quantity, Kilograms	2011-M04-Exported quantity, Kilograms	2011-M05-Exported quantity, Kilograms	2011-M06-Exported quantity, Kilograms	2011-M07-Exported quantity, Kilograms	2011-M08-Exported quantity, Kilograms	
"World"	27277004	20783440	22715976	19804572	17792606	18871986	15157963	10673596	11443930	34234656	25723776	29560082	23526416	14707674	32203638	24247616	19649904	17012324	14995228	15625980	
"Denmark"	4332245	1938766	3424945	2609136	480511	2348652	2707272	1719913	667351	7006993	2207744	1606407	2861766	0	5006242	2572133	1977424	1005485	2224406	2266879	
"Russian Federation"	2008407	2228154	3173402	1420825	1834723	2047910	2296767	1306962	2570179	4238412	2847983	4440851	4876271	1838244	1725886	1726046	2373579	48222	1097858	1892919	
"China"	1578730	1111927	769918	996467	847020	582616	287238	539389	505654	1447868	981183	1600054	1170451	1252331	2002489	1604444	1108913	752423	587604	1116178	
"Morocco"	2334257	1118406	342411	281191	1286811	614109	1327574	86469	552733	1671654	1777538	885764	818025	2042195	1311372	2209975	794282	530713	534769	1096360	
"Australia"	2219114	1087137	885007	876867	1584825	1373848	1338077	1008155	1523062	1180229	1958658	931266	1163536	1243727	964280	1264186	1495234	1529092	902441	890245	
"Taipei, Chinese"	869059	912753	623073	546722	527491	465228	809818	614939	644313	896074	654486	875973	923327	1038706	1254093	1335828	474526	503534	252454	802684	
"Egypt"	1554698	1426744	1426743	2564490	1890031	4610030	728614	1037632	270010	3879931	2201237	2153087	1089489	259408	216173	1565090	1521861	3741287	691756	622297	
"Armenia"	920013	152800	516773	424437	302643	485923	605287	468297	0	213290	396128	286442	348727	464052	499121	135398	67768	304010	124028	610296	
"Saudi Arabia"	1182931	814167	476510	893427	767186	609584	431977	312319	253253	1046900	1264213	1482750	972379	271388	87425	1009428	503874	811273	430209	499067	
"Canada"	0	0	101	0	18190	18248	0	102	103758	1168569	657003	0	0	99	0	0	473830	69153	1763998	466933	
"Ukraine"	0	0	0	0	0	0	0	0	20023	80093	0	21144	0	20023	0	259330	0	0	0	402112	
"Türkiye"	0	241497	100572	484075	0	206780	100116	120671	34536	827250	414616	596249	452213	0	563679	0	258636	172810	742812	390759	
"France"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20023	0	0	25940	388315	
"Korea, Republic of"	289234	258427	147086	96989	335806	99573	168510	83513	53614	296754	216362	118719	279593	78460	191906	219996	273704	145319	259345	374924	
"Hong Kong, China"	384698	310883	338412	204170	252864	269935	175068	144138	228744	302017	241767	389217	233595	303160	277817	309314	308789	241266	225208	356455	
"Singapore"	451366	287665	187144	190191	257321	299488	278494	123491	254276	238572	269278	345336	317713	236156	247503	243827	378691	390053	158549	311518	
