Importers	Exported value in 2021-M02	Exported value in 2021-M03	Exported value in 2021-M04	Exported value in 2021-M05	Exported value in 2021-M06	Exported value in 2021-M07	Exported value in 2021-M08	Exported value in 2021-M09	Exported value in 2021-M10	Exported value in 2021-M11	Exported value in 2021-M12	Exported value in 2022-M01	Exported value in 2022-M02	Exported value in 2022-M03	Exported value in 2022-M04	Exported value in 2022-M05	Exported value in 2022-M06	Exported value in 2022-M07	Exported value in 2022-M08	Exported value in 2022-M09	
"World"	68821	92950	64286	86425	83647	87018	37739	43178	87611	99864	150203	116472	106497	158994	112867	100603	119518	144824	72408	89069	
"China"	21429	31484	18536	29662	30493	19830	11925	16886	15598	36904	57958	35053	30228	67549	36735	22715	40882	43534	22747	34288	
"Australia"	8101	7637	7123	4206	8020	13449	7220	4727	9076	8915	9208	7480	8098	10149	11857	11373	11922	17323	11472	9661	
"Indonesia"	1871	1694	1337	4603	2513	6828	3590	2844	2877	5764	4319	7190	6778	6862	5409	10700	7438	13385	4751	6745	
"Saudi Arabia"	4334	5946	3919	8546	3573	4514	109	1111	4052	5341	9175	8984	11164	5963	7630	9380	7791	5053	1658	4735	
"Taipei, Chinese"	2028	4033	2922	5564	2896	3717	785	977	4713	4845	7051	3556	4042	11188	3982	7867	5253	4528	2872	3746	
"Hong Kong, China"	611	2401	1524	2365	2166	2453	1034	469	3932	3294	2861	1622	1561	2060	1148	1153	1527	2799	2372	3448	
"Singapore"	1981	2434	2012	2442	3326	2712	926	1775	3472	2203	3337	1352	982	3432	1856	2337	2870	2992	1247	3079	
"Korea, Republic of"	736	2051	1852	2615	3170	2259	641	481	4089	4268	3214	4185	1222	5460	4232	3209	5145	3326	1046	2934	
"Malaysia"	2496	1897	2330	2668	2238	5000	904	1438	3485	1520	3908	2202	3642	3276	2639	2722	2505	2228	3047	2184	
"United States of America"	2666	2648	1749	1802	2539	2031	1041	1334	2147	2888	3187	3336	1461	4215	3142	741	4168	3674	3847	2122	
"Georgia"	282	2365	2238	1776	1509	3539	367	582	2455	2810	4491	1718	2427	3460	781	2583	2933	3097	363	1856	
"United Arab Emirates"	1050	928	526	1725	2050	644	454	864	986	717	1956	1265	1276	1099	1668	1594	2079	2199	1201	1597	
"Philippines"	1461	1967	1163	2094	516	1828	543	572	1263	1968	2225	1255	1792	3997	2874	2236	2136	2984	1021	1536	
"Fiji"	385	226	300	304	1001	294	735	746	409	547	89	132	755	1291	18	1601	162	357	973	1307	
"Netherlands"	596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9695	1818	1108	
"Viet Nam"	658	1403	771	1480	921	1086	159	396	986	1035	1760	475	776	3029	1542	1503	1299	1815	768	833	
"Mexico"	454	163	713	318	599	620	389	567	854	509	816	1060	366	366	1468	802	369	1461	1357	798	
"Jamaica"	0	392	90	238	165	435	0	528	147	267	470	893	451	247	179	337	420	478	203	751	
"Chile"	3982	2445	3423	2053	1288	4297	107	423	1185	647	2135	2149	2025	4068	703	360	0	3049	0	617	
"French Polynesia"	307	359	243	495	424	311	500	565	766	832	589	490	251	403	521	655	633	388	277	545	
"Canada"	1245	214	1077	238	1199	1309	665	472	656	575	2387	2539	3007	2860	2790	2106	3579	2216	2813	482	
"Tonga"	41	6	215	182	368	444	0	128	7	135	166	139	72	235	72	7	162	207	103	473	
"Thailand"	459	512	811	991	1233	1180	244	324	654	499	623	424	389	926	1271	631	1371	537	562	386	
"Qatar"	106	460	0	318	366	206	0	308	299	0	496	229	670	378	282	807	929	485	0	309	
"Japan"	1093	4055	2391	817	253	1017	1373	1393	4622	2375	4023	2062	1750	2647	3278	1821	3933	5639	1577	308	
"Myanmar"	453	43	0	0	208	69	406	188	108	232	408	322	277	240	751	0	160	0	173	282	
"Kuwait"	85	236	102	295	0	204	190	0	212	217	339	0	320	470	309	896	876	851	314	265	
"Belgium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	
"Mauritius"	57	58	0	56	0	0	56	72	206	0	199	170	89	103	101	113	110	116	63	215	
"Trinidad and Tobago"	259	137	150	135	0	134	133	284	143	135	0	228	158	0	268	0	0	186	0	194	
"Seychelles"	0	0	0	0	0	0	0	0	73	0	0	0	0	79	0	0	0	0	0	185	
"New Caledonia"	56	186	34	9	19	131	98	199	261	6	106	25	7	257	233	146	244	188	290	168	
"United States Minor Outlying Islands"	111	59	58	0	104	0	62	320	56	143	123	122	148	202	78	0	225	181	0	166	
"Jordan"	0	93	0	0	111	194	0	0	200	0	0	241	119	123	0	0	330	157	0	151	
"United Kingdom"	0	0	0	0	0	0	0	0	0	0	0	452	451	0	0	0	164	315	0	148	
"Maldives"	0	252	51	69	55	69	83	13	87	64	132	98	109	101	0	148	153	162	0	139	
"Guatemala"	114	74	144	202	0	160	256	75	222	147	138	152	164	279	173	371	217	483	82	127	
"Aruba"	0	63	0	0	0	0	93	91	0	0	91	0	0	91	0	0	0	129	0	121	
"Curaçao"	78	0	0	63	106	73	0	0	178	99	83	171	0	0	0	0	139	392	0	120	
"Antigua and Barbuda"	0	0	0	0	0	67	0	0	0	0	87	0	0	0	98	0	0	0	0	119	
"Papua New Guinea"	139	81	233	12	73	96	109	97	243	182	99	143	120	48	292	229	33	355	0	108	
"Saint Lucia"	0	62	0	0	0	0	0	0	0	0	67	0	0	0	78	0	0	0	0	97	
"Bermuda"	60	0	87	0	0	0	86	0	75	0	0	71	91	0	0	0	114	0	0	96	
"Samoa"	161	148	134	79	73	255	93	140	142	195	152	124	142	80	61	193	206	521	0	77	
"Cambodia"	95	54	42	0	55	87	0	0	72	0	103	56	0	49	107	126	226	42	90	61	
"Solomon Islands"	42	0	41	31	45	41	0	46	42	48	32	31	0	36	0	41	39	39	0	40	
"Cook Islands"	23	27	4	35	32	65	43	93	0	6	10	6	37	19	10	29	72	89	74	21	
"Vanuatu"	3	8	31	10	0	55	12	38	0	0	39	17	7	33	14	12	21	44	44	11	
"Timor-Leste"	0	54	0	0	0	10	0	0	0	0	82	0	0	0	6	0	0	0	0	9	
"Wallis and Futuna Islands"	0	4	9	10	0	2	12	16	9	12	7	7	5	8	0	6	2	0	8	7	
"Guyana"	8	4	4	0	0	4	0	4	0	4	0	0	0	0	0	0	0	0	0	6	
"Niue"	1	0	2	4	1	3	2	1	0	3	1	0	0	6	0	7	4	0	3	4	
"Marshall Islands"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
"Kiribati"	14	0	20	0	9	0	18	0	0	28	0	0	13	24	18	0	4	0	24	1	
"Grenada"	0	0	0	0	73	0	0	0	72	0	0	0	0	88	0	0	0	120	0	0	
"Denmark"	334	677	0	0	0	0	0	0	0	0	0	0	0	0	0	951	1546	144	0	0	
"El Salvador"	0	0	0	0	0	0	56	0	0	0	0	55	0	0	0	0	0	0	0	0	
"Congo, Democratic Republic of the"	0	0	0	0	0	0	0	0	0	0	0	45	0	144	0	0	0	0	0	0	
"Gambia"	0	0	81	0	0	0	0	73	0	0	0	0	0	0	0	120	0	0	0	0	
"Ghana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	140	0	0	0	
"Brunei Darussalam"	300	121	161	56	46	0	84	83	0	0	385	99	157	0	184	149	0	0	0	0	
"Belize"	0	82	0	0	91	185	86	0	86	0	0	115	64	0	0	50	0	115	0	0	
"Sri Lanka"	0	157	0	197	305	98	84	114	277	0	166	164	0	193	0	0	0	0	0	0	
"Azerbaijan"	711	223	1325	908	1127	668	264	149	753	758	1669	2329	1160	3046	533	0	1362	2477	0	0	
"Algeria"	227	167	0	0	0	214	0	0	290	412	0	0	0	0	0	0	0	0	0	0	
"Austria"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
"Bahamas"	0	0	0	0	86	85	0	73	0	0	0	0	0	95	0	0	0	102	123	0	
"Bahrain"	0	0	0	87	0	0	0	60	37	106	0	137	44	61	0	227	0	1284	574	0	
"Bangladesh"	280	278	0	75	0	0	0	39	0	0	0	63	58	0	0	0	0	0	0	0	
"Barbados"	71	0	76	0	0	65	0	83	90	0	41	0	84	79	65	0	188	97	94	0	
"Palau"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
"Panama"	0	0	0	0	0	71	0	0	68	0	0	0	0	96	0	110	0	0	129	0	
"Peru"	0	0	46	70	0	0	0	53	0	0	0	0	0	0	55	0	0	0	0	0	
"Norfolk Island"	0	12	0	0	14	0	3	16	0	17	0	8	0	0	11	0	0	0	14	0	
"Northern Mariana Islands"	46	0	0	4	43	0	42	51	0	48	0	82	0	59	0	0	57	53	0	0	
"Micronesia, Federated States of"	0	1	0	0	0	2	0	0	0	4	0	0	0	2	0	0	0	0	4	0	
"Russian Federation"	3867	5216	2437	2643	1757	441	92	0	1367	1633	3784	6435	7206	264	0	0	156	0	0	0	
"Sierra Leone"	44	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	
"India"	0	0	0	0	59	0	0	38	0	0	0	0	69	137	1	0	0	0	0	0	
"Morocco"	811	1115	437	964	1966	1612	279	302	1772	825	823	4995	866	1961	1957	905	1065	603	0	0	
"Oman"	155	0	0	205	0	156	73	0	0	233	0	206	0	0	60	0	0	66	0	0	
"Nauru"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	
"Libya, State of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1755	1786	0	0	0	0	
"Lithuania"	176	471	295	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Türkiye"	75	0	0	0	0	95	0	0	0	100	0	212	215	386	0	132	0	1117	0	0	
"Tuvalu"	0	0	0	0	1	0	1	5	0	0	0	0	0	0	0	0	8	1	3	0	
"Ukraine"	0	0	68	66	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	
"Egypt"	1398	4800	922	2518	4335	1476	545	379	10673	4707	13509	7948	7584	4795	8834	4307	0	917	2185	0	
"South Africa"	165	242	0	0	0	93	637	0	1036	621	979	1319	1409	147	564	279	2125	0	0	0	
"Syrian Arab Republic"	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	
