Exporters	Imported value in 2010-M01	Imported value in 2010-M02	Imported value in 2010-M03	Imported value in 2010-M04	Imported value in 2010-M05	Imported value in 2010-M06	Imported value in 2010-M07	Imported value in 2010-M08	Imported value in 2010-M09	Imported value in 2010-M10	Imported value in 2010-M11	Imported value in 2010-M12	Imported value in 2011-M01	Imported value in 2011-M02	Imported value in 2011-M03	Imported value in 2011-M04	Imported value in 2011-M05	Imported value in 2011-M06	Imported value in 2011-M07	Imported value in 2011-M08	
"World"	90	173	153	122	135	149	86	173	155	161	114	646	107	71	254	133	174	111	188	274	
"Australia"	53	154	129	119	72	126	82	130	135	135	90	179	106	68	218	97	174	79	162	226	
"Denmark"	32	19	22	0	39	22	0	39	19	21	17	9	0	0	30	33	0	32	26	47	
"Fiji"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"France"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
"New Zealand"	0	0	0	0	21	0	0	0	0	0	0	457	0	0	0	0	0	0	0	0	
"India"	4	0	0	3	0	0	1	3	0	3	5	0	0	2	2	0	0	0	0	0	
"United States of America"	0	0	0	0	1	0	3	0	0	0	0	0	1	0	1	1	0	0	0	0	
