Importers	Exported value in 2010-M01	Exported value in 2010-M02	Exported value in 2010-M03	Exported value in 2010-M04	Exported value in 2010-M05	Exported value in 2010-M06	Exported value in 2010-M07	Exported value in 2010-M08	Exported value in 2010-M09	Exported value in 2010-M10	Exported value in 2010-M11	Exported value in 2010-M12	Exported value in 2011-M01	Exported value in 2011-M02	Exported value in 2011-M03	Exported value in 2011-M04	Exported value in 2011-M05	Exported value in 2011-M06	Exported value in 2011-M07	Exported value in 2011-M08	
"Singapore"	858	683	491	528	762	929	854	356	787	676	815	1071	979	685	741	828	1248	1306	538	985	
"Azerbaijan"	3708	2419	4455	3604	1871	2313	1949	2088	800	3333	3675	3654	4146	2176	5385	6200	2755	2141	2384	972	
"Bahrain"	65	374	708	0	179	429	905	564	119	642	270	1192	102	102	888	359	1106	333	0	914	
"South Africa"	0	0	0	0	0	705	0	0	0	315	1678	0	597	0	41	331	609	775	1559	747	
"Indonesia"	520	1520	1038	632	1233	1294	1260	510	1023	895	819	967	813	811	1373	1166	2537	2423	1187	736	
"Japan"	23	0	0	50	598	312	291	0	0	48	0	0	0	1392	5872	2727	959	0	1984	600	
"Philippines"	256	317	393	300	249	472	440	393	438	209	594	437	518	304	397	393	391	338	616	496	
"French Polynesia"	266	352	329	191	866	174	358	234	384	513	339	338	284	255	285	355	504	331	524	476	
"United States of America"	1696	357	158	58	270	1	2	120	794	993	357	600	1080	445	836	1162	452	1115	223	439	
"United Arab Emirates"	606	808	683	318	1152	801	467	791	304	179	452	1014	422	806	434	979	437	996	1106	377	
"Belgium"	0	0	0	1352	2335	0	486	0	0	1325	0	0	0	0	0	0	0	350	881	368	
"Georgia"	0	0	172	0	129	169	54	0	0	235	543	105	0	0	0	0	0	0	0	344	
"Fiji"	422	450	789	574	563	617	568	595	1043	561	39	21	396	842	623	557	180	339	13	314	
"Netherlands"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	
"Viet Nam"	82	249	343	270	282	317	486	201	318	226	183	338	184	337	598	400	403	574	404	243	
"Syrian Arab Republic"	584	898	750	310	293	313	460	497	0	500	320	612	601	199	954	542	245	1065	498	239	
"Malaysia"	525	471	747	699	734	1620	748	627	678	788	810	591	559	572	906	1024	1143	1612	1185	227	
"Thailand"	0	76	281	159	46	148	59	117	19	56	124	133	225	167	52	105	130	120	118	216	
"Papua New Guinea"	169	160	130	95	132	181	100	172	121	292	167	377	49	315	229	334	312	37	36	207	
"Venezuela, Bolivarian Republic of"	0	0	48	98	102	109	0	0	0	0	102	0	0	0	0	0	0	0	0	170	
"Mexico"	456	347	0	112	171	62	598	0	0	426	667	438	137	98	304	608	103	780	1512	167	
"Jamaica"	169	309	54	69	247	310	115	229	284	275	552	217	154	533	55	48	110	54	169	158	
"Kuwait"	60	0	0	0	79	138	144	0	0	0	0	482	702	438	264	355	59	247	0	132	
"Qatar"	99	135	45	0	175	47	212	103	6	46	148	45	115	110	49	296	165	116	51	121	
"New Caledonia"	49	76	94	89	66	168	44	207	145	156	144	88	119	220	75	114	166	198	186	110	
"Sri Lanka"	95	138	151	81	135	153	0	81	233	100	156	100	206	36	193	74	156	91	106	93	
"Trinidad and Tobago"	97	0	83	0	0	90	0	89	0	155	0	0	54	159	0	90	79	0	74	87	
"Kazakhstan"	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	69	
"United States Minor Outlying Islands"	41	123	13	100	56	51	2	68	59	143	59	1	163	99	54	57	118	0	171	59	
"Bermuda"	35	55	0	0	0	125	61	61	0	56	0	45	0	49	0	0	52	47	55	57	
"Chile"	399	187	0	58	555	61	0	0	0	0	0	0	0	0	187	64	124	2038	0	56	
"Netherlands Antilles"	0	0	127	66	130	0	0	61	128	59	0	111	0	0	115	57	102	53	120	56	
"Bahamas"	55	0	47	50	0	56	48	52	0	0	0	52	55	0	99	45	0	54	44	53	
"El Salvador"	0	0	0	54	0	55	0	58	0	0	0	0	47	0	0	55	0	0	0	52	
"Guatemala"	37	54	57	93	61	59	172	53	111	0	181	104	47	145	30	158	102	52	109	50	
"Myanmar"	78	32	0	61	49	0	48	0	66	0	105	0	50	180	0	0	0	120	0	50	
"Barbados"	121	0	0	57	0	0	57	0	173	0	51	49	0	100	51	54	52	49	0	49	
"Saint Lucia"	0	0	63	0	0	136	0	51	0	0	0	0	0	0	51	0	0	0	50	49	
"Maldives"	30	89	0	0	94	32	0	41	33	30	0	43	41	46	0	0	43	50	0	45	
"Solomon Islands"	16	8	14	0	16	16	14	20	0	37	16	15	0	2	2	14	20	0	23	41	
"Cook Islands"	2	0	1	3	8	36	13	16	21	22	44	3	5	8	12	42	11	22	9	39	
"Northern Mariana Islands"	0	41	0	36	0	0	30	0	33	0	37	0	39	0	34	0	32	0	0	34	
"Samoa"	147	57	117	0	49	143	112	211	115	72	97	47	269	0	141	173	73	232	126	20	
"Wallis and Futuna Islands"	4	4	5	7	3	0	13	3	11	9	4	6	4	1	3	6	0	12	0	14	
"Vanuatu"	0	16	12	14	11	6	13	0	35	0	16	2	12	2	9	33	7	37	2	14	
"Oman"	58	145	43	0	60	144	0	99	0	47	87	5	50	103	89	50	109	101	55	5	
"Tuvalu"	5	0	0	4	6	3	0	0	0	0	3	5	0	0	2	0	0	9	0	4	
"Turkmenistan"	0	51	146	0	0	0	103	223	0	0	0	52	53	0	110	0	0	0	0	0	
"Tonga"	10	0	13	156	10	74	96	55	76	52	0	77	75	25	115	136	302	104	81	0	
"Yemen"	0	0	0	0	341	150	142	230	0	0	0	0	241	226	0	417	82	0	0	0	
"Uzbekistan"	179	233	47	68	74	301	0	341	0	0	75	305	399	0	226	177	0	297	208	0	
"Tajikistan"	0	0	293	0	500	0	0	435	0	107	500	239	871	317	0	0	209	408	0	0	
"Sudan (before 2012)"	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Poland"	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Seychelles"	28	19	0	0	0	0	0	30	0	0	0	0	41	0	0	0	41	0	0	0	
"Sierra Leone"	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	
"India"	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Aruba"	0	70	0	65	0	79	0	65	0	0	0	0	68	0	0	63	0	57	0	0	
"Mauritius"	56	40	33	68	42	0	38	38	90	44	43	200	42	39	42	85	46	47	41	0	
"Mongolia"	0	0	0	0	0	0	79	0	0	0	0	0	0	0	79	0	0	0	0	0	
"Moldova, Republic of"	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	
"Nigeria"	53	0	0	0	0	0	0	0	0	43	0	0	94	0	0	0	55	0	48	0	
"Niue"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Norfolk Island"	4	0	2	5	0	2	0	5	3	0	5	4	0	5	0	3	0	4	7	0	
"Marshall Islands"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Panama"	0	0	0	0	64	0	58	0	0	94	0	0	86	0	103	112	146	46	0	0	
"Peru"	0	49	0	0	0	0	0	114	0	113	0	0	40	52	0	668	69	41	0	0	
"Honduras"	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	
"Iran, Islamic Republic of"	5438	10778	12974	11521	6929	817	0	0	3754	13522	14083	27639	10574	5669	30756	9118	9489	3921	446	0	
"Iraq"	72	0	107	51	52	58	0	41	47	0	83	0	173	0	57	0	0	0	0	0	
"Jordan"	0	0	0	0	0	0	0	0	49	0	0	0	0	0	47	0	0	0	53	0	
"Kenya"	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Lebanon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	55	51	0	
"Madagascar"	43	0	43	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	
"Dominican Republic"	0	0	50	36	0	0	0	0	0	0	0	52	0	0	42	0	36	0	0	0	
"Congo, Democratic Republic of the"	54	0	0	0	0	0	0	0	67	0	36	0	0	0	0	143	0	0	95	0	
"Finland"	0	736	255	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Djibouti"	0	0	133	0	0	0	0	0	0	0	0	0	0	43	0	0	0	47	0	0	
"Gambia"	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	51	0	0	0	0	
"Germany"	38	0	0	0	66	71	66	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Kiribati"	0	0	0	28	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	
"Grenada"	0	0	42	0	0	0	45	0	0	0	0	43	0	0	0	48	0	0	0	0	
"Brunei Darussalam"	0	0	61	60	188	259	126	0	0	61	0	0	0	0	0	154	389	328	68	0	
"Belize"	0	85	0	0	0	0	0	0	64	60	0	0	0	63	0	63	0	0	0	0	
"Cambodia"	0	2	0	50	0	0	3	0	0	40	3	0	0	49	6	0	0	53	0	0	
"Cayman Islands"	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Argentina"	0	0	0	0	0	925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Algeria"	0	1024	1281	194	0	987	768	0	178	372	189	730	533	212	583	651	477	476	359	0	
"Antigua and Barbuda"	0	0	53	0	0	0	50	0	0	45	0	0	0	0	0	46	0	53	0	0	
