Importers	Exported value in 2010-M01	Exported value in 2010-M02	Exported value in 2010-M03	Exported value in 2010-M04	Exported value in 2010-M05	Exported value in 2010-M06	Exported value in 2010-M07	Exported value in 2010-M08	Exported value in 2010-M09	Exported value in 2010-M10	Exported value in 2010-M11	Exported value in 2010-M12	Exported value in 2011-M01	Exported value in 2011-M02	Exported value in 2011-M03	Exported value in 2011-M04	Exported value in 2011-M05	Exported value in 2011-M06	Exported value in 2011-M07	Exported value in 2011-M08	
"World"	54249	54253	64345	53888	48953	53446	43180	31315	34885	92285	71833	86463	71966	45533	93930	76619	63955	58136	49017	48012	
"Denmark"	8271	6514	13291	9436	1031	4808	6184	4515	1861	19278	6130	4396	7456	0	12246	6821	5650	2841	6417	6370	
"Russian Federation"	5504	6150	8775	3827	5099	6796	7298	3761	7557	11708	8254	13628	15693	5629	5541	5641	7917	159	3314	5575	
"Morocco"	4296	2616	652	766	3572	1914	3786	247	1635	4566	5022	2573	2463	6229	3931	6996	2475	1745	1804	3432	
"China"	3211	2754	2067	2652	2374	1795	917	1705	1491	3700	2710	4640	3612	3825	6206	5178	3572	2370	1914	3372	
"Australia"	4608	3053	2534	2449	4606	4199	3929	3141	4910	3538	5543	2825	3624	3910	2730	3957	4957	4898	2973	2696	
"Taipei, Chinese"	1698	2368	1748	1568	1533	1458	2416	1907	2046	2670	1879	2551	2806	3284	3873	4226	1486	1660	832	2541	
"Egypt"	3064	2843	2858	4654	3906	10647	1583	2176	571	7770	4417	4411	2389	559	765	5534	5435	14622	2846	2426	
"Armenia"	1804	402	1420	1203	886	1496	1670	1422	0	587	1145	892	1081	1419	1493	419	232	992	415	1944	
"Saudi Arabia"	2362	1395	1277	2391	2112	1894	1260	987	794	2996	3634	4307	3087	907	285	3363	1656	2668	1424	1533	
"Canada"	0	0	0	0	51	56	0	0	280	3045	1767	0	0	0	0	0	1396	200	5243	1311	
"Türkiye"	0	542	284	1268	0	642	311	332	114	2372	1198	1771	1441	0	1684	0	867	603	2557	1226	
"Korea, Republic of"	734	707	402	272	1000	315	561	281	173	895	655	380	938	257	624	754	934	497	868	1186	
"France"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	81	1134	
"Ukraine"	0	0	0	0	0	0	0	0	61	240	0	72	0	63	0	754	0	0	0	1134	
"Hong Kong, China"	827	798	974	615	722	761	478	469	758	919	732	1215	741	986	901	932	909	695	723	1041	
