Importers	2017-M12-Exported quantity, Kilograms	2018-M01-Exported quantity, Kilograms	2018-M02-Exported quantity, Kilograms	2018-M03-Exported quantity, Kilograms	2018-M04-Exported quantity, Kilograms	2018-M05-Exported quantity, Kilograms	2018-M06-Exported quantity, Kilograms	2018-M07-Exported quantity, Kilograms	2018-M08-Exported quantity, Kilograms	2018-M09-Exported quantity, Kilograms	2018-M10-Exported quantity, Kilograms	2018-M11-Exported quantity, Kilograms	2018-M12-Exported quantity, Kilograms	2019-M01-Exported quantity, Kilograms	2019-M02-Exported quantity, Kilograms	2019-M03-Exported quantity, Kilograms	2019-M04-Exported quantity, Kilograms	2019-M05-Exported quantity, Kilograms	2019-M06-Exported quantity, Kilograms	2019-M07-Exported quantity, Kilograms	
"World"	35153374	22814989	23971062	30282354	24655182	26221124	21696905	34158978	10302618	13301824	21550270	18743159	25524372	29022465	36126057	26935475	21299951	22550077	16294852	17066104	
"China"	11747313	2644052	6603199	6956421	7657695	11400407	8357860	12891902	1366990	1763661	2471972	3501502	7776734	3188975	2888256	5865363	4778905	5240539	2795167	3449521	
"Australia"	2734341	3270074	2681669	2910082	3196260	1722133	1734120	1887220	1536688	2981726	2761058	2760923	3240719	2783095	2457590	2562117	2798133	2058438	1378284	2715898	
"Indonesia"	1747942	860783	344843	1510381	340035	461010	490382	1608248	1173853	1108128	643220	1396529	25941	122070	1092230	1219810	1177568	590192	69176	1113947	
"Saudi Arabia"	1331233	1697847	1126773	965312	1207693	934240	1037122	2038665	385099	89522	569106	299144	1231510	1574669	1392084	923887	901481	944173	1682218	1076853	
"Taipei, Chinese"	1135900	453968	913206	829094	1060072	976182	863858	1256454	513688	741988	725819	877881	1428873	498596	923373	1068908	634874	1216898	820241	1000906	
"Hong Kong, China"	338442	281409	391880	484367	381717	704112	387740	527460	321457	200301	658014	559208	429029	401953	438289	634876	466264	904932	246004	666414	
"Türkiye"	1205556	337411	0	259306	17242	25941	25915	744307	0	0	51882	0	51882	540204	760238	2353899	202120	25915	665840	634636	
"Morocco"	1120307	492955	523918	648240	129524	548516	335523	608232	266306	421880	804795	538073	272673	1664521	1344346	487111	597760	272539	102960	565707	
"United States of America"	148522	197116	168038	135114	65596	356195	176458	328584	18190	134021	136190	146372	202419	1264381	382444	325515	521360	372071	199250	517579	
"Korea, Republic of"	221526	215149	121810	268810	213451	211904	286813	391850	40006	210207	347834	402585	352767	321911	356863	303868	475692	367691	267270	499456	
"Singapore"	1495148	898943	395484	315275	440829	285014	654228	602870	450516	375522	704002	822859	820880	460071	706713	474790	667012	565735	462295	466396	
"Canada"	548428	217404	565524	167971	39503	424910	17294	227394	505949	313574	278915	1227144	488887	1424021	947177	1255634	705245	698605	339982	396927	
"Malaysia"	147465	664619	493246	595958	557338	511150	429504	572008	382866	423423	539284	567076	498613	361131	701321	571613	563516	472410	438793	387425	
"Russian Federation"	197644	651970	60529	140461	80704	197748	197645	377017	78878	60528	257941	79263	854428	4114767	1661374	0	183464	164293	118432	333808	
"Philippines"	298724	81046	370088	234835	326331	196634	254675	1431505	41771	42291	198125	97266	284029	589788	349338	989868	266929	121328	83382	318807	
"Georgia"	0	0	26583	0	26583	21690	27007	219013	69239	667225	670797	356969	470559	579118	663313	447122	417811	540710	273322	318255	
"Azerbaijan"	564367	483509	335682	745548	197179	313053	269798	209860	40980	186893	352457	165528	228712	223603	226123	370457	167278	42694	245880	317403	
"Viet Nam"	364307	260222	181871	196416	179075	265662	339253	389234	127175	189165	408512	376920	265751	203197	336190	293281	343914	278798	293320	297202	
"Egypt"	2196736	1789127	1732664	2331777	1658885	622558	621553	389089	227601	364162	157225	0	1095308	0	603398	1426053	1290565	543473	587043	274799	
"Japan"	57760	350945	905392	1339684	713958	1576333	1350520	411384	212309	668528	1529382	1070890	860908	1775469	695806	812707	316168	2558193	2168166	271584	
"Fiji"	159478	98586	106558	161543	90384	90213	152992	185261	146859	84474	199309	97212	178127	110845	120581	97293	121846	146152	95065	215005	
