Importers	Exported value in 2013-M03	Exported value in 2013-M04	Exported value in 2013-M05	Exported value in 2013-M06	Exported value in 2013-M07	Exported value in 2013-M08	Exported value in 2013-M09	Exported value in 2013-M10	Exported value in 2013-M11	Exported value in 2013-M12	Exported value in 2014-M01	Exported value in 2014-M02	Exported value in 2014-M03	Exported value in 2014-M04	Exported value in 2014-M05	Exported value in 2014-M06	Exported value in 2014-M07	Exported value in 2014-M08	Exported value in 2014-M09	Exported value in 2014-M10	
"World"	72729	49095	49365	66910	61473	33040	54506	71056	96715	116451	104767	99097	80096	65221	106361	65745	54581	40687	46549	86683	
"Japan"	59	0	44	0	38	0	22	4755	3726	0	0	67	22	1239	1651	574	3051	396	26	11747	
"China"	11841	4873	4971	5617	5954	5759	11005	9722	11148	21279	16536	21666	12706	11671	8682	11696	6054	7308	5809	7782	
"Türkiye"	1101	279	103	0	578	0	738	4387	2825	2979	3202	4573	2835	1630	1861	3518	2838	3211	1735	7233	
"Australia"	2680	3781	4111	2291	3793	1708	10406	5026	5095	5242	5447	2723	3187	3597	3399	4003	3144	2404	5707	6932	
"Saudi Arabia"	2451	863	1995	595	2992	2172	2178	379	1604	952	3992	3329	2961	1050	1114	2426	2184	1419	2545	6024	
"Canada"	0	48	0	0	0	0	90	791	0	717	257	0	0	0	2503	3418	1023	543	810	4757	
"Azerbaijan"	1794	1349	1004	3974	3384	2578	886	2502	1943	4760	4818	3827	4379	5973	9109	3409	2280	1980	1752	4724	
"Indonesia"	2460	2287	2484	3270	1224	1077	1925	2354	2921	1148	2158	1527	3229	3683	4161	1723	2357	3874	2312	4237	
"Netherlands"	0	0	0	417	0	0	0	0	720	0	805	0	0	0	0	52	0	0	1001	4159	
"Morocco"	2150	2251	3781	1740	4499	328	1014	1745	1825	2116	2526	1652	2500	4638	2424	2652	2024	630	2257	3557	
"Egypt"	17965	10253	7225	3870	4535	2884	9496	743	3177	4024	7425	7871	8013	7977	8073	9244	6483	3783	0	3501	
"United Arab Emirates"	1087	584	1171	701	1061	1157	1138	2911	1246	1474	1291	2310	3522	1680	1573	3624	2741	1068	1782	2038	
"Russian Federation"	4917	5763	3738	1882	4668	973	0	2772	1741	1738	3235	9670	9349	4106	1315	410	1303	131	236	1888	
"Taipei, Chinese"	2058	2067	2297	2699	1665	1691	2268	1237	2714	2209	1290	2122	2403	3316	3557	2828	2891	2429	2500	1840	
"Hong Kong, China"	1358	1044	661	1138	949	1037	1864	1254	1337	1272	1036	1251	1161	1092	1100	883	1490	1041	1243	1341	
"Singapore"	751	699	552	944	997	1212	536	600	985	964	1412	674	1220	1465	978	1436	1545	674	731	1208	
"Denmark"	659	759	416	272	1321	904	0	0	0	0	291	3634	3111	1874	0	1405	0	0	931	1107	
"Malaysia"	1437	1076	1344	1044	715	757	859	841	1145	779	990	986	1063	1211	1232	1448	1635	546	1033	1066	
"Iran, Islamic Republic of"	1484	846	875	21303	0	0	0	19054	22554	17303	19010	16393	0	0	42611	0	903	0	851	874	
"United States of America"	990	437	773	487	241	270	259	760	732	1102	1046	349	145	118	151	786	793	723	704	789	
"Armenia"	131	1360	1383	228	751	1567	513	1130	619	1069	2451	68	2743	66	0	0	565	1471	1195	755	
"French Polynesia"	1064	177	443	534	446	325	558	71	806	492	132	405	779	449	391	479	388	336	331	674	
"Korea, Republic of"	196	354	222	778	307	358	664	734	501	461	408	476	361	370	908	510	602	267	677	635	
"Philippines"	751	505	508	1135	403	604	367	695	589	363	430	596	758	454	745	1030	691	1119	1163	602	
"Bahrain"	890	40	984	52	527	150	0	90	286	116	139	320	260	191	79	364	493	168	1908	577	
"Algeria"	1524	961	918	1317	941	490	668	1031	638	806	995	804	1363	1244	1609	344	697	981	222	571	
"Viet Nam"	611	321	134	663	947	469	277	361	1559	340	551	200	454	577	368	565	448	495	731	542	
"United Kingdom"	0	0	0	969	383	255	0	0	52	502	716	139	288	0	0	161	669	283	920	461	
"Uzbekistan"	0	383	168	210	0	0	0	68	186	123	0	139	210	0	545	0	240	0	477	430	
"Belgium"	2616	0	1447	938	10461	78	442	279	14149	31246	15265	5048	4266	0	176	222	371	225	542	391	
"Mexico"	0	362	522	452	700	0	0	273	0	0	329	236	0	140	480	626	337	303	268	387	
"Papua New Guinea"	556	110	184	273	266	118	151	79	369	190	290	237	397	55	330	195	146	91	223	344	
"South Africa"	0	1003	82	1281	1533	0	1231	0	0	0	850	0	0	0	0	377	613	0	273	291	
"Jamaica"	157	0	63	314	126	51	247	294	279	190	310	476	111	114	126	69	58	169	226	224	
"Sri Lanka"	108	66	137	97	124	83	112	40	217	77	113	101	110	160	137	191	146	127	213	220	
"Samoa"	164	0	93	141	117	121	90	0	223	111	30	231	76	142	135	63	243	105	65	205	
"Trinidad and Tobago"	92	90	0	87	87	0	168	0	183	0	78	83	95	107	192	0	98	92	0	197	
"Georgia"	1706	344	1815	1678	399	313	1376	1706	1250	1371	1051	660	939	410	645	574	0	114	123	186	
"United States Minor Outlying Islands"	52	69	141	0	149	76	59	68	0	114	25	130	77	83	50	1	103	0	123	184	
"Yemen"	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	178	
"Kuwait"	231	127	87	227	170	0	142	46	77	40	145	48	45	38	108	112	194	88	440	154	
"Thailand"	128	157	101	282	133	92	254	206	205	269	139	200	252	251	128	95	164	208	83	148	
"Guatemala"	100	95	43	83	108	43	0	301	102	187	148	46	270	0	116	108	59	264	0	145	
"Netherlands Antilles"	74	0	0	0	0	0	0	0	0	0	49	72	138	0	209	0	0	72	0	140	
"Belize"	0	58	0	121	0	0	62	0	0	62	0	0	62	0	62	0	0	0	61	124	
"Uruguay"	0	0	165	101	0	0	0	0	74	71	214	216	0	0	0	0	0	119	0	123	
"Tonga"	0	243	91	151	129	142	83	130	93	8	176	50	94	144	52	98	46	75	92	102	
"Mauritius"	114	73	44	43	89	45	45	43	0	34	112	39	79	42	52	52	43	37	48	91	
"Cook Islands"	0	21	36	24	28	38	5	1	37	21	22	31	23	18	24	6	21	48	3	79	
"New Caledonia"	110	93	73	79	207	149	154	90	177	159	173	68	188	42	199	234	186	105	178	75	
"Peru"	53	0	0	72	55	70	0	0	0	0	41	74	60	0	0	0	79	0	0	75	
"Syrian Arab Republic"	0	0	0	0	175	0	0	0	0	0	284	139	0	0	0	94	142	0	0	70	
"Barbados"	0	0	54	43	35	0	0	112	57	54	0	49	60	58	57	0	59	58	62	63	
"Bahamas"	53	62	0	0	58	53	63	0	105	0	113	58	0	60	53	61	109	69	112	59	
"Panama"	0	42	0	43	50	0	50	159	0	48	0	52	0	51	0	46	51	0	48	48	
"Vanuatu"	6	3	6	5	19	19	38	17	3	13	0	15	18	27	25	30	9	18	3	47	
"Senegal"	0	0	0	0	178	0	0	0	0	0	0	44	43	43	0	0	0	0	0	41	
"Nigeria"	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	47	0	0	0	40	
"Seychelles"	0	0	0	0	32	0	41	0	0	0	0	0	45	0	50	0	36	1	39	39	
"Qatar"	38	183	60	142	100	104	109	93	87	83	137	156	84	173	62	164	109	53	242	37	
"Maldives"	0	73	77	43	38	0	45	0	49	32	33	30	0	73	38	0	19	41	27	37	
"Fiji"	372	72	229	20	613	401	386	124	366	284	61	467	184	415	538	196	334	329	485	24	
"Solomon Islands"	20	33	25	0	44	24	0	27	25	0	44	0	38	0	36	39	61	0	51	16	
"Norfolk Island"	3	6	7	0	2	6	0	7	8	3	0	3	5	3	1	5	7	0	8	8	
"Niue"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	3	2	3	
"Northern Mariana Islands"	0	46	0	35	0	0	0	0	33	0	55	0	33	0	35	0	0	37	47	0	
"Aruba"	69	0	0	48	0	66	0	61	0	0	59	0	0	0	74	0	0	0	75	0	
"Timor-Leste"	0	0	0	0	0	0	0	0	20	24	31	0	0	24	0	0	0	0	0	0	
"Saint Lucia"	55	0	0	51	0	52	0	0	57	59	0	0	55	0	0	55	0	0	57	0	
"Oman"	40	4	119	44	54	98	91	71	91	42	74	93	44	118	0	169	99	90	124	0	
"Nauru"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Lebanon"	0	0	47	91	0	0	0	46	42	82	82	0	232	151	112	0	140	138	0	0	
"Lithuania"	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	
"Madagascar"	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Kazakhstan"	0	22	231	0	0	0	0	0	0	0	0	0	0	0	0	0	112	112	0	0	
"Jordan"	0	0	0	0	0	0	78	0	0	0	72	0	0	0	0	0	0	0	56	0	
"Kenya"	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	
"Brunei Darussalam"	68	233	410	317	112	0	39	71	75	0	0	57	186	273	134	0	73	0	0	0	
"Myanmar"	0	205	80	40	191	0	109	199	117	108	192	38	60	278	56	0	0	0	147	0	
"Cambodia"	0	38	0	0	76	0	0	35	0	73	40	0	3	85	35	0	44	0	41	0	
"Chile"	2782	1517	0	1050	91	53	908	80	2328	1365	1147	1796	2192	1641	1613	2510	582	147	252	0	
"Bermuda"	117	0	0	36	0	36	0	108	57	0	58	0	54	0	0	60	62	0	48	0	
"Antigua and Barbuda"	0	56	0	0	58	0	0	59	0	0	0	0	0	0	0	55	0	0	0	0	
"Bangladesh"	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	45	0	
"France"	0	0	0	0	0	503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"El Salvador"	0	0	51	0	47	47	0	64	0	0	0	58	0	65	52	0	0	0	0	0	
"Congo, Democratic Republic of the"	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	
"Djibouti"	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	
"Gambia"	0	0	45	0	0	0	0	0	43	0	0	49	0	54	0	0	0	45	0	0	
"Kiribati"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Grenada"	59	0	0	0	47	0	0	0	0	0	58	0	0	0	0	0	65	0	0	0	
"Turkmenistan"	43	0	41	0	0	0	0	48	0	0	44	0	0	45	0	0	0	0	0	0	
"Tuvalu"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Ukraine"	261	129	171	292	1227	1405	0	0	2898	5596	0	0	0	0	0	0	0	0	0	0	
"India"	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	
"Tajikistan"	43	0	81	0	0	0	167	77	71	75	0	0	0	47	0	0	0	0	0	0	
"Somalia"	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Venezuela, Bolivarian Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	
"Wallis and Futuna Islands"	0	0	0	0	1	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	
