Importers	Exported value in 2016-M05	Exported value in 2016-M06	Exported value in 2016-M07	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	
"United States Minor Outlying Islands"	81	162	167	160	57	158	108	251	95	1	0	260	83	0	261	92	92	253	0	85	
"Cambodia"	34	0	0	22	0	74	66	17	76	14	0	54	35	38	157	0	52	75	64	74	
"Cook Islands"	38	43	62	12	35	47	14	9	19	64	4	23	2	32	50	58	53	72	7	48	
"Solomon Islands"	35	34	27	0	61	76	0	32	25	42	45	0	22	18	38	43	0	45	34	42	
"Vanuatu"	25	4	9	23	14	0	43	2	23	1	10	18	4	32	14	44	52	18	62	6	
"Wallis and Futuna Islands"	2	0	10	9	2	8	2	6	7	0	7	0	14	0	11	10	3	6	11	5	
"Micronesia, Federated States of"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	2	2	
"Niue"	3	0	4	1	0	1	2	0	0	1	2	0	4	3	2	4	0	6	3	1	
"Norfolk Island"	7	5	1	9	0	6	13	0	14	6	0	10	9	0	20	3	0	5	6	0	
"Northern Mariana Islands"	37	0	57	0	48	0	33	0	0	47	54	0	55	0	38	44	51	68	0	0	
"Peru"	0	0	0	146	0	101	0	0	0	105	76	0	66	0	66	0	269	0	0	0	
"Saint Lucia"	0	66	0	0	0	59	0	0	0	74	0	0	0	77	0	0	63	0	0	0	
"Timor-Leste"	30	0	32	0	43	44	0	0	9	0	0	0	14	0	1	0	0	26	0	0	
"Marshall Islands"	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
"Palau"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
"Panama"	48	0	4	49	0	48	59	0	56	0	57	0	56	63	0	127	0	142	0	0	
"Nigeria"	0	0	0	0	0	0	0	0	0	0	0	70	70	0	0	0	71	0	0	0	
"Guyana"	0	8	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
"Lebanon"	0	127	0	0	41	816	85	0	0	0	73	0	189	0	0	0	0	418	0	0	
"Nepal"	42	43	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Netherlands"	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	
"Netherlands Antilles"	0	65	83	0	66	158	0	80	0	0	0	0	0	0	0	0	0	0	0	0	
"Curaçao"	0	0	0	0	0	0	0	0	101	0	86	0	86	172	0	0	0	105	0	0	
"Aruba"	77	0	0	0	0	76	81	0	79	0	0	0	0	0	92	0	0	0	117	0	
"Brazil"	0	0	142	0	265	169	0	0	0	0	0	0	0	0	109	0	0	0	0	0	
"Bangladesh"	38	0	0	108	109	0	65	59	0	59	0	0	0	0	58	0	0	77	0	0	
"Barbados"	0	99	0	0	53	50	63	55	59	66	0	126	72	0	59	0	83	81	0	0	
"Belgium"	0	0	604	0	0	696	699	271	96	0	0	0	0	0	2970	0	0	0	0	0	
"Antigua and Barbuda"	0	0	0	0	0	64	0	0	0	0	73	0	0	0	0	0	79	0	0	0	
"Bahamas"	61	0	0	28	0	72	0	80	0	105	0	0	0	0	0	0	91	0	0	0	
"Dominican Republic"	0	0	0	0	0	0	87	68	0	0	0	0	0	0	0	0	0	0	0	0	
"El Salvador"	0	0	0	37	0	0	58	0	0	82	0	0	0	0	0	67	0	0	0	0	
"Congo, Democratic Republic of the"	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	
"Kazakhstan"	0	0	0	0	203	478	187	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Georgia"	87	0	0	63	247	201	0	93	65	161	0	165	0	96	0	454	0	0	0	0	
"Gambia"	0	0	41	0	0	0	0	60	0	0	0	0	0	0	0	0	78	0	0	0	
"Kiribati"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	
"Grenada"	0	0	0	0	0	65	0	0	0	0	0	80	0	0	0	3	77	0	4	0	
"Uruguay"	104	0	0	197	388	0	990	0	217	0	0	202	0	0	0	0	0	0	0	0	
"Turkmenistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	
"Tuvalu"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Trinidad and Tobago"	0	194	103	0	0	97	115	130	129	134	88	122	139	0	115	160	368	0	108	0	
"Syrian Arab Republic"	0	0	0	0	0	452	0	0	206	0	0	0	0	0	0	0	0	0	0	0	
"Tajikistan"	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	
"Seychelles"	0	0	37	0	33	49	0	0	0	55	0	0	57	0	60	0	67	0	86	0	
"India"	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
