Importers	2019-M07-Exported quantity, Kilograms	2019-M08-Exported quantity, Kilograms	2019-M09-Exported quantity, Kilograms	2019-M10-Exported quantity, Kilograms	2019-M11-Exported quantity, Kilograms	2019-M12-Exported quantity, Kilograms	2020-M01-Exported quantity, Kilograms	2020-M02-Exported quantity, Kilograms	2020-M03-Exported quantity, Kilograms	2020-M04-Exported quantity, Kilograms	2020-M05-Exported quantity, Kilograms	2020-M06-Exported quantity, Kilograms	2020-M07-Exported quantity, Kilograms	2020-M08-Exported quantity, Kilograms	2020-M09-Exported quantity, Kilograms	2020-M10-Exported quantity, Kilograms	2020-M11-Exported quantity, Kilograms	2020-M12-Exported quantity, Kilograms	2021-M01-Exported quantity, Kilograms	2021-M02-Exported quantity, Kilograms	
"Viet Nam"	297202	105898	226200	317350	374085	326691	201099	216597	303804	204964	133848	179720	357666	69417	84959	129606	267554	296248	201705	188399	
"Hong Kong, China"	666414	218529	480889	292205	235949	275521	272205	352275	403299	155092	187958	203712	419096	277607	324969	245764	553525	372069	363967	161332	
"Thailand"	90745	49404	55548	95483	65725	201769	95778	106541	85444	140365	71678	47734	124375	31063	52725	80591	99888	131665	81346	125584	
"Denmark"	98048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25941	0	351360	155645	122499	
"Myanmar"	55621	5579	10929	52901	77594	49614	62796	24519	96879	54353	62435	9659	0	17193	17294	37543	34730	12616	17587	112453	
"Mexico"	55998	121410	130770	149163	23058	101428	166270	53844	69354	193356	0	12130	18354	16591	12353	68491	37311	136014	55957	111040	
"Fiji"	215005	135538	91317	192600	131899	96911	110159	99244	138352	138009	51882	87812	34588	145202	124573	90914	141364	82495	77813	105062	
"Bangladesh"	0	0	0	71497	0	25915	25529	103764	129679	51753	0	0	77797	37058	0	0	0	25941	0	95117	
"Algeria"	77823	77823	0	77797	77771	0	25941	69176	17294	0	0	0	0	0	69150	69176	51882	155311	34588	86470	
"Georgia"	318255	232665	399199	746879	463938	287861	596621	344644	665127	655962	387161	484050	149217	86381	407243	1308551	342404	808522	738367	79001	
"Brunei Darussalam"	11398	16272	0	28297	0	16887	34652	52363	9593	29786	19424	0	0	23897	0	13229	25348	10933	0	69552	
"French Polynesia"	31165	74854	62662	84033	92577	31859	69237	89983	63733	67511	99605	71825	61516	102549	52995	150122	61673	82027	85634	54170	
"South Africa"	0	0	25941	51830	24911	414025	232388	0	51882	51882	0	311214	413845	0	0	722382	77823	363070	76716	50904	
"Trinidad and Tobago"	21370	0	26088	25208	47766	0	24687	0	22324	15646	9659	47529	25608	0	34646	12762	22193	0	0	48758	
"Lithuania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98822	17294	43250	43454	
"Oman"	14374	49790	25062	32028	32650	41900	42127	0	10463	0	0	0	14650	0	0	0	32658	0	0	32585	
"Guatemala"	25386	23119	29574	43531	14871	0	29613	45944	13220	40983	10618	0	28229	9624	29409	37488	53469	58961	18562	25953	
"Qatar"	0	25941	45951	54798	56293	51882	51905	71930	55080	13502	0	0	0	0	14387	10683	37000	15704	82959	25889	
"Türkiye"	634636	172785	488943	69960	47379	169898	142431	99440	70964	23135	23514	928519	1529998	44470	0	140601	47721	21780	122499	25864	
"Kuwait"	25941	0	40840	38491	48572	105324	64883	65171	174168	75531	51882	0	0	0	0	138274	0	59607	51882	24537	
"Samoa"	22396	28784	33766	14643	20961	36861	20758	23706	5253	32343	26292	13830	30389	43127	19571	19337	29748	20099	13042	23333	
"Papua New Guinea"	12954	12993	18904	21948	30167	11091	13188	22855	20444	30221	10323	47570	15525	18040	22239	31465	20958	20425	11674	22269	
"United States Minor Outlying Islands"	22740	15630	27616	11917	10514	0	34450	9977	32508	13145	0	10331	15703	6642	0	15897	19577	15587	20025	19859	
"Cambodia"	13059	0	0	2906	15716	14798	8171	5450	15422	9257	11328	8006	9776	5673	13163	8056	4530	9303	0	17848	
"Mauritius"	33362	12804	23052	17808	16908	16899	52661	6604	16771	0	8262	0	17255	23636	0	16921	25482	17970	0	17831	
"Barbados"	14535	10930	0	0	0	9617	13489	0	8544	0	0	0	28426	0	0	0	0	7705	0	13202	
"Curaçao"	30549	14733	0	15855	16376	0	16000	0	28929	18003	0	0	11554	0	24412	24794	0	16212	0	12724	
"Sierra Leone"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12344	
"Bermuda"	15792	14647	0	0	14060	0	0	17392	15981	0	0	0	14162	0	0	15482	0	14172	0	11824	
"New Caledonia"	24393	25062	3859	26425	19994	2542	49338	23304	2251	2985	5554	42083	42538	41423	4209	22637	25041	77471	22621	8941	
"Northern Mariana Islands"	0	7995	0	7222	7780	0	8498	0	0	0	12111	0	8695	0	9706	0	8898	0	0	7786	
"Tonga"	11833	10956	30640	6210	20195	22712	10186	16228	30775	28719	28132	36233	36900	18915	18659	2849	47919	12903	17219	6258	
"Solomon Islands"	0	5781	3521	7783	7853	0	5602	5495	6436	0	6420	7613	4870	0	4155	5728	5407	4118	0	5874	
"Cook Islands"	9128	5726	5253	5039	5870	7153	5939	2521	5116	3695	1225	8279	1505	2924	14455	371	4853	10715	203	3372	
"Kiribati"	0	0	0	0	0	0	0	0	0	0	0	0	93	851	127	0	1719	0	0	1924	
"Guyana"	0	686	0	686	686	0	0	686	0	0	0	0	686	0	0	686	686	686	0	1373	
"Vanuatu"	3444	15265	298	7083	3919	6253	3065	5966	4447	0	4078	351	2817	5694	6086	6744	7957	140	4551	492	
"Niue"	100	939	184	280	575	701	174	124	0	895	46	219	184	887	578	475	1019	0	166	257	
"Norfolk Island"	806	1028	0	881	1289	2577	0	0	2225	0	1401	1352	0	1541	0	615	0	1994	0	0	
"Lebanon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49103	0	0	
"Libya, State of"	0	0	0	0	0	0	0	0	0	0	0	51882	51882	0	0	0	0	0	0	0	
"Jordan"	0	0	51882	63047	0	154719	0	0	0	0	0	51882	34588	0	25915	60477	33687	0	25941	0	
"Maldives"	9310	11083	8667	23147	35030	22430	37796	17420	32359	0	0	0	0	0	0	15667	6648	8558	10731	0	
"Micronesia, Federated States of"	0	472	0	398	0	0	0	0	150	0	0	147	336	0	0	447	0	0	0	0	
"Marshall Islands"	402	182	71	315	0	0	0	102	0	0	0	0	508	0	0	0	109	0	0	0	
"Palau"	0	212	0	0	0	0	0	0	0	513	0	0	0	0	0	321	0	0	0	0	
"Panama"	0	0	0	0	0	17294	18162	0	0	13480	0	15357	0	8866	0	0	16074	0	0	0	
"Aruba"	0	0	0	0	16142	0	16864	0	14371	0	0	0	0	13837	0	0	0	0	0	0	
"Peru"	0	0	0	16465	11277	0	13908	13544	0	0	0	0	0	0	0	9134	0	28924	0	0	
"Timor-Leste"	0	115	8180	0	0	572	8239	0	0	0	0	0	0	5748	0	0	0	0	2380	0	
"Saint Lucia"	0	0	12756	0	0	15570	0	0	0	0	12073	0	0	0	0	0	0	0	0	0	
"Seychelles"	0	0	0	13306	0	0	0	13264	0	0	0	0	0	0	0	0	0	0	0	0	
"Grenada"	0	12478	0	0	0	12987	0	0	0	0	0	9869	0	0	0	12318	0	12424	0	0	
"Jamaica"	66919	160117	15430	58635	45805	68539	151857	17294	60317	30069	117124	27544	15463	13211	16019	25918	15943	49268	65058	0	
"Gambia"	0	0	0	16640	0	0	0	0	16640	0	0	0	0	16640	0	0	0	0	0	0	
"Ghana"	0	0	0	50955	0	0	0	0	25941	0	0	0	0	0	0	0	0	0	0	0	
"Dominican Republic"	0	0	0	0	0	0	0	18065	0	0	0	0	0	0	0	0	0	0	0	0	
"El Salvador"	0	0	0	0	11026	0	0	0	0	0	0	0	0	0	0	8797	0	0	0	0	
"Congo, Democratic Republic of the"	0	0	0	0	0	34317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Sri Lanka"	24798	17323	62647	67608	50357	31554	28659	19081	42383	54709	12122	21607	18197	19927	24334	13844	20150	41695	12103	0	
"Belize"	0	13174	13248	0	13244	0	0	13106	0	0	0	11521	11562	0	0	0	0	0	13204	0	
"Belgium"	51882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Antigua and Barbuda"	15325	0	15479	0	0	0	15517	0	0	0	0	0	0	14172	0	0	0	0	15479	0	
"Bahamas"	0	0	0	16181	0	0	11081	0	0	0	0	11552	0	0	0	0	25219	0	0	0	
"Bahrain"	213916	0	84236	411099	0	10991	0	22022	9333	0	129705	9106	0	23692	12084	0	12380	17515	13338	0	
"United Kingdom"	0	0	0	0	0	0	0	0	0	0	0	0	123502	102863	122782	0	0	0	0	0	
"Tuvalu"	0	994	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	
"Ukraine"	0	0	17424	17415	0	0	0	0	0	0	0	0	648496	25941	0	34848	0	25941	14810	0	
"India"	8254	10312	0	43823	0	0	19764	29646	155388	103764	19404	0	155104	205597	0	0	0	0	0	0	
"Togo"	0	0	0	0	2138	0	0	0	1978	0	0	0	0	0	0	0	0	0	0	0	
"Tajikistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41307	0	0	0	0	
"Wallis and Futuna Islands"	1316	0	2721	528	957	639	0	1058	756	878	0	2093	945	1436	1656	661	2072	3828	0	0	
