Importers	2019-M07-Exported quantity, Kilograms	2019-M08-Exported quantity, Kilograms	2019-M09-Exported quantity, Kilograms	2019-M10-Exported quantity, Kilograms	2019-M11-Exported quantity, Kilograms	2019-M12-Exported quantity, Kilograms	2020-M01-Exported quantity, Kilograms	2020-M02-Exported quantity, Kilograms	2020-M03-Exported quantity, Kilograms	2020-M04-Exported quantity, Kilograms	2020-M05-Exported quantity, Kilograms	2020-M06-Exported quantity, Kilograms	2020-M07-Exported quantity, Kilograms	2020-M08-Exported quantity, Kilograms	2020-M09-Exported quantity, Kilograms	2020-M10-Exported quantity, Kilograms	2020-M11-Exported quantity, Kilograms	2020-M12-Exported quantity, Kilograms	2021-M01-Exported quantity, Kilograms	2021-M02-Exported quantity, Kilograms	
"World"	17066104	7409080	12450437	25148555	31296990	35172854	28148481	24100897	20845434	17135201	16045442	15004644	15286805	9017931	13392679	23859151	27208280	31958051	27728369	20687908	
"China"	3449521	526883	1990431	4977493	10282435	17431803	6770427	5913425	4287814	5006271	2764530	3823695	3331447	1322353	3020067	7257342	8268699	12644517	7008753	6644382	
"Australia"	2715898	1843657	1645578	2856407	3884431	2995677	2476565	3116198	2555739	1539334	2515676	1743569	1747964	1266480	2448957	3932382	2752625	3193176	2736603	2221838	
"Saudi Arabia"	1076853	44220	400993	1303680	2031162	1192174	1923015	1138309	981634	1831879	2085772	2246960	381858	103194	353571	1171288	2806813	2180684	2987848	1400546	
"Russian Federation"	333808	0	1047105	3855953	3096153	2841608	2904502	2695869	1275503	51882	786694	517788	1333048	1062340	1728774	945170	2377550	2833631	2557645	1335415	
"Chile"	0	0	0	0	37332	450678	570571	726010	26126	852451	0	466658	0	0	0	26126	299879	261164	622261	1280805	
"United States of America"	517579	179570	43897	117448	169813	179733	820237	317223	405594	597993	193114	210501	54507	120724	135051	324018	644667	281626	1159681	869349	
"Malaysia"	387425	407164	351411	554316	709757	640676	618928	673716	772112	368231	276738	185594	439655	355361	460071	677432	854005	787825	466571	665523	
"Singapore"	466396	203846	455422	807487	875529	597110	783001	633079	538570	564186	310626	418563	226027	392279	276229	540098	424233	701347	320952	641018	
"Taipei, Chinese"	1000906	619258	692142	854893	836075	1243140	867992	880402	1152935	774959	1048937	656876	614145	647062	625772	778616	756911	986263	1067745	633419	
"Indonesia"	1113947	335532	877686	1568577	1233960	768269	561146	1210744	1032208	471278	321071	0	270072	481327	784291	1028906	1891595	239053	896178	485043	
"Egypt"	274799	69176	116734	897895	2468405	949161	1033906	1759094	1330066	0	1035528	517248	828721	620960	414668	828076	285299	414025	1501847	465883	
"Canada"	396927	491772	17294	396940	982293	491387	1454340	404915	502326	502557	195281	160587	106263	17268	389835	778638	802422	884386	555926	412147	
"Philippines"	318807	162905	416436	366152	223698	342336	558175	297701	286055	420455	156221	105278	237310	38606	110716	301900	304692	316424	414716	347764	
"Japan"	271584	289197	941830	1715624	1095676	824833	2137345	970066	1030374	406138	1443131	408177	574375	356408	487377	1171513	1443805	1244586	1643917	316577	
"United Arab Emirates"	112494	32052	77797	371625	137678	232668	438251	247978	307014	126388	164597	51882	37933	45747	44786	26197	79364	161152	110997	302334	
"Morocco"	565707	151322	282390	332496	230534	399391	446518	220816	622324	544501	298690	152146	142968	103764	49937	181509	389037	543420	256359	266461	
"Netherlands"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24294	0	146947	221064	
"Azerbaijan"	317403	145038	122197	304461	266264	413041	542608	347865	259283	396299	439494	187729	249678	352321	227030	123050	170151	544558	80284	205012	
"Korea, Republic of"	499456	187460	391347	496809	541907	480868	429140	447031	544302	425836	494078	379062	154234	248974	270694	88976	310690	271841	722117	197194	
