Importers	2021-M02-Exported quantity, Kilograms	2021-M03-Exported quantity, Kilograms	2021-M04-Exported quantity, Kilograms	2021-M05-Exported quantity, Kilograms	2021-M06-Exported quantity, Kilograms	2021-M07-Exported quantity, Kilograms	2021-M08-Exported quantity, Kilograms	2021-M09-Exported quantity, Kilograms	2021-M10-Exported quantity, Kilograms	2021-M11-Exported quantity, Kilograms	2021-M12-Exported quantity, Kilograms	2022-M01-Exported quantity, Kilograms	2022-M02-Exported quantity, Kilograms	2022-M03-Exported quantity, Kilograms	2022-M04-Exported quantity, Kilograms	2022-M05-Exported quantity, Kilograms	2022-M06-Exported quantity, Kilograms	2022-M07-Exported quantity, Kilograms	2022-M08-Exported quantity, Kilograms	2022-M09-Exported quantity, Kilograms	
"Niue"	257	0	310	417	159	429	491	267	0	340	311	0	0	548	149	835	247	300	329	290	
"Marshall Islands"	0	0	0	0	0	0	0	0	99	0	0	0	82	0	96	95	0	0	0	96	
"Kiribati"	1924	0	2757	0	1219	0	2089	0	0	3055	0	0	1539	2571	1886	0	481	0	2468	91	
"Grenada"	0	0	0	0	13851	0	0	0	13223	0	0	0	0	13793	0	0	0	16474	0	0	
"Denmark"	122499	244173	0	0	0	0	0	0	0	0	0	0	0	0	0	146999	244972	21617	0	0	
"El Salvador"	0	0	0	0	0	0	11662	0	0	0	0	10665	0	0	0	0	0	0	0	0	
"Congo, Democratic Republic of the"	0	0	0	0	0	0	0	0	0	0	0	9129	0	23393	0	0	0	0	0	0	
"Gambia"	0	0	16640	0	0	0	0	16640	0	0	0	0	0	0	0	16630	0	0	0	0	
"Ghana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25195	0	25941	0	0	0	
"Brunei Darussalam"	69552	26643	25830	11411	11411	0	12938	12938	0	0	81027	22830	29910	0	31972	20281	0	0	0	0	
"Belize"	0	13214	0	0	13204	26202	13244	0	13244	0	0	15900	9609	0	0	10672	0	12435	0	0	
"Sri Lanka"	0	42462	0	39885	57311	19061	18591	29138	66777	0	39378	33450	0	33439	0	0	0	0	0	0	
"Azerbaijan"	205012	61470	336405	207153	229984	145677	64451	44332	177565	169790	364786	513502	229859	532643	85893	0	223902	396294	0	0	
"Algeria"	86470	51882	0	0	0	51882	0	0	69176	103661	0	0	0	0	0	0	0	0	0	0	
"Austria"	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	
"Bahamas"	0	0	0	0	15505	15017	0	12887	0	0	0	0	0	14984	0	0	0	14941	17046	0	
"Bahrain"	0	0	0	20828	0	0	0	9106	8651	19437	0	26444	8158	10505	0	34293	0	226683	106582	0	
"Bangladesh"	95117	95091	0	25941	0	0	0	8340	0	0	0	14823	14823	0	0	0	0	0	0	0	
"Barbados"	13202	0	13619	0	0	11614	0	15146	15889	0	7927	0	13507	12449	10591	0	26098	13223	12930	0	
"Palau"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	
"Panama"	0	0	0	0	0	14571	0	0	16639	0	0	0	0	15171	0	16423	0	0	18265	0	
"Peru"	0	0	8227	16249	0	0	0	8227	0	0	0	0	0	0	8227	0	0	0	0	0	
"Norfolk Island"	0	1937	0	0	2267	0	467	2451	0	2687	0	1439	0	0	1386	0	0	0	1874	0	
"Northern Mariana Islands"	7786	0	0	714	7184	0	6756	8289	0	7309	0	12353	0	7844	0	0	7844	6860	0	0	
"Micronesia, Federated States of"	0	157	0	0	0	351	0	0	0	470	0	0	0	234	0	0	0	0	470	0	
"Russian Federation"	1335415	1795837	703441	843902	421642	117300	23007	0	330567	384635	868737	1450068	1625269	51882	0	0	22584	0	0	0	
"Sierra Leone"	12344	0	0	0	0	0	0	8216	0	0	0	0	0	0	0	0	0	0	0	0	
"India"	0	0	0	0	9882	0	0	8403	0	0	0	60	9857	18512	120	0	0	0	0	0	
"Morocco"	266461	331683	116255	233288	439838	383348	65170	77797	454181	201110	194952	1107692	181535	357674	365361	162723	188664	103764	0	0	
"Oman"	32585	0	0	42761	0	32574	16271	0	0	48779	0	42110	0	0	10785	0	0	9877	0	0	
"Nauru"	0	0	0	0	48	0	0	0	294	0	0	0	0	0	0	0	0	0	283	0	
"Libya, State of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363172	362349	0	0	0	0	
"Lithuania"	43454	108072	63944	21296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Türkiye"	25864	0	0	0	0	21470	0	0	0	21449	0	42904	41818	60340	0	21427	0	165171	0	0	
"Tuvalu"	0	0	0	0	496	0	208	944	0	0	0	0	0	0	0	0	923	403	384	0	
"Ukraine"	0	0	17424	17424	0	0	0	0	0	0	17424	0	0	0	0	0	0	0	0	0	
"Egypt"	465883	1502696	232542	532561	969200	303853	137303	77823	2152929	980438	2741014	1538275	1236391	814483	1299803	622584	0	147396	362675	0	
"South Africa"	50904	77823	0	0	0	25941	181561	0	285299	155156	259332	311034	285221	25941	103712	51882	384661	0	0	0	
"Syrian Arab Republic"	0	0	0	0	0	0	0	0	0	0	0	0	25915	0	0	0	0	0	0	0	
