Importers	Exported value in 2014-M11	Exported value in 2014-M12	Exported value in 2015-M01	Exported value in 2015-M02	Exported value in 2015-M03	Exported value in 2015-M04	Exported value in 2015-M05	Exported value in 2015-M06	Exported value in 2015-M07	Exported value in 2015-M08	Exported value in 2015-M09	Exported value in 2015-M10	Exported value in 2015-M11	Exported value in 2015-M12	Exported value in 2016-M01	Exported value in 2016-M02	Exported value in 2016-M03	Exported value in 2016-M04	Exported value in 2016-M05	Exported value in 2016-M06	
"Cayman Islands"	0	0	35	0	0	31	0	0	20	0	0	32	0	42	0	0	0	23	0	33	
"Mauritius"	0	35	0	0	57	0	0	75	0	0	75	76	0	76	0	0	94	0	0	23	
"Bahrain"	0	18	77	0	9	0	19	39	0	180	120	753	0	4	12	0	10	0	41	21	
"Portugal"	8	0	7	0	0	11	8	15	15	0	0	8	0	3	0	7	11	7	7	15	
"Denmark"	0	63	251	62	3	17	0	466	198	264	0	91	636	455	285	1008	11	253	0	13	
"Hungary"	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	9	8	0	0	11	
"Gibraltar"	18	0	0	17	0	5	0	0	29	0	6	0	13	8	14	4	0	12	7	9	
"Greece"	0	0	0	2	2	10	9	5	0	0	0	0	10	5	5	0	8	8	0	5	
"Guatemala"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	43	43	0	
"Iran, Islamic Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	1356	138	0	1842	0	
"Israel"	230	0	0	0	0	264	62	264	0	0	0	0	53	0	0	153	210	61	61	0	
"Italy"	0	60	0	0	44	11	0	0	122	0	0	0	61	187	196	62	0	0	75	0	
"Côte d'Ivoire"	0	0	0	0	0	0	0	0	0	13	0	11	0	0	58	0	0	0	0	0	
"Palestine, State of"	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	
"Jordan"	0	63	0	0	207	0	0	0	0	0	0	0	0	101	0	0	0	13	0	0	
"Kuwait"	0	42	0	0	0	346	0	0	197	0	0	0	94	64	0	0	58	44	51	0	
"Lebanon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	
"Lithuania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Malaysia"	0	0	0	22	0	0	0	0	20	0	0	0	0	21	0	0	27	0	0	0	
"Congo, Democratic Republic of the"	118	0	0	0	48	0	0	40	0	118	0	0	0	0	90	0	0	0	240	0	
"Cuba"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	
"Chile"	0	115	61	0	113	720	311	221	0	88	0	154	0	267	52	0	0	140	0	0	
"Bahamas"	0	208	76	103	107	189	0	114	156	0	105	109	110	107	0	185	115	110	103	0	
"Angola"	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	
"Azerbaijan"	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Australia"	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	54	0	115	113	0	
"Qatar"	0	0	0	0	0	0	0	0	0	55	0	60	0	0	0	0	0	93	0	0	
"Romania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	
"Saudi Arabia"	87	315	98	0	718	753	188	246	236	164	82	0	0	473	97	229	102	769	381	0	
"Senegal"	0	0	0	43	0	0	82	82	0	0	0	0	0	79	0	0	0	0	0	0	
"India"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	
"Singapore"	38	0	0	0	0	0	0	0	0	26	0	0	0	0	24	0	0	0	0	0	
"Zimbabwe"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	
"Philippines"	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	
"Nigeria"	0	0	0	0	0	0	67	0	0	0	0	0	0	70	0	0	0	0	0	0	
"Norway"	0	70	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	
"Taipei, Chinese"	0	0	0	0	173	0	0	0	1	86	0	0	80	0	0	0	0	0	65	0	
"Oman"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	
"Special categories"	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	
