Importers	Exported value in 2014-M11	Exported value in 2014-M12	Exported value in 2015-M01	Exported value in 2015-M02	Exported value in 2015-M03	Exported value in 2015-M04	Exported value in 2015-M05	Exported value in 2015-M06	Exported value in 2015-M07	Exported value in 2015-M08	Exported value in 2015-M09	Exported value in 2015-M10	Exported value in 2015-M11	Exported value in 2015-M12	Exported value in 2016-M01	Exported value in 2016-M02	Exported value in 2016-M03	Exported value in 2016-M04	Exported value in 2016-M05	Exported value in 2016-M06	
"World"	46892	36926	25134	33629	48986	56234	56996	53297	53494	48133	46067	45995	40048	35693	28134	33339	39172	46114	44879	42638	
"United Kingdom"	15140	11615	9100	11209	12900	13353	10441	12005	11363	11518	13410	9961	10863	11190	8448	9424	10150	8779	11567	12508	
"Netherlands"	3508	5232	1051	1382	5424	12130	17006	11169	16402	9937	5851	8319	3945	4161	1382	2681	7636	9807	9066	6614	
"Belgium"	4306	1817	1856	4305	5997	5425	6052	6479	5083	6361	6224	4949	4603	2141	1544	2154	3879	4016	4598	6017	
"France"	5104	4702	2899	3468	5984	3983	6563	5878	4150	4278	4661	2778	3482	4123	3850	3436	3356	4712	2531	3617	
"United States of America"	1908	956	1880	1937	1141	1547	2053	2768	5065	3137	3659	7222	1045	3648	2148	1904	1713	1621	4179	3294	
"Germany"	13271	10537	5973	8924	12205	12822	9305	9829	8314	10764	10405	9038	9341	3520	5412	5624	4843	6300	2661	2593	
"Canada"	0	0	0	0	0	0	0	0	0	0	554	245	0	662	0	147	0	1635	1428	1598	
"Morocco"	457	405	776	147	625	775	527	776	60	244	203	269	725	146	1346	680	805	1671	313	1249	
"Egypt"	61	0	274	1214	1052	1893	1479	389	129	0	0	232	0	815	849	806	2661	1536	2328	1097	
"Poland"	149	0	0	0	0	0	0	0	0	0	0	0	0	20	0	45	121	25	144	768	
"South Africa"	161	87	69	78	407	117	268	546	444	208	62	240	92	203	160	869	679	1040	466	651	
"Mexico"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	
"Spain"	65	118	143	148	229	173	202	123	115	92	100	191	218	250	42	295	271	303	371	305	
"United Arab Emirates"	41	12	0	78	106	64	105	6	118	26	48	41	0	109	51	104	267	543	182	280	
"Türkiye"	1405	26	18	24	866	942	1387	1040	0	24	0	817	3593	2027	1795	1400	901	1369	541	263	
"Austria"	67	67	109	0	134	5	125	25	0	0	49	0	125	124	61	0	107	145	96	243	
"Czech Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	276	138	
"Algeria"	155	155	151	0	0	437	387	330	610	262	0	142	0	0	0	0	135	129	416	123	
"Pakistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	57	122	
"Cyprus"	71	37	0	219	88	26	43	55	328	26	195	0	143	196	0	161	26	106	0	106	
"Malta"	68	111	54	98	105	76	66	65	67	71	133	50	77	115	115	57	109	55	124	89	
"Trinidad and Tobago"	76	0	93	77	76	0	63	67	0	74	68	63	59	99	0	0	82	0	148	75	
"Tanzania, United Republic of"	40	0	0	0	0	0	0	0	62	0	0	0	52	0	0	0	0	0	0	74	
"Georgia"	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	126	124	128	68	
"Barbados"	67	0	0	0	0	69	0	0	69	0	0	58	0	0	0	59	0	0	0	67	
"Bermuda"	0	0	56	0	0	0	0	57	0	0	0	0	0	0	51	0	0	0	0	60	
"China"	138	0	12	0	37	25	66	66	66	71	0	35	30	0	34	99	0	127	0	57	
"Seychelles"	36	47	0	60	42	0	51	41	41	35	0	35	21	32	0	77	0	109	0	46	
"Jamaica"	0	0	0	0	0	0	44	0	0	0	0	0	0	30	0	0	0	0	0	36	
