Importers	2019-M08-Exported quantity, Kilograms	2019-M09-Exported quantity, Kilograms	2019-M10-Exported quantity, Kilograms	2019-M11-Exported quantity, Kilograms	2019-M12-Exported quantity, Kilograms	2020-M01-Exported quantity, Kilograms	2020-M02-Exported quantity, Kilograms	2020-M03-Exported quantity, Kilograms	2020-M04-Exported quantity, Kilograms	2020-M05-Exported quantity, Kilograms	2020-M06-Exported quantity, Kilograms	2020-M07-Exported quantity, Kilograms	2020-M08-Exported quantity, Kilograms	2020-M09-Exported quantity, Kilograms	2020-M10-Exported quantity, Kilograms	2020-M11-Exported quantity, Kilograms	2020-M12-Exported quantity, Kilograms	2021-M01-Exported quantity, Kilograms	2021-M02-Exported quantity, Kilograms	2021-M03-Exported quantity, Kilograms	
"World"	26575130	27364213	20579253	15295728	14418828	13664455	14783657	24635097	34301634	36136533	32558755	27516582	22521081	25577332	20920672	17448481	22292806	10761309	12280864	17979813	
"Netherlands"	8965796	10175279	3914439	4811061	4040932	2159129	3847520	8921125	18401221	16305740	15484105	12654505	9115375	9977474	6220107	4448260	4402639	1602655	1805113	6262602	
"United States of America"	3102214	2585172	1665244	811214	823319	1610556	1025177	1638019	3307164	5121851	3166863	3517059	3308421	3043776	2316517	1086178	761183	1960502	1214263	2438669	
"Germany"	3651684	2279927	1615285	1511621	1729281	2229119	1829372	4253880	3484110	4147467	3193783	2276124	1268840	3633242	3858062	4810435	2651747	2734163	4530564	2353332	
"France"	1245166	2273492	1349025	797184	780375	700817	797200	1557193	1196831	1601359	2243745	1714037	1307925	2026930	1579868	1731226	2159774	1491075	1330455	1897345	
"United Kingdom"	4928946	4713400	5620790	2531528	3005860	2933507	3390800	3364491	2165424	3105903	2212102	3017289	2874224	3433098	3601184	3677770	8984220	656342	826355	1547690	
"Morocco"	603500	493250	668675	20000	225000	745000	824950	702000	338500	290000	165000	624500	270000	140000	250000	40000	507000	240000	165000	554000	
"Belgium"	2231329	2063345	2089669	1724890	626615	1047175	1025180	1988160	2084500	3123110	2052440	1707665	1980070	1461010	1457679	268500	424600	598500	576975	465000	
"Egypt"	123750	248750	672300	674975	698000	252250	700750	425875	1300000	525000	550000	100000	100000	100000	100000	0	0	150000	296000	374975	
"Japan"	0	0	197429	25300	61800	18000	0	98000	49000	49000	0	18000	0	0	19938	0	24500	0	0	347550	
