Importers	2019-M08-Exported quantity, Kilograms	2019-M09-Exported quantity, Kilograms	2019-M10-Exported quantity, Kilograms	2019-M11-Exported quantity, Kilograms	2019-M12-Exported quantity, Kilograms	2020-M01-Exported quantity, Kilograms	2020-M02-Exported quantity, Kilograms	2020-M03-Exported quantity, Kilograms	2020-M04-Exported quantity, Kilograms	2020-M05-Exported quantity, Kilograms	2020-M06-Exported quantity, Kilograms	2020-M07-Exported quantity, Kilograms	2020-M08-Exported quantity, Kilograms	2020-M09-Exported quantity, Kilograms	2020-M10-Exported quantity, Kilograms	2020-M11-Exported quantity, Kilograms	2020-M12-Exported quantity, Kilograms	2021-M01-Exported quantity, Kilograms	2021-M02-Exported quantity, Kilograms	2021-M03-Exported quantity, Kilograms	
"Poland"	22000	195974	327980	128000	190950	65950	43000	44000	64000	64000	66000	110000	70000	132000	220250	133000	464000	88000	309000	269030	
"South Africa"	25000	0	0	0	143960	47500	0	0	133601	225000	252622	228368	150000	169320	100000	69320	31762	99000	118942	259600	
"Australia"	61875	343650	255500	332500	84265	44000	154000	68850	100000	243000	170995	201975	80085	65000	45000	0	10000	0	130000	205550	
"China"	70152	25000	179872	35472	97000	20064	0	50000	52410	141512	0	88880	154488	32748	23900	11084	144000	206088	267944	168879	
"Spain"	104087	220040	227058	215851	216398	262080	169825	303258	193069	195184	351921	241125	198235	196789	153620	310381	292046	59572	104790	119260	
"Türkiye"	524750	735000	408784	628920	431837	219002	232734	300000	125000	5464	935000	300000	512232	21000	100000	2562	106157	0	108097	103670	
"Italy"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1920	46000	155000	91000	66000	88000	
"Algeria"	5000	25000	74925	374925	22750	49750	50000	0	0	0	25000	20000	20000	0	0	0	0	0	95000	69750	
"Libya, State of"	0	0	0	0	0	0	0	0	0	0	100000	0	0	0	0	0	0	0	0	48000	
"Singapore"	0	6310	125000	4235	54413	177824	49000	29026	53235	36204	124000	6272	57391	6272	24527	24063	73500	4151	29147	46855	
"Bahamas"	22068	0	23607	22025	41955	19068	23114	0	42208	19266	41611	0	61972	20983	18240	22130	19200	16920	0	44440	
"Ghana"	0	0	0	0	0	0	20000	0	0	0	40000	0	0	0	0	0	0	0	0	40000	
"Denmark"	45959	21700	2607	0	0	0	17980	302971	165052	125197	420000	23975	218140	114580	65459	45000	21725	0	0	36011	
"Cyprus"	0	9980	10186	30577	22621	0	65529	13653	28537	31100	7177	0	0	28923	0	25570	9177	19138	12177	28746	
"Georgia"	0	128000	98000	22500	72000	68000	0	0	50000	25000	0	72000	50000	22025	0	0	0	0	0	25000	
"Israel"	0	0	0	50000	95000	0	0	65000	20000	0	40000	100000	0	0	0	45000	20000	0	0	25000	
"Bahrain"	0	134	225171	148	50148	74847	58246	31111	30365	75247	4102	2067	0	149801	6095	0	4101	2051	27109	24060	
"Chile"	48037	0	20899	37245	0	0	16380	22192	0	0	21877	20000	24811	0	19918	0	116024	0	0	22973	
"Czech Republic"	0	0	21000	0	0	0	0	0	0	0	44000	0	22000	0	0	66000	66000	22000	0	22000	
"Malta"	14504	9367	0	28049	18931	0	14304	17440	11490	16961	17558	6315	2312	0	10833	6817	9628	17898	0	12186	
"Saudi Arabia"	134000	0	166925	0	504875	144000	100000	0	195975	219950	204000	250000	200000	168000	312000	318000	242000	96000	96000	11000	
"Seychelles"	0	0	7424	0	22984	0	2600	5200	12160	0	8740	0	7100	11650	15938	0	11200	0	0	10600	
"United Arab Emirates"	68750	182500	50000	148998	45886	500500	26168	125073	289900	75000	26000	10000	10000	0	16000	0	30000	10000	0	10000	
"Barbados"	0	0	0	0	0	14723	0	0	0	19391	0	0	0	0	0	0	6792	0	0	8616	
"Mexico"	7091	0	0	5705	6056	0	0	0	7717	0	5910	8204	0	11868	0	0	0	12352	0	8405	
"Hong Kong, China"	0	0	0	0	10520	0	0	0	0	0	0	10456	5374	0	0	8160	0	8468	0	8352	
"Jamaica"	2344	0	5902	0	0	0	0	0	0	0	0	0	4110	0	0	7008	0	0	0	6048	
"Viet Nam"	0	0	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	5908	
"Malaysia"	5438	0	2720	0	4538	3695	0	4027	0	3425	4981	5327	3898	3667	50000	110632	100000	2844	0	4147	
"Mauritius"	0	0	5400	7600	0	0	6000	5580	0	7340	8400	0	5420	0	7500	0	2050	0	0	3550	
"Greece"	1000	0	1000	1000	1000	1000	0	3000	1000	1000	0	1000	0	1000	1000	29000	1000	2000	0	3000	
"Guatemala"	0	0	0	0	20000	0	0	40450	0	0	23000	0	20000	0	0	0	0	0	0	0	
"Hungary"	836	0	0	0	0	0	184	0	0	0	12557	10560	40000	0	3000	0	0	46855	0	0	
"Indonesia"	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Jordan"	0	0	0	0	0	25000	0	0	0	0	0	0	0	0	10000	0	0	0	10000	0	
"Kenya"	23000	0	0	0	0	0	0	18000	0	0	0	0	0	0	21000	0	0	0	0	0	
"Kuwait"	22000	0	0	50000	50000	0	0	0	49475	0	0	0	0	0	0	0	0	48750	0	0	
"Lebanon"	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	0	0	0	0	0	0	
"Estonia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25000	0	
"Falkland Islands (Malvinas)"	0	0	0	0	0	0	0	0	21975	0	0	0	0	0	0	0	0	0	0	0	
"Gibraltar"	960	0	2104	0	0	2324	2804	960	0	0	0	0	0	1500	750	0	0	1500	750	0	
"Congo"	16800	0	0	13886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Congo, Democratic Republic of the"	24200	0	0	26000	0	0	0	0	0	0	0	0	0	0	0	0	13000	0	0	0	
"Bermuda"	7212	3360	0	0	0	0	11970	0	0	10140	0	0	0	7529	0	0	0	0	9648	0	
"Canada"	0	485000	313750	0	50000	0	4741	0	267500	146250	334500	0	0	135000	90000	0	0	0	0	0	
"Cayman Islands"	0	7136	0	5792	1144	5155	0	8316	0	0	8153	0	0	0	2608	0	0	0	3248	0	
"Bangladesh"	0	0	40000	23000	0	25000	0	40000	0	0	25000	0	0	0	0	0	0	0	0	0	
"Austria"	106450	0	0	0	0	0	1050	0	0	44000	44000	44000	43550	44000	66000	44000	175900	44000	0	0	
"Angola"	0	0	0	29978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Azerbaijan"	0	0	0	0	0	0	0	25000	0	0	0	0	0	0	0	0	0	0	0	0	
"Lithuania"	0	20000	0	22500	22250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Taipei, Chinese"	20000	20000	25000	0	0	0	25000	21000	0	50000	20000	0	25000	0	0	0	0	0	0	0	
"Oman"	0	0	0	0	0	0	0	0	0	25000	0	0	0	0	0	0	0	0	0	0	
"Portugal"	1232	2464	0	3080	0	1920	616	616	3840	0	0	1920	0	1920	2704	3840	2880	0	2880	0	
"Qatar"	0	25000	0	0	0	0	10000	0	0	0	10000	0	0	35000	0	0	10000	0	0	0	
"Romania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22000	0	0	0	0	0	
"Tunisia"	0	0	124775	99925	75000	197500	0	0	0	20000	70000	20000	20000	0	40000	20000	40000	0	0	0	
"Ukraine"	0	0	0	0	44704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Senegal"	0	0	20652	22500	21000	0	21000	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Norway"	0	0	0	0	0	0	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Philippines"	38000	0	0	0	5461	0	0	0	0	6162	6162	0	0	0	6068	0	0	7130	0	0	
"Switzerland"	0	0	0	0	0	0	0	102800	13500	0	0	85724	195072	359536	41400	20000	0	0	0	0	
"Trinidad and Tobago"	0	15983	20156	0	0	0	16463	18831	42875	21490	17451	19235	0	21691	19587	18468	0	22355	20407	0	
"Tanzania, United Republic of"	0	0	0	17544	0	0	0	0	0	14820	0	0	0	0	0	0	0	0	0	0	
"Uruguay"	100000	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Yemen"	0	0	0	0	0	0	0	0	0	0	0	0	75000	0	0	0	200000	400000	100000	0	
