Importers	2011-M09-Exported quantity, Tons	2011-M10-Exported quantity, Tons	2011-M11-Exported quantity, Tons	2011-M12-Exported quantity, Tons	2012-M01-Exported quantity, Tons	2012-M02-Exported quantity, Tons	2012-M03-Exported quantity, Tons	2012-M04-Exported quantity, Tons	2012-M05-Exported quantity, Tons	2012-M06-Exported quantity, Tons	2012-M07-Exported quantity, Tons	2012-M08-Exported quantity, Tons	2012-M09-Exported quantity, Tons	2012-M10-Exported quantity, Tons	2012-M11-Exported quantity, Tons	2012-M12-Exported quantity, Tons	2013-M01-Exported quantity, Tons	2013-M02-Exported quantity, Tons	2013-M03-Exported quantity, Tons	2013-M04-Exported quantity, Tons	
"World"	12566	9931	10143	8702	5537	6439	9126	7125	14520	18720	15049	10817	14806	12289	14014	12104	5695	9551	10578	12783	
"United Kingdom"	2920	2633	2735	2760	1980	2488	2907	3026	3484	4036	4852	3860	4588	4020	3793	3818	2759	3167	3434	4084	
"Germany"	5600	3741	3800	3692	1897	2198	3893	1658	3255	4990	3193	2433	5136	4642	4563	4736	407	3589	3423	3148	
"France"	1133	803	1102	845	300	526	587	631	942	1770	1288	830	1499	1189	2009	1201	629	721	992	2265	
"Belgium"	2070	1940	1120	669	674	577	870	900	1597	1988	2437	2448	1545	1349	1328	363	654	530	1117	1489	
"Netherlands"	376	356	536	423	252	287	201	557	4565	4919	2278	741	1245	496	561	1396	532	949	1133	1245	
"United States of America"	194	186	267	86	193	187	147	138	157	82	201	273	226	124	93	122	146	161	168	180	
"Algeria"	0	0	0	18	0	0	100	0	0	0	18	0	0	0	16	0	0	0	67	110	
"Spain"	7	5	7	0	12	9	4	24	9	64	27	1	89	77	79	88	15	5	34	55	
"Israel"	0	0	47	0	0	20	0	0	0	64	10	0	0	25	0	0	0	48	0	49	
"Poland"	0	67	38	68	22	22	45	1	45	22	23	23	68	0	0	22	0	0	0	23	
"Bahamas"	0	19	0	38	19	17	18	0	18	49	0	44	22	0	23	42	0	0	22	22	
"China"	0	15	0	19	2	0	0	6	16	3	21	0	14	0	5	0	21	0	0	18	
"Cyprus"	42	30	39	0	21	54	32	9	0	36	9	24	0	5	63	7	15	28	11	16	
"Malta"	29	0	30	10	10	21	20	8	12	25	12	16	0	14	12	24	12	28	0	13	
"Greece"	4	10	13	8	0	3	0	0	3	10	4	2	26	12	20	19	17	10	0	13	
"Kuwait"	0	0	0	0	0	0	0	0	11	21	0	0	0	0	0	0	0	0	0	10	
"Bermuda"	9	0	0	0	0	0	9	0	0	0	7	0	0	0	6	0	0	0	0	10	
"South Africa"	57	57	24	0	24	0	25	39	229	221	218	43	19	19	9	33	4	58	64	10	
"Seychelles"	20	14	0	0	13	0	0	3	0	9	14	3	0	11	0	14	8	0	8	8	
"United Arab Emirates"	0	0	7	0	0	0	0	0	8	0	0	0	0	0	8	0	0	0	4	6	
"Türkiye"	0	0	8	0	7	0	0	0	5	75	4	0	0	3	1218	24	0	9	0	5	
"Egypt"	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	4	
"Gibraltar"	4	0	0	4	1	0	6	0	0	0	3	3	0	0	4	1	3	0	0	2	
"Indonesia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
"Iran, Islamic Republic of"	0	0	0	0	0	0	200	0	0	0	100	0	250	0	0	0	249	100	0	0	
"Iraq"	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	
"Lithuania"	0	0	0	0	0	No Quantity	0	0	0	No Quantity	0	0	0	0	0	1	0	0	0	0	
"Malaysia"	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	
"Italy"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	88	0	0	0	
"Kenya"	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	
"Mauritius"	0	0	0	12	0	0	0	0	11	12	0	0	0	7	12	1	0	0	15	0	
"Taipei, Chinese"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	
"Morocco"	0	0	0	0	0	0	0	0	50	150	0	0	0	0	0	0	0	0	0	0	
"Saudi Arabia"	0	0	0	0	0	18	0	0	0	0	0	0	0	10	8	0	0	0	0	0	
"Nigeria"	19	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	
"Norway"	0	0	90	0	0	0	0	0	0	0	0	0	0	224	90	0	0	0	0	0	
"Georgia"	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	
"Czech Republic"	0	0	0	0	0	0	0	0	0	23	23	0	0	0	42	0	0	0	0	0	
"Denmark"	0	0	5	0	0	0	0	4	0	0	22	24	0	0	5	0	0	2	8	0	
"Congo"	0	19	19	0	0	0	19	0	18	0	0	0	20	0	0	0	0	20	0	0	
"Congo, Democratic Republic of the"	0	0	0	0	41	0	20	20	20	0	20	0	20	0	20	0	0	0	0	0	
"Chile"	19	0	41	0	25	0	0	25	0	0	24	19	0	0	0	0	83	0	0	0	
"Bahrain"	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	2	0	6	2	0	
"Barbados"	0	0	0	0	16	0	0	15	0	0	0	15	0	0	0	0	17	0	0	0	
"Angola"	0	13	0	19	0	0	0	14	0	0	0	11	6	18	0	8	0	0	0	0	
"Austria"	0	0	158	0	0	0	0	0	0	0	0	0	10	2	7	26	0	76	29	0	
"Syrian Arab Republic"	0	0	0	0	0	0	0	0	45	45	23	0	0	0	0	0	0	0	0	0	
"Trinidad and Tobago"	0	0	17	0	0	13	0	11	17	0	24	0	0	9	0	0	12	14	10	0	
"Slovakia"	45	23	23	23	0	0	23	23	0	22	68	0	23	23	22	0	0	0	0	0	
"Zimbabwe"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	
"Uzbekistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	
"Venezuela, Bolivarian Republic of"	19	0	0	0	19	0	0	0	0	36	0	0	0	0	0	0	24	0	0	0	
"Zambia"	0	0	0	9	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	
"Tanzania, United Republic of"	0	0	0	0	10	0	0	14	0	0	14	0	0	7	0	0	0	13	0	0	
