Importers	Exported value in 2010-M02	Exported value in 2010-M03	Exported value in 2010-M04	Exported value in 2010-M05	Exported value in 2010-M06	Exported value in 2010-M07	Exported value in 2010-M08	Exported value in 2010-M09	Exported value in 2010-M10	Exported value in 2010-M11	Exported value in 2010-M12	Exported value in 2011-M01	Exported value in 2011-M02	Exported value in 2011-M03	Exported value in 2011-M04	Exported value in 2011-M05	Exported value in 2011-M06	Exported value in 2011-M07	Exported value in 2011-M08	Exported value in 2011-M09	
"Angola"	0	0	0	68	0	0	61	72	73	0	0	0	0	73	0	0	69	0	0	0	
"Azerbaijan"	0	0	0	0	0	0	0	0	1100	0	418	251	0	0	0	0	0	0	0	0	
"Austria"	0	0	0	0	0	0	0	159	317	236	0	0	0	0	0	0	79	239	0	0	
"Bahamas"	110	0	61	134	0	206	146	0	71	57	0	80	139	52	74	117	86	143	92	0	
"Bahrain"	0	7	0	0	36	0	0	0	0	32	0	0	0	0	0	0	0	0	20	0	
"Barbados"	0	0	60	0	0	50	0	0	0	51	0	0	63	0	64	0	0	0	73	0	
"Trinidad and Tobago"	0	0	0	72	0	0	73	74	0	0	0	76	0	75	0	82	91	0	77	0	
"United Arab Emirates"	0	0	0	0	24	0	0	0	0	0	31	0	0	0	0	0	36	0	0	0	
"Türkiye"	0	675	0	285	0	0	0	0	449	0	0	0	0	0	0	0	0	57	0	0	
"Egypt"	0	0	1271	582	0	0	0	0	0	0	766	640	949	316	0	0	0	0	0	0	
"Poland"	0	308	63	334	231	239	159	163	240	244	155	77	243	0	0	250	171	171	170	0	
"Qatar"	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Romania"	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	
"Russian Federation"	0	524	539	0	0	0	0	2268	981	981	0	0	0	0	0	0	0	0	0	0	
"Saudi Arabia"	0	0	301	34	0	61	0	0	0	0	0	0	0	0	0	0	0	61	0	0	
"Singapore"	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	76	0	0	
"Tanzania, United Republic of"	55	0	0	0	63	0	0	0	0	32	0	0	0	59	0	0	0	58	0	0	
"United States Minor Outlying Islands"	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
