Importers	Exported value in 2016-M06	Exported value in 2016-M07	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	Exported value in 2018-M01	
"World"	42638	42291	57339	62059	53424	56858	37985	37158	35255	68341	78199	89700	108372	88253	87899	88826	68290	68270	72471	53791	
"United Kingdom"	12508	13475	15126	16738	17064	16191	13141	13296	13580	17803	15475	16409	24230	20090	19298	25733	20746	23116	26704	15244	
"United States of America"	3294	3634	6168	3282	5171	6441	3832	5324	5343	8253	6832	7777	7320	9812	10168	6272	6764	4494	6487	10192	
"Netherlands"	6614	5743	11792	18982	6632	7826	7116	3893	2546	8942	22244	27678	32374	25299	21876	11648	5914	8195	14189	8446	
"France"	3617	3317	2938	4305	4839	5869	4664	4362	3150	6635	5109	7836	8774	7710	6852	6902	4167	5886	5049	4107	
"Türkiye"	263	325	1124	238	743	1208	37	9	0	1265	1006	613	649	1408	1979	1634	570	959	2440	3576	
"Morocco"	1249	976	0	75	0	0	0	109	0	458	53	0	203	349	232	0	0	0	318	3127	
"Belgium"	6017	5538	6586	5022	9000	6966	3140	2062	3516	6838	5998	7600	12217	9889	15845	18198	16791	7630	4221	2524	
"Germany"	2593	4442	6614	7985	7750	8631	2822	4629	3652	13851	14898	15890	14584	6955	8938	12897	9525	11439	7683	2333	
"South Africa"	651	461	457	77	129	309	168	591	571	1253	720	1230	1050	587	607	822	268	985	1046	917	
"Denmark"	13	0	69	16	0	739	190	15	0	21	16	1	13	0	26	0	0	2275	119	541	
"Australia"	0	64	0	57	57	71	0	0	248	68	152	393	229	76	173	302	154	0	517	418	
"Spain"	305	127	90	67	230	99	513	173	225	448	180	266	410	516	471	498	710	452	1125	368	
"Saudi Arabia"	0	305	0	120	62	0	0	0	806	0	1101	86	449	118	0	1203	1081	738	0	340	
"Trinidad and Tobago"	75	0	63	66	0	85	84	54	0	161	81	87	80	95	0	77	114	0	0	236	
"Tunisia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	220	
"Poland"	768	238	61	173	153	551	490	430	186	120	335	4	130	0	19	0	4	676	0	158	
"United Arab Emirates"	280	81	101	0	0	59	0	0	51	403	83	36	98	211	0	51	0	103	0	157	
"Bahamas"	0	210	108	0	109	94	112	239	125	0	235	119	0	0	346	0	129	108	133	118	
"Cyprus"	106	210	0	86	78	253	212	107	148	0	0	68	0	100	0	249	185	0	67	113	
"Egypt"	1097	594	921	1429	407	674	0	0	427	0	0	848	0	125	0	0	0	0	883	100	
"Georgia"	68	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	93	
"Congo, Democratic Republic of the"	0	0	0	72	24	0	0	0	0	0	107	0	0	0	0	0	142	127	0	89	
"Guatemala"	0	43	0	0	0	0	0	82	0	73	0	0	0	0	0	0	0	0	0	77	
"Barbados"	67	0	0	0	0	69	0	0	0	76	0	116	0	0	0	0	0	0	0	67	
"Malta"	89	92	92	66	104	99	124	111	34	131	77	141	136	180	0	166	200	55	131	56	
"Bermuda"	60	0	0	0	0	0	0	62	0	0	0	47	24	0	0	0	0	0	0	50	
"China"	57	74	0	94	53	58	0	0	27	105	31	40	285	58	213	34	45	69	15	41	
"Malaysia"	0	0	16	0	0	22	0	26	0	0	21	0	18	0	23	24	19	0	24	24	
"Greece"	5	72	77	0	151	15	10	5	15	10	15	10	0	0	0	0	21	21	14	21	
"Gibraltar"	9	5	0	22	0	0	13	17	18	0	0	9	5	25	0	3	0	18	0	19	
"Bahrain"	21	9	0	0	0	4	0	7	21	0	16	0	26	14	9	15	6	19	0	6	
"Austria"	243	191	192	48	145	145	48	96	96	96	87	269	365	269	291	431	548	275	328	0	
"Algeria"	123	0	71	282	228	133	0	0	104	0	64	0	869	484	0	0	0	0	375	0	
"Angola"	0	0	137	145	68	0	93	265	0	82	0	0	83	0	0	62	0	0	0	0	
