Importers	Exported value in 2016-M06	Exported value in 2016-M07	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	Exported value in 2018-M01	
"Azerbaijan"	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Czech Republic"	138	0	58	293	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	
"Canada"	1598	1419	1955	1952	0	0	0	836	0	0	425	453	0	0	0	0	0	0	0	0	
"Cayman Islands"	33	0	0	39	0	0	35	0	35	0	47	0	0	39	0	0	36	0	48	0	
"Chile"	0	0	101	230	0	0	266	0	114	68	0	228	0	107	114	217	0	221	103	0	
"Hungary"	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Indonesia"	0	58	0	0	0	0	0	0	0	0	228	10	0	0	0	0	0	0	0	0	
"Iran, Islamic Republic of"	0	0	2027	0	0	0	229	109	30	352	1944	842	2718	3248	0	939	0	0	0	0	
"Iraq"	0	30	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Israel"	0	260	90	0	0	0	0	0	0	208	0	228	0	0	0	0	0	0	0	0	
"Italy"	0	0	0	0	0	0	100	0	0	0	232	190	188	0	0	0	0	0	108	0	
"Côte d'Ivoire"	0	0	35	0	67	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	
"Jamaica"	36	0	0	0	0	27	0	0	27	3	0	0	0	23	21	0	0	0	0	0	
"Japan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
"Jordan"	0	0	0	0	0	126	89	0	67	0	55	0	41	0	0	0	0	0	0	0	
"Korea, Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	0	106	105	0	0	0	0	0	
"Kuwait"	0	0	0	0	0	0	0	0	44	102	0	0	41	0	0	0	0	0	0	0	
"Lebanon"	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Lithuania"	0	0	0	0	0	0	0	0	2	0	0	0	0	15	0	0	22	0	0	0	
"Mauritius"	23	34	0	39	46	0	63	40	17	0	0	1	0	23	0	58	22	0	63	0	
"Mexico"	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Taipei, Chinese"	0	0	0	0	0	0	0	0	0	104	0	0	0	0	149	20	0	0	0	0	
"New Caledonia"	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	113	0	
"New Zealand"	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Nigeria"	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	
"Pakistan"	122	107	57	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	
"Portugal"	15	11	15	0	22	3	0	4	4	21	16	20	16	0	3	5	0	10	9	0	
"Qatar"	0	0	0	0	0	0	46	17	0	0	0	0	0	0	0	14	0	0	19	0	
"Romania"	0	0	0	0	9	0	0	3	0	13	0	0	14	0	0	8	0	0	6	0	
"Senegal"	0	0	45	0	0	0	0	0	0	0	0	0	85	230	0	0	0	111	0	0	
"Seychelles"	46	29	32	0	58	43	98	0	0	9	0	40	100	22	0	31	0	56	120	0	
"Singapore"	0	31	0	45	0	12	0	0	7	43	0	0	32	0	49	0	0	74	0	0	
"Slovakia"	0	0	0	0	0	0	0	93	0	93	0	0	0	0	0	0	0	0	0	0	
"Oman"	0	0	0	0	12	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	
"Yemen"	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	
"Tanzania, United Republic of"	74	0	0	0	0	0	0	80	0	0	0	0	0	0	80	0	93	141	0	0	
