Importers	Exported value in 2008-M07	Exported value in 2008-M08	Exported value in 2008-M09	Exported value in 2008-M10	Exported value in 2008-M11	Exported value in 2008-M12	Exported value in 2009-M01	Exported value in 2009-M02	Exported value in 2009-M03	Exported value in 2009-M04	Exported value in 2009-M05	Exported value in 2009-M06	Exported value in 2009-M07	Exported value in 2009-M08	Exported value in 2009-M09	Exported value in 2009-M10	Exported value in 2009-M11	Exported value in 2009-M12	Exported value in 2010-M01	Exported value in 2010-M02	
"World"	38954	24440	23874	24585	26551	25004	11861	17043	19799	17916	25936	34324	28749	21565	23090	21047	23157	18399	14872	12891	
"United Kingdom"	9912	9543	6901	8296	8820	7269	5284	4877	5242	5322	5136	6304	6607	6527	7421	5706	8106	8679	8328	5757	
"Germany"	6706	6790	6316	7958	6035	7107	1917	2859	6755	4432	10163	8464	8039	4497	7146	7476	7324	5599	3223	4041	
"France"	2500	1914	2162	1795	4424	3360	2732	3747	2536	1853	1944	2344	1136	1343	2123	1641	1869	1469	1703	1350	
"Belgium"	8975	3447	5913	3954	3229	4821	776	1824	3729	3253	4882	8681	6956	5930	5105	4698	3787	1053	826	812	
"Denmark"	0	0	23	0	5	311	0	0	0	0	0	0	0	0	0	5	457	13	0	207	
"Cyprus"	97	134	145	117	112	96	144	157	122	0	46	126	18	108	201	126	115	49	129	119	
"Bahamas"	71	70	0	90	90	0	0	102	0	38	87	0	32	97	0	54	77	48	44	110	
"Congo, Democratic Republic of the"	65	70	149	74	0	113	56	0	0	112	101	0	0	0	0	49	0	49	0	69	
"Spain"	6	0	0	0	0	0	0	0	52	52	156	156	103	0	155	103	51	0	0	62	
"Czech Republic"	1251	0	729	730	523	0	0	0	0	0	0	89	46	0	57	56	0	0	0	59	
"Malta"	62	66	56	35	66	118	55	59	68	96	0	58	40	0	105	0	113	47	58	55	
"Tanzania, United Republic of"	0	38	0	0	0	0	0	13	0	61	0	0	0	0	0	0	44	0	0	55	
"South Africa"	105	216	112	0	0	119	8	0	50	111	0	82	85	80	54	0	157	38	147	54	
"Seychelles"	50	0	50	0	0	0	50	0	0	56	7	0	34	34	0	0	0	0	0	38	
"Netherlands"	2660	819	239	240	474	521	9	500	92	77	1062	6593	3943	1911	414	281	573	942	24	34	
"Kuwait"	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	29	
"Greece"	0	20	0	0	11	0	14	1363	14	26	29	29	17	29	29	29	0	67	24	17	
"Bermuda"	24	0	0	0	38	0	0	0	0	0	24	0	0	0	24	0	0	0	37	13	
"Chile"	0	131	70	70	58	0	0	56	0	52	0	0	55	53	0	54	52	0	60	0	
"China"	0	0	0	0	0	22	0	0	0	0	45	0	0	18	0	33	0	0	0	0	
"Congo"	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	63	0	
"Algeria"	0	298	145	145	71	259	341	181	36	488	0	38	0	0	0	0	0	0	0	0	
"Angola"	0	0	74	0	0	0	0	0	0	0	67	0	0	0	0	47	0	64	0	0	
"Azerbaijan"	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Australia"	25	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	
"Austria"	0	0	80	0	43	0	0	0	38	115	38	0	85	44	44	45	0	0	0	0	
"Barbados"	0	0	50	0	0	0	0	46	0	33	0	0	0	31	0	0	0	0	31	0	
"Georgia"	0	0	0	52	59	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	
"Hong Kong, China"	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Indonesia"	0	0	0	0	44	0	0	0	0	0	35	0	0	36	0	36	0	0	0	0	
"Iran, Islamic Republic of"	3978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Israel"	119	0	0	60	0	0	0	0	0	0	0	35	34	0	0	83	0	0	0	0	
"Italy"	60	122	122	62	482	0	21	45	0	49	99	0	49	0	0	0	63	73	0	0	
"Japan"	41	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Kazakhstan"	0	0	0	0	146	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Kenya"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	
"Malaysia"	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	
"Maldives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	
"Gibraltar"	0	0	18	0	6	0	18	0	14	15	0	14	0	27	0	0	0	2	17	0	
"Mauritius"	0	0	25	0	0	0	39	0	0	0	26	0	0	0	0	0	0	27	0	0	
"Morocco"	1485	0	0	0	0	226	0	0	0	0	0	173	346	0	0	0	0	0	0	0	
"Oman"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	
"Namibia"	39	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	
"Nigeria"	67	0	0	79	0	81	0	0	0	0	105	0	0	0	0	0	51	50	0	0	
"Poland"	0	0	0	0	0	0	0	0	0	0	134	223	277	143	48	170	159	79	0	0	
"Saint Vincent and the Grenadines"	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Saudi Arabia"	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	59	0	0	0	
"Trinidad and Tobago"	50	131	0	60	0	0	0	63	0	0	70	0	0	43	0	0	48	0	63	0	
"United Arab Emirates"	477	0	0	0	126	0	0	0	0	34	0	0	0	37	0	0	0	0	0	0	
"Türkiye"	0	0	0	0	557	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	
"Turkmenistan"	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	
"Egypt"	0	0	366	0	243	0	0	756	891	1633	1460	784	653	516	0	0	0	0	0	0	
"Slovakia"	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	171	0	0	0	0	
"Special categories"	0	0	0	64	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	
"United States of America"	24	50	29	0	0	35	0	0	0	0	32	0	0	0	0	0	0	0	0	0	
"United States Minor Outlying Islands"	0	0	0	53	60	0	0	0	0	0	41	0	0	0	40	45	0	0	0	0	
"Uzbekistan"	0	0	0	644	533	132	327	0	118	0	74	0	0	0	0	0	0	0	0	0	
"Venezuela, Bolivarian Republic of"	70	70	75	0	0	0	62	0	0	0	60	60	0	0	116	58	0	0	53	0	
