Importers	2018-M01-Exported quantity, Kilograms	2018-M02-Exported quantity, Kilograms	2018-M03-Exported quantity, Kilograms	2018-M04-Exported quantity, Kilograms	2018-M05-Exported quantity, Kilograms	2018-M06-Exported quantity, Kilograms	2018-M07-Exported quantity, Kilograms	2018-M08-Exported quantity, Kilograms	2018-M09-Exported quantity, Kilograms	2018-M10-Exported quantity, Kilograms	2018-M11-Exported quantity, Kilograms	2018-M12-Exported quantity, Kilograms	2019-M01-Exported quantity, Kilograms	2019-M02-Exported quantity, Kilograms	2019-M03-Exported quantity, Kilograms	2019-M04-Exported quantity, Kilograms	2019-M05-Exported quantity, Kilograms	2019-M06-Exported quantity, Kilograms	2019-M07-Exported quantity, Kilograms	2019-M08-Exported quantity, Kilograms	
"Cayman Islands"	0	6088	0	9027	0	7062	0	5887	0	0	7533	0	0	5704	0	6069	6712	0	0	0	
"Sri Lanka"	0	0	0	0	0	0	4310	0	0	0	4943	0	0	0	0	0	0	0	0	0	
"Bahrain"	1144	302144	5144	2000	3080	177144	7000	0	1144	1144	0	0	2000	2000	2000	4284	0	0	27043	0	
"Barbados"	10562	0	0	0	0	24259	0	0	0	0	0	0	0	0	18708	0	0	19543	0	0	
"Qatar"	0	10000	4000	2000	3080	0	0	8000	0	0	10000	0	0	10000	0	1000	0	0	0	0	
"Senegal"	0	0	0	0	0	20475	20275	0	0	20652	20275	0	0	0	20800	0	0	40553	0	0	
"Seychelles"	0	7000	0	0	6240	7540	7300	0	0	10400	0	7540	10472	0	3080	19600	6600	0	11200	0	
"Singapore"	0	0	5438	6850	0	6310	6850	4358	0	11416	0	5438	0	0	4026	4026	3155	29566	8054	0	
"Oman"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000	0	0	0	
"Mauritius"	0	6460	0	4580	5780	0	10000	0	5800	5800	4984	3284	0	0	0	4600	6800	0	2796	0	
"Libya, State of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40000	0	9000	0	0	0	
"New Zealand"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75000	0	0	
"Pakistan"	0	0	0	0	4620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Tunisia"	44000	0	0	0	0	0	0	0	0	0	0	0	0	0	148000	0	0	0	0	0	
"Trinidad and Tobago"	40197	0	16493	19092	17266	13141	19024	15658	21429	33329	0	16622	0	20327	0	32759	0	35524	21612	0	
"Uzbekistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42500	0	0	
"Yemen"	0	0	0	0	0	0	0	0	0	0	0	0	25000	0	0	0	0	0	0	0	
"Zambia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13100	0	0	0	0	0	
"Tanzania, United Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	14058	0	0	0	0	12034	0	0	
"Special categories"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23750	0	0	
