Importers	Exported value in 2019-M08	Exported value in 2019-M09	Exported value in 2019-M10	Exported value in 2019-M11	Exported value in 2019-M12	Exported value in 2020-M01	Exported value in 2020-M02	Exported value in 2020-M03	Exported value in 2020-M04	Exported value in 2020-M05	Exported value in 2020-M06	Exported value in 2020-M07	Exported value in 2020-M08	Exported value in 2020-M09	Exported value in 2020-M10	Exported value in 2020-M11	Exported value in 2020-M12	Exported value in 2021-M01	Exported value in 2021-M02	Exported value in 2021-M03	
"World"	112667	87405	82472	58262	55427	53581	47894	78866	113942	118453	95386	88660	74855	86414	75252	61234	74236	40445	42847	67514	
"Netherlands"	31473	13043	13999	16007	13670	7504	4209	17275	46285	41995	28166	27714	19983	24264	17381	12817	11541	5132	5666	20231	
"United States of America"	21656	18179	11884	5566	4590	9778	6322	10012	21531	33659	20212	21566	19637	18211	13776	6354	4539	11520	7075	14135	
"Germany"	14147	8934	6041	5434	6424	7679	6242	14227	12090	11823	10675	8713	4531	12365	12642	16442	8830	8488	13758	7578	
"France"	5244	9362	5233	3085	2909	2546	2898	5480	3915	4957	6988	5500	4115	6577	5312	5814	7026	4914	4463	6554	
"United Kingdom"	20535	17636	20366	9676	12206	10702	12613	12524	8107	8133	7407	10665	10328	12343	13772	13661	31003	2633	2876	6066	
"Morocco"	2255	1732	2394	67	785	2712	3047	2518	1160	921	508	1744	932	437	851	138	1702	808	558	1950	
"Belgium"	9531	8346	8532	7060	2448	4186	4224	8448	8157	7985	6548	5733	7111	5569	5684	867	1314	1880	1853	1521	
"Egypt"	447	901	2428	2411	2540	922	2519	1555	4556	1736	1824	294	284	276	327	0	0	521	1045	1389	
"Japan"	0	0	819	89	260	74	0	410	205	205	0	71	0	0	79	0	89	0	0	1247	
"South Africa"	102	0	0	0	677	163	0	0	559	792	1010	877	475	622	341	308	132	326	439	886	
"Poland"	88	628	1084	421	638	234	142	138	193	193	179	291	209	414	715	436	1485	284	1000	854	
"Australia"	217	1257	938	1190	356	159	587	247	350	823	598	672	282	271	144	0	64	0	514	802	
"China"	313	97	787	154	355	110	0	184	249	488	0	332	620	171	129	62	515	754	960	646	
"Spain"	529	846	845	813	818	946	713	1173	773	663	1080	705	627	581	496	1036	1023	256	410	439	
"Türkiye"	2055	2436	1396	2248	1568	790	880	1074	421	38	3948	1036	1457	71	362	18	401	0	423	384	
"Bahamas"	177	0	190	173	338	153	183	0	340	149	323	0	470	156	141	168	141	125	0	334	
"Italy"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	142	500	284	205	274	
"Algeria"	18	87	318	993	80	178	185	0	0	0	76	72	70	0	0	0	0	0	329	245	
"Cyprus"	0	81	83	249	185	0	339	112	233	254	58	0	0	237	0	208	75	156	100	235	
"Singapore"	0	48	521	33	235	750	189	134	224	170	392	47	224	47	88	128	241	32	114	192	
"Libya, State of"	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0	0	176	
"Chile"	312	0	145	187	0	0	112	144	0	0	150	74	162	0	128	0	491	0	0	147	
"Ghana"	0	0	0	0	0	0	72	0	0	0	136	0	0	0	0	0	0	0	0	137	
"Denmark"	128	60	4	0	0	0	38	881	489	332	1332	67	590	271	205	148	56	0	0	109	
"Malta"	98	76	0	220	131	0	125	140	93	143	138	44	19	0	79	52	81	148	0	101	
"Israel"	0	0	0	209	338	0	0	252	78	0	156	370	0	0	0	169	65	0	0	94	
"Bahrain"	0	0	939	0	168	273	236	156	134	227	31	14	0	550	23	0	28	13	103	94	
"Georgia"	0	464	359	82	265	255	0	0	178	71	0	236	176	76	0	0	0	0	0	92	
"Czech Republic"	0	0	75	0	0	0	0	0	0	0	120	0	68	0	0	193	221	71	0	79	
"Seychelles"	0	0	53	0	166	0	19	38	88	0	63	0	51	84	115	0	79	0	0	76	
"Barbados"	0	0	0	0	0	121	0	0	0	152	0	0	0	0	0	0	52	0	0	67	
"United Arab Emirates"	279	702	215	524	227	1805	175	444	1096	265	169	62	61	0	99	0	180	59	0	60	
"Mexico"	49	0	0	41	42	0	0	0	56	0	41	57	0	82	0	0	0	87	0	58	
"Jamaica"	18	0	45	0	0	0	0	0	0	0	0	0	27	0	0	51	0	0	0	44	
"Hong Kong, China"	0	0	0	0	53	0	0	0	0	0	0	61	28	0	0	45	0	42	0	43	
"Saudi Arabia"	591	0	631	0	1821	516	373	0	750	825	734	815	679	487	915	1016	729	278	278	39	
"Viet Nam"	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	35	
"Malaysia"	41	0	20	0	34	28	0	30	0	26	39	41	29	27	182	438	364	22	0	31	
"Mauritius"	0	0	38	54	0	0	43	39	0	52	60	0	38	0	53	0	14	0	0	25	
"Greece"	8	0	8	8	8	8	0	23	8	8	0	7	0	7	7	70	8	15	0	23	
"Guatemala"	0	0	0	0	77	0	0	154	0	0	83	0	71	0	0	0	0	0	0	0	
"Hungary"	4	0	0	0	0	0	0	0	0	0	56	50	108	0	10	0	0	136	0	0	
"Indonesia"	896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Jordan"	0	0	0	0	0	91	0	0	0	0	0	0	0	0	65	0	0	0	63	0	
"Kenya"	89	0	0	0	0	0	0	73	0	0	0	0	0	0	78	0	0	0	0	0	
"Kuwait"	83	0	0	189	190	0	0	0	194	0	0	0	0	0	0	0	0	186	0	0	
"Lebanon"	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	
"Estonia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	
"Falkland Islands (Malvinas)"	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	
"Gibraltar"	7	0	15	0	0	16	19	7	0	0	0	0	0	10	5	0	0	10	4	0	
"Congo"	70	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Congo, Democratic Republic of the"	107	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	
"Bermuda"	60	27	0	0	0	0	101	0	0	86	0	0	0	60	0	0	0	0	73	0	
"Canada"	0	1786	1107	0	167	0	20	0	942	515	990	0	0	350	238	0	0	0	0	0	
"Cayman Islands"	0	59	0	46	8	41	0	70	0	0	64	0	0	0	21	0	0	0	24	0	
"Bangladesh"	0	0	142	86	0	90	0	131	0	0	71	0	0	0	0	0	0	0	0	0	
"Austria"	342	0	0	0	0	0	3	0	0	108	108	114	112	113	183	135	530	132	0	0	
"Angola"	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Azerbaijan"	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	
"Lithuania"	0	79	0	76	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Taipei, Chinese"	81	81	110	0	0	0	101	85	0	191	52	0	82	0	0	0	0	0	0	0	
"Oman"	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	
"Portugal"	8	18	0	23	0	14	4	4	29	0	0	14	0	14	19	28	20	0	19	0	
"Qatar"	0	86	0	0	0	0	62	0	0	0	60	0	0	143	0	0	56	0	0	0	
"Romania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	
"Tunisia"	0	0	444	362	266	721	0	0	0	73	234	73	72	0	146	72	146	0	0	0	
"Ukraine"	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Senegal"	0	0	92	80	73	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Norway"	0	0	0	0	0	0	891	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Philippines"	148	0	0	0	41	0	0	0	0	45	45	0	0	0	47	0	0	55	0	0	
"Switzerland"	0	0	0	0	0	0	0	378	49	0	0	376	897	1359	149	70	0	0	0	0	
"Trinidad and Tobago"	0	122	153	0	0	0	118	133	311	154	123	138	0	155	140	132	0	160	145	0	
"Tanzania, United Republic of"	0	0	0	123	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	
"Uruguay"	439	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Yemen"	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	400	903	228	0	
