Importers	2016-M06-Exported quantity, Kilograms	2016-M07-Exported quantity, Kilograms	2016-M08-Exported quantity, Kilograms	2016-M09-Exported quantity	2016-M09-Unit	2016-M10-Exported quantity, Kilograms	2016-M11-Exported quantity, Kilograms	2016-M12-Exported quantity, Kilograms	2017-M01-Exported quantity, Kilograms	2017-M02-Exported quantity, Kilograms	2017-M03-Exported quantity, Kilograms	2017-M04-Exported quantity, Kilograms	2017-M05-Exported quantity, Kilograms	2017-M06-Exported quantity, Kilograms	2017-M07-Exported quantity, Kilograms	2017-M08-Exported quantity, Kilograms	2017-M09-Exported quantity, Kilograms	2017-M10-Exported quantity, Kilograms	2017-M11-Exported quantity, Kilograms	2017-M12-Exported quantity, Kilograms	2018-M01-Exported quantity, Kilograms	
"Indonesia"	0	22000	0	0		0	0	0	0	0	0	50000	10714	0	0	0	0	0	0	0	0	
"Iran, Islamic Republic of"	0	0	750000	0		0	0	50000	25000	7000	75000	450000	200000	600010	650000	0	200000	0	0	0	0	
"Iraq"	0	7000	0	0		0	5398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Israel"	0	95000	25000	0		0	0	0	0	0	45000	0	50000	0	0	0	0	0	0	0	0	
"Italy"	0	0	0	0		0	0	22500	0	0	0	57500	45000	45000	0	0	0	0	0	22000	0	
"Côte d'Ivoire"	0	0	10000	0		15750	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	
"Jamaica"	8050	0	0	0		0	5990	0	0	5171	748	0	0	0	4547	4111	0	0	0	0	0	
"Japan"	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	
"Jordan"	0	0	0	0		0	33400	25000	0	20000	0	10000	0	8080	0	0	0	0	0	0	0	
"Korea, Republic of"	0	0	0	0		0	0	0	0	0	0	0	0	0	10139	9993	0	0	0	0	0	
"Kuwait"	0	0	0	0		0	0	0	0	8176	25000	0	0	7560	0	0	0	0	0	0	0	
"Lebanon"	0	19750	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Lithuania"	0	0	0	0		0	0	0	0	740	0	0	0	0	3168	0	0	4016	0	0	0	
"Oman"	0	0	0	0		2650	0	0	0	0	50000	0	0	0	0	0	0	0	0	0	0	
"New Caledonia"	0	0	0	0		0	0	0	0	0	0	0	20000	0	0	0	0	0	0	20000	0	
"New Zealand"	0	0	40000	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Nigeria"	0	0	0	0		0	0	0	0	0	0	0	0	9000	0	0	0	0	0	0	0	
"Pakistan"	50000	44000	23590	0		0	0	0	0	0	0	0	0	7796	0	0	0	0	0	0	0	
"Portugal"	3080	2310	3080	0		4620	770	0	770	770	3850	3080	3850	2790	0	480	770	0	1540	1232	0	
"Qatar"	0	0	0	0		0	0	13884	4086	0	0	0	0	0	0	0	3000	0	0	4000	0	
"Romania"	0	0	0	0		2500	0	0	1000	0	3000	0	0	3000	0	0	1250	0	0	1250	0	
"Senegal"	0	0	16000	0		0	0	0	0	0	0	0	0	19200	42066	0	0	0	20175	0	0	
"Seychelles"	7676	5024	5338	0		9752	7216	16488	0	0	1512	0	6744	16864	3368	0	4848	0	8544	16664	0	
"Singapore"	0	5179	0	7722	Kilograms	0	1953	0	0	1080	7507	0	0	5062	0	7722	0	0	11748	0	0	
"Slovakia"	0	0	0	0		0	0	0	22000	0	22000	0	0	0	0	0	0	0	0	0	0	
"Yemen"	0	0	0	0		0	0	0	0	0	0	50000	0	0	0	0	0	0	0	0	0	
"Tanzania, United Republic of"	14275	0	0	0		0	0	0	14626	0	0	0	0	0	0	12169	0	14275	19287	0	0	
