Importers	2017-M12-Exported quantity, Kilograms	2018-M01-Exported quantity, Kilograms	2018-M02-Exported quantity, Kilograms	2018-M03-Exported quantity, Kilograms	2018-M04-Exported quantity	2018-M04-Unit	2018-M05-Exported quantity	2018-M05-Unit	2018-M06-Exported quantity, Kilograms	2018-M07-Exported quantity, Kilograms	2018-M08-Exported quantity, Kilograms	2018-M09-Exported quantity, Kilograms	2018-M10-Exported quantity, Kilograms	2018-M11-Exported quantity	2018-M11-Unit	2018-M12-Exported quantity, Kilograms	2019-M01-Exported quantity, Kilograms	2019-M02-Exported quantity	2019-M02-Unit	2019-M03-Exported quantity	2019-M03-Unit	2019-M04-Exported quantity	2019-M04-Unit	2019-M05-Exported quantity, Kilograms	2019-M06-Exported quantity, Kilograms	2019-M07-Exported quantity, Kilograms	
"Slovenia"	1929	3862	110	962	926	Kilograms	24096	Kilograms	457	42	2326	35	980	548	Kilograms	55	108	565	Kilograms	380	Kilograms	463	Kilograms	462	21387	1085	
"Congo"	2000	1110	450	5600	1300	Kilograms	650	Kilograms	1402	1102	701	1351	800	2700	Kilograms	0	950	1000	Kilograms	1002	Kilograms	0		0	0	1050	
"Somalia"	255	364	220	454	100	Kilograms	224	Kilograms	464	0	130	248	358	60	Kilograms	459	946	183	Kilograms	993	Kilograms	0		250	2667	980	
"Ghana"	0	0	4920	0	0		0		760	0	4005	0	7001	900	Kilograms	0	0	0		120	Kilograms	1848	Kilograms	0	0	916	
"Malaysia"	12000	0	0	13192	0		0		10384	0	0	0	784	13524	Kilograms	0	8000	392	Kilograms	376	Kilograms	2744	Kilograms	8392	784	896	
"Afghanistan"	1750	2970	186	450	1148	Kilograms	5000	Kilograms	0	93	3763	5789	827	150	Kilograms	639	0	1650	Kilograms	5805	Kilograms	3394	Kilograms	142	2992	734	
"Congo, Democratic Republic of the"	0	1050	0	0	580	Kilograms	0		200	100	0	0	100	0		0	0	700	Kilograms	0		0		700	0	700	
"Ireland"	20803	999	44789	46267	99388	Kilograms	22059	Kilograms	900	8973	16674	8822	18445	908	Kilograms	1092	420	2122	Kilograms	109860	Kilograms	92209	Kilograms	3125	890	659	
"Sierra Leone"	0	0	0	0	0		740	Kilograms	200	0	0	3400	0	0		0	5300	118	Kilograms	0		0		970	0	588	
"Gambia"	294	1180	3745	591	550	Kilograms	0		1700	300	2130	1050	1300	2950	Kilograms	1050	8534	1000	Kilograms	1990	Kilograms	430	Kilograms	490	150	532	
