Importers	2021-M02-Exported quantity, Kilograms	2021-M03-Exported quantity, Kilograms	2021-M04-Exported quantity, Kilograms	2021-M05-Exported quantity, Kilograms	2021-M06-Exported quantity, Kilograms	2021-M07-Exported quantity, Kilograms	2021-M08-Exported quantity, Kilograms	2021-M09-Exported quantity	2021-M09-Unit	2021-M10-Exported quantity, Kilograms	2021-M11-Exported quantity, Kilograms	2021-M12-Exported quantity, Kilograms	2022-M01-Exported quantity, Kilograms	2022-M02-Exported quantity, Kilograms	2022-M03-Exported quantity, Kilograms	2022-M04-Exported quantity, Kilograms	2022-M05-Exported quantity, Kilograms	2022-M06-Exported quantity, Kilograms	2022-M07-Exported quantity, Kilograms	2022-M08-Exported quantity, Kilograms	2022-M09-Exported quantity, Kilograms	
"Malta"	2366	905	0	864	1529	2392	3155	2909	Kilograms	2462	1063	5224	428	343	7328	1130	1500	9766	2720	2594	1736	
"Ghana"	0	0	450	400	180	1250	0	2400	Kilograms	0	280	0	1696	504	0	400	1100	0	1600	2800	1600	
"Luxembourg"	348	140	25	613	514	497	424	661	Kilograms	875	53	94	598	479	385	658	963	666	1335	1069	1291	
"Sierra Leone"	2513	0	2690	0	2408	1160	88	1960	Kilograms	0	1952	950	0	552	0	0	0	2416	0	1000	1176	
"Finland"	0	0	380	16	11	27	0	861	Kilograms	0	139	195	2164	2267	3420	6579	2244	6300	1302	1065	1108	
"Equatorial Guinea"	340	860	730	720	2280	0	1101	240	Kilograms	0	120	600	300	0	1000	250	1184	0	550	660	1064	
"Gambia"	480	0	0	860	550	0	205	1155	Kilograms	0	255	835	580	0	350	0	0	0	0	435	900	
"Bonaire, Sint Eustatius and Saba"	3187	2962	1315	1860	2517	2683	3252	2515	Kilograms	2688	3977	2894	2586	3107	4037	2561	2335	3009	1397	2699	842	
"Thailand"	0	0	0	0	0	0	0	0		0	0	36800	49100	0	0	0	0	0	0	0	784	
"Cambodia"	784	0	0	0	1568	0	0	0		784	784	784	0	784	0	0	784	0	0	784	784	
"Croatia"	359	381	42379	336	21472	21392	209	164	Kilograms	185	254	389	390	291	887	992	63914	63781	851	60826	755	
"Senegal"	21425	45750	4000	94810	25000	0	800	21800	Kilograms	45150	10500	60500	19275	25000	5475	0	0	10610	18975	5000	680	
"Norway"	550	420	4550	0	4715	930	11232	200	Kilograms	516	651	700	0	10134	770	360	290	3821	166	357	596	
"Estonia"	3	24	17	20672	8	674	84	876	Kilograms	49	278	60	430	450	486	451	432	576	278	692	519	
"United Arab Emirates"	0	25000	0	75013	0	0	0	25074	Kilograms	0	0	2924	25000	0	54500	0	5142	855	0	0	500	
"Suriname"	2260	2660	5880	11440	11440	13672	3190	4240	Kilograms	0	60	1660	2610	1760	6586	2940	1408	5950	1800	5270	420	
"Antigua and Barbuda"	0	784	0	392	0	0	1176	0		392	0	0	784	384	784	0	0	392	0	0	392	
"Canada"	402	0	500	0	0	0	0	242	Kilograms	0	0	0	360	160	0	0	200	0	0	0	321	
"Latvia"	44212	109280	24688	377	21466	162	313	0	Mixed	22719	305	196	1293	624	972	601	688	724	289	357	308	
"Sudan"	0	0	0	2850	800	0	0	0		0	0	0	0	0	0	2180	0	0	0	350	300	
"Niger"	0	0	0	0	0	0	0	0		0	0	0	1090	0	0	249	0	90	0	90	200	
"Congo, Democratic Republic of the"	140	600	0	0	600	160	250	104	Kilograms	0	250	0	0	254	0	324	0	200	1100	510	167	
